C:\Users\Public\Documents\Novel Studio\load_data\2025-12-09\3\loadapp_2025-12-09_16-18-56-418.load
Comment 
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	49.980	74.970	124.950	249.900	0.000	157.440	59.520	77.440	294.400	0.000		
0.010	49.980	74.970	124.950	249.900	0.010	157.440	56.960	77.440	291.840	0.010		
0.020	49.980	74.970	124.950	249.900	0.020	157.440	56.960	77.440	291.840	0.020		
0.030	49.980	74.970	124.950	249.900	0.030	157.440	56.960	77.440	291.840	0.030		
0.040	47.430	74.970	124.950	247.350	0.040	157.440	59.520	80.000	296.960	0.040		
0.050	47.430	74.970	127.500	249.900	0.050	157.440	56.960	77.440	291.840	0.050		
0.060	47.430	74.970	124.950	247.350	0.060	157.440	59.520	77.440	294.400	0.060		
0.070	49.980	74.970	127.500	252.450	0.070	160.000	56.960	80.000	296.960	0.070		
0.080	49.980	74.970	124.950	249.900	0.080	160.000	59.520	77.440	296.960	0.080		
0.090	47.430	72.420	124.950	244.800	0.090	160.000	59.520	80.000	299.520	0.090		
0.100	49.980	72.420	124.950	247.350	0.100	157.440	56.960	77.440	291.840	0.100		
0.110	49.980	74.970	124.950	249.900	0.110	160.000	59.520	80.000	299.520	0.110		
0.120	47.430	72.420	124.950	244.800	0.120	157.440	59.520	77.440	294.400	0.120		
0.130	49.980	74.970	124.950	249.900	0.130	160.000	59.520	80.000	299.520	0.130		
0.140	47.500	72.500	125.000	245.000	0.140	160.000	59.520	77.440	296.960	0.140		
0.150	47.500	72.500	125.000	245.000	0.150	160.000	59.520	77.440	296.960	0.150		
0.160	50.000	72.500	125.000	247.500	0.160	160.000	59.520	77.440	296.960	0.160		
0.170	47.500	72.500	125.000	245.000	0.170	157.440	59.520	80.000	296.960	0.170		
0.180	50.000	72.500	125.000	247.500	0.180	160.000	56.960	77.440	294.400	0.180		
0.190	50.000	72.500	125.000	247.500	0.190	160.000	59.520	80.000	299.520	0.190		
0.200	47.500	72.500	125.000	245.000	0.200	160.000	59.520	77.440	296.960	0.200		
0.210	47.500	72.500	125.000	245.000	0.210	160.000	56.960	77.440	294.400	0.210		
0.220	47.500	72.500	125.000	245.000	0.220	160.000	56.960	77.440	294.400	0.220		
0.230	50.000	75.000	125.000	250.000	0.230	160.000	59.520	77.440	296.960	0.230		
0.240	50.000	75.000	125.000	250.000	0.240	160.000	59.520	77.440	296.960	0.240		
0.250	47.500	72.500	125.000	245.000	0.250	160.000	56.960	77.440	294.400	0.250		
0.260	50.000	75.000	125.000	250.000	0.260	160.000	56.960	74.880	291.840	0.260		
0.270	50.000	72.500	125.000	247.500	0.270	160.000	56.960	77.440	294.400	0.270		
0.280	50.000	72.500	125.000	247.500	0.280	160.000	56.960	77.440	294.400	0.280		
0.290	49.980	72.420	124.950	247.350	0.290	160.000	56.960	77.440	294.400	0.290		
0.300	47.430	72.420	124.950	244.800	0.300	160.000	56.960	77.440	294.400	0.300		
0.310	49.980	74.970	127.500	252.450	0.310	160.000	56.960	74.880	291.840	0.310		
0.320	47.430	74.970	124.950	247.350	0.320	160.000	56.960	74.880	291.840	0.320		
