C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-13-29-129.load
Comment r base
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	134.680	222.000	364.080	720.760	0.000	55.000	22.440	14.960	92.400	0.000		
0.010	131.720	222.000	364.080	717.800	0.010	55.000	22.440	9.900	87.340	0.010		
0.020	131.720	224.960	364.080	720.760	0.020	52.360	17.380	7.480	77.220	0.020		
0.030	131.720	224.960	364.080	720.760	0.030	52.360	14.960	4.840	72.160	0.030		
0.040	134.680	224.960	364.080	723.720	0.040	52.360	14.960	7.480	74.800	0.040		
0.050	134.680	224.960	361.120	720.760	0.050	49.940	14.960	7.480	72.380	0.050		
0.060	136.160	224.960	361.120	722.240	0.060	47.300	14.960	4.840	67.100	0.060		
0.070	136.160	226.440	361.120	723.720	0.070	47.300	12.320	4.840	64.460	0.070		
0.080	136.160	226.440	364.080	726.680	0.080	47.300	12.320	7.480	67.100	0.080		
0.090	136.160	226.440	364.080	726.680	0.090	47.300	12.320	7.480	67.100	0.090		
0.100	136.160	226.440	370.000	732.600	0.100	47.300	12.320	7.480	67.100	0.100		
0.110	134.390	229.520	366.930	730.840	0.110	47.300	12.320	7.480	67.100	0.110		
0.120	134.390	229.520	369.950	733.860	0.120	44.880	12.320	7.480	64.680	0.120		
0.130	134.390	229.520	369.950	733.860	0.130	44.880	12.320	7.480	64.680	0.130		
0.140	134.390	226.500	369.950	730.840	0.140	44.880	12.320	7.480	64.680	0.140		
0.150	134.390	229.520	366.930	730.840	0.150	42.500	12.410	7.480	62.390	0.150		
0.160	137.410	226.500	366.930	730.840	0.160	42.500	12.410	7.480	62.390	0.160		
0.170	137.410	229.520	366.930	733.860	0.170	42.500	12.410	9.860	64.770	0.170		
0.180	137.410	231.030	369.950	738.390	0.180	42.500	12.410	7.480	62.390	0.180		
0.190	137.410	231.030	371.460	739.900	0.190	42.500	12.410	7.480	62.390	0.190		
0.200	134.390	231.030	369.950	735.370	0.200	42.500	9.860	4.930	57.290	0.200		
0.210	131.370	231.030	374.480	736.880	0.210	42.500	9.860	4.930	57.290	0.210		
0.220	131.370	231.030	377.500	739.900	0.220	39.950	9.860	4.930	54.740	0.220		
0.230	129.860	231.030	377.500	738.390	0.230	39.950	9.860	4.930	54.740	0.230		
0.240	129.860	231.030	377.500	738.390	0.240	39.950	7.480	4.930	52.360	0.240		
0.250	126.840	231.030	377.500	735.370	0.250	39.950	7.480	2.380	49.810	0.250		
0.260	126.990	231.030	376.380	734.400	0.260	37.400	7.480	2.380	47.260	0.260		
0.270	126.990	231.030	376.380	734.400	0.270	39.950	7.480	4.930	52.360	0.270		
0.280	128.520	231.030	376.380	735.930	0.280	37.400	7.480	2.380	47.260	0.280		
0.290	126.990	231.030	376.380	734.400	0.290	37.400	7.480	2.380	47.260	0.290		
0.300	126.990	231.030	379.440	737.460	0.300	34.950	7.500	2.400	44.850	0.300		
0.310	126.990	231.030	379.440	737.460	0.310	37.500	7.500	2.400	47.400	0.310		
0.320	126.990	231.030	382.500	740.520	0.320	37.500	7.500	2.400	47.400	0.320		
0.330	123.930	234.090	379.440	737.460	0.330	34.950	7.500	2.400	44.850	0.330		
0.340	126.990	231.030	379.440	737.460	0.340	37.500	7.500	2.400	47.400	0.340		
0.350	126.990	231.030	379.440	737.460	0.350	34.950	7.500	4.950	47.400	0.350		
0.360	128.520	231.030	376.380	735.930	0.360	37.500	7.500	4.950	49.950	0.360		
0.370	128.520	234.090	379.440	742.050	0.370	37.500	7.500	4.950	49.950	0.370		
0.380	131.580	234.090	379.440	745.110	0.380	37.500	7.500	4.950	49.950	0.380		
0.390	131.580	234.090	379.440	745.110	0.390	37.500	7.500	4.950	49.950	0.390		
0.400	131.580	234.090	379.440	745.110	0.400	37.500	7.500	4.950	49.950	0.400		
0.410	131.580	234.090	379.440	745.110	0.410	37.500	7.500	4.950	49.950	0.410		
0.420	131.580	234.090	379.440	745.110	0.420	37.500	7.500	4.950	49.950	0.420		
0.430	131.580	231.030	379.440	742.050	0.430	37.500	7.500	4.950	49.950	0.430		
0.440	131.580	231.030	379.440	742.050	0.440	37.500	9.900	4.950	52.350	0.440		
0.450	131.580	231.030	379.440	742.050	0.450	37.500	9.900	4.950	52.350	0.450		
0.460	131.580	231.030	379.440	742.050	0.460	37.500	9.900	4.950	52.350	0.460		
0.470	131.580	231.030	379.440	742.050	0.470	37.500	9.900	4.950	52.350	0.470		
0.480	128.520	231.030	379.440	738.990	0.480	37.500	9.900	4.950	52.350	0.480		
0.490	128.520	231.030	379.440	738.990	0.490	37.500	9.900	4.950	52.350	0.490		
0.500	128.520	231.030	379.440	738.990	0.500	37.500	9.900	4.950	52.350	0.500		
0.510	128.520	231.030	379.440	738.990	0.510	37.500	9.900	4.950	52.350	0.510		
0.520	128.520	231.030	382.500	742.050	0.520	37.500	9.900	4.950	52.350	0.520		
0.530	128.520	229.500	379.440	737.460	0.530	37.500	9.900	4.950	52.350	0.530		
0.540	128.520	229.500	379.440	737.460	0.540	37.500	9.900	4.950	52.350	0.540		
0.550	128.520	229.500	379.440	737.460	0.550	34.950	9.900	4.950	49.800	0.550		
0.560	128.520	229.500	379.440	737.460	0.560	37.500	9.900	4.950	52.350	0.560		
0.570	128.520	229.500	379.440	737.460	0.570	37.500	9.900	4.950	52.350	0.570		
0.580	128.520	229.500	379.440	737.460	0.580	37.500	12.450	4.950	54.900	0.580		
