C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-22-34-486.load
Comment s4 base
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	19.920	64.740	164.340	249.000	0.000	369.000	162.000	79.500	610.500	0.000		
0.010	17.430	62.250	169.320	249.000	0.010	369.000	159.000	79.500	607.500	0.010		
0.020	17.430	62.250	176.790	256.470	0.020	369.000	159.000	79.500	607.500	0.020		
0.030	14.940	62.250	179.280	256.470	0.030	369.000	159.000	79.500	607.500	0.030		
0.040	14.940	62.250	184.260	261.450	0.040	372.000	159.000	76.500	607.500	0.040		
0.050	14.940	59.760	186.750	261.450	0.050	372.000	159.000	76.500	607.500	0.050		
0.060	12.450	59.760	191.730	263.940	0.060	372.000	159.000	75.000	606.000	0.060		
0.070	12.450	59.760	196.710	268.920	0.070	372.000	157.500	72.000	601.500	0.070		
0.080	12.450	59.760	201.690	273.900	0.080	375.000	157.500	69.000	601.500	0.080		
0.090	9.960	57.270	201.690	268.920	0.090	372.000	157.500	69.000	598.500	0.090		
0.100	9.960	57.270	207.500	274.730	0.100	369.000	154.500	67.500	591.000	0.100		
0.110	9.570	57.420	207.060	274.050	0.110	367.500	154.500	67.500	589.500	0.110		
0.120	9.570	57.420	212.280	279.270	0.120	364.500	151.500	67.500	583.500	0.120		
0.130	6.960	54.810	214.890	276.660	0.130	361.500	151.500	67.500	580.500	0.130		
0.140	6.960	54.810	214.890	276.660	0.140	360.000	151.500	67.500	579.000	0.140		
0.150	6.960	54.810	217.500	279.270	0.150	356.360	151.000	66.440	573.800	0.150		
0.160	6.960	52.200	217.500	276.660	0.160	356.360	154.020	66.440	576.820	0.160		
0.170	6.960	52.200	214.890	274.050	0.170	356.360	154.020	66.440	576.820	0.170		
0.180	6.960	49.590	212.280	268.830	0.180	356.360	154.020	69.460	579.840	0.180		
0.190	6.960	49.590	212.280	268.830	0.190	359.380	157.040	69.460	585.880	0.190		
0.200	6.960	49.590	207.060	263.610	0.200	359.380	157.040	66.440	582.860	0.200		
0.210	4.350	46.980	204.450	255.780	0.210	359.380	158.550	69.460	587.390	0.210		
0.220	4.350	44.370	201.840	250.560	0.220	359.380	158.550	72.480	590.410	0.220		
0.230	1.740	41.760	197.490	240.990	0.230	362.400	164.590	73.990	600.980	0.230		
0.240	1.740	39.150	187.050	227.940	0.240	362.400	169.120	78.520	610.040	0.240		
0.250	0.000	34.800	177.480	212.280	0.250	363.910	172.140	84.560	620.610	0.250		
0.260	0.000	32.340	165.000	197.340	0.260	366.930	179.690	92.110	638.730	0.260		
0.270	0.000	24.420	152.460	176.880	0.270	366.930	187.240	101.170	655.340	0.270		
0.280	0.000	19.800	141.900	161.700	0.280	371.460	194.790	108.720	674.970	0.280		
0.290	0.000	11.880	129.360	141.240	0.290	377.500	203.850	119.290	700.640	0.290		
0.300	0.000	11.880	117.480	129.360	0.300	382.200	212.160	131.040	725.400	0.300		
0.310	0.000	9.900	104.940	114.840	0.310	383.760	221.520	141.960	747.240	0.310		
0.320	0.000	7.260	92.400	99.660	0.320	390.000	229.320	151.320	770.640	0.320		
0.330	0.000	7.260	77.220	84.480	0.330	390.000	234.000	159.120	783.120	0.330		
0.340	0.000	4.620	64.680	69.300	0.340	390.000	238.680	166.920	795.600	0.340		
