C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-35-39-632.load
Comment s4 h
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	50.000	5.000	30.000	85.000	0.000	231.840	211.680	280.000	723.520	0.000		
0.010	50.000	5.000	30.000	85.000	0.010	231.840	213.920	280.000	725.760	0.010		
0.020	47.400	5.000	27.400	79.800	0.020	231.840	211.680	280.000	723.520	0.020		
0.030	47.400	0.000	25.000	72.400	0.030	231.840	211.680	276.640	720.160	0.030		
0.040	47.400	2.400	25.000	74.800	0.040	229.600	211.680	276.640	717.920	0.040		
0.050	47.400	0.000	25.000	72.400	0.050	231.840	209.440	276.640	717.920	0.050		
0.060	47.400	0.000	25.000	72.400	0.060	229.600	211.680	280.000	721.280	0.060		
0.070	47.400	0.000	27.400	74.800	0.070	229.600	211.680	276.640	717.920	0.070		
0.080	47.400	0.000	27.400	74.800	0.080	229.600	209.440	276.640	715.680	0.080		
0.090	47.400	0.000	27.400	74.800	0.090	229.600	209.440	276.640	715.680	0.090		
0.100	47.400	0.000	27.400	74.800	0.100	229.600	209.440	274.400	713.440	0.100		
0.110	45.000	0.000	30.000	75.000	0.110	229.600	209.440	274.400	713.440	0.110		
0.120	45.000	2.400	30.000	77.400	0.120	231.840	209.440	274.400	715.680	0.120		
0.130	45.000	2.400	30.000	77.400	0.130	229.600	209.440	274.400	713.440	0.130		
0.140	45.000	0.000	30.000	75.000	0.140	229.600	209.440	274.400	713.440	0.140		
0.150	45.000	0.000	32.400	77.400	0.150	229.900	206.800	275.000	711.700	0.150		
0.160	42.480	0.000	32.400	74.880	0.160	229.900	206.800	275.000	711.700	0.160		
0.170	45.000	2.340	34.920	82.260	0.170	229.900	209.000	275.000	713.900	0.170		
0.180	45.000	2.340	32.400	79.740	0.180	229.900	206.800	275.000	711.700	0.180		
0.190	42.480	2.340	34.920	79.740	0.190	229.900	206.800	275.000	711.700	0.190		
0.200	42.480	2.340	34.920	79.740	0.200	229.900	209.000	275.000	713.900	0.200		
0.210	42.480	2.340	34.920	79.740	0.210	229.900	209.000	275.000	713.900	0.210		
0.220	42.480	2.340	32.400	77.220	0.220	229.900	209.000	275.000	713.900	0.220		
0.230	42.480	2.340	34.920	79.740	0.230	229.900	209.000	275.000	713.900	0.230		
0.240	42.480	2.340	34.920	79.740	0.240	229.900	209.000	275.000	713.900	0.240		
0.250	42.480	2.340	34.920	79.740	0.250	229.900	209.000	275.000	713.900	0.250		
0.260	42.480	2.340	37.440	82.260	0.260	232.100	209.000	275.000	716.100	0.260		
0.270	42.480	2.340	32.400	77.220	0.270	232.100	209.000	275.000	716.100	0.270		
0.280	42.480	2.340	34.920	79.740	0.280	229.900	209.000	275.000	713.900	0.280		
0.290	42.480	2.340	34.920	79.740	0.290	229.900	209.000	275.000	713.900	0.290		
0.300	42.480	2.340	34.920	79.740	0.300	229.770	209.790	277.500	717.060	0.300		
0.310	42.500	2.380	34.850	79.730	0.310	229.770	209.790	274.170	713.730	0.310		
0.320	42.500	2.380	34.850	79.730	0.320	231.990	209.790	274.170	715.950	0.320		
0.330	42.500	2.380	34.850	79.730	0.330	231.990	206.460	274.170	712.620	0.330		
0.340	42.500	2.380	34.850	79.730	0.340	229.770	206.460	274.170	710.400	0.340		
0.350	42.500	2.380	34.850	79.730	0.350	231.990	206.460	274.170	712.620	0.350		
0.360	42.500	2.380	34.850	79.730	0.360	231.990	206.460	274.170	712.620	0.360		
0.370	42.500	2.380	37.400	82.280	0.370	229.770	206.460	274.170	710.400	0.370		
0.380	42.500	2.380	34.850	79.730	0.380	229.770	206.460	274.170	710.400	0.380		
0.390	42.500	2.380	34.850	79.730	0.390	229.770	206.460	274.170	710.400	0.390		
0.400	42.500	2.380	34.850	79.730	0.400	229.770	206.460	274.170	710.400	0.400		
0.410	42.500	2.380	34.850	79.730	0.410	229.770	206.460	274.170	710.400	0.410		
0.420	42.500	2.380	34.850	79.730	0.420	229.770	206.460	274.170	710.400	0.420		
0.430	42.500	2.380	34.850	79.730	0.430	231.990	206.460	274.170	712.620	0.430		
0.440	42.500	2.380	37.400	82.280	0.440	231.990	209.790	274.170	715.950	0.440		
0.450	42.500	2.380	34.850	79.730	0.450	231.990	206.460	274.170	712.620	0.450		
0.460	42.500	4.930	34.850	82.280	0.460	231.990	206.460	274.170	712.620	0.460		
0.470	39.950	2.380	37.400	79.730	0.470	231.990	206.460	277.500	715.950	0.470		
0.480	42.500	2.380	34.850	79.730	0.480	229.770	206.460	274.170	710.400	0.480		
0.490	39.950	2.380	37.400	79.730	0.490	231.990	209.790	274.170	715.950	0.490		
0.500	39.950	4.930	34.850	79.730	0.500	231.990	209.790	277.500	719.280	0.500		
0.510	42.500	2.380	37.400	82.280	0.510	231.990	209.790	277.500	719.280	0.510		
0.520	39.950	4.930	37.400	82.280	0.520	231.990	209.790	277.500	719.280	0.520		
0.530	39.950	2.380	34.850	77.180	0.530	231.990	209.790	277.500	719.280	0.530		
0.540	39.950	2.380	34.850	77.180	0.540	231.990	209.790	277.500	719.280	0.540		
0.550	39.950	2.380	34.850	77.180	0.550	231.990	209.790	277.500	719.280	0.550		
0.560	39.950	2.380	37.400	79.730	0.560	231.990	209.790	277.500	719.280	0.560		
0.570	37.400	2.380	34.850	74.630	0.570	231.990	209.790	277.500	719.280	0.570		
0.580	37.400	2.380	37.400	77.180	0.580	231.990	209.790	277.500	719.280	0.580		
0.590	37.400	2.380	37.400	77.180	0.590	234.210	212.010	277.500	723.720	0.590		
0.600	37.400	2.380	34.850	74.630	0.600	234.210	212.010	277.500	723.720	0.600		
0.610	37.440	2.400	37.440	77.280	0.610	234.210	209.790	277.500	721.500	0.610		
0.620	37.440	2.400	37.440	77.280	0.620	234.210	212.010	277.500	723.720	0.620		
0.630	37.440	2.400	37.440	77.280	0.630	234.210	212.010	277.500	723.720	0.630		
0.640	37.440	2.400	37.440	77.280	0.640	234.210	212.010	277.500	723.720	0.640		
0.650	34.880	2.400	37.440	74.720	0.650	234.210	212.010	277.500	723.720	0.650		
0.660	34.880	2.400	37.440	74.720	0.660	236.430	212.010	274.170	722.610	0.660		
0.670	34.880	4.960	40.000	79.840	0.670	236.430	212.010	274.170	722.610	0.670		
0.680	34.880	4.960	40.000	79.840	0.680	236.430	212.010	274.170	722.610	0.680		
0.690	34.880	4.960	40.000	79.840	0.690	236.430	212.010	274.170	722.610	0.690		
0.700	32.480	2.400	40.000	74.880	0.700	236.430	212.010	274.170	722.610	0.700		
0.710	32.480	4.960	40.000	77.440	0.710	234.210	212.010	274.170	720.390	0.710		
0.720	32.480	2.400	40.000	74.880	0.720	236.430	212.010	274.170	722.610	0.720		
0.730	32.480	4.960	40.000	77.440	0.730	236.430	212.010	274.170	722.610	0.730		
0.740	32.480	4.960	40.000	77.440	0.740	236.430	212.010	274.170	722.610	0.740		
0.750	32.480	2.400	40.000	74.880	0.750	239.800	211.460	272.500	723.760	0.750		
0.760	32.400	2.340	42.480	77.220	0.760	239.800	211.460	272.500	723.760	0.760		
0.770	29.880	2.340	42.480	74.700	0.770	239.800	214.730	272.500	727.030	0.770		
0.780	29.880	2.340	42.480	74.700	0.780	239.800	214.730	272.500	727.030	0.780		
0.790	29.880	4.860	39.960	74.700	0.790	239.800	214.730	269.230	723.760	0.790		
0.800	29.880	2.340	39.960	72.180	0.800	241.980	214.730	269.230	725.940	0.800		
0.810	29.880	4.860	42.480	77.220	0.810	239.800	214.730	269.230	723.760	0.810		
0.820	29.880	4.860	42.480	77.220	0.820	239.800	214.730	269.230	723.760	0.820		
