C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-26-22-188.load
Comment s4 vh
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	99.440	87.120	214.720	401.280	0.000	210.000	114.240	116.760	441.000	0.000		
0.010	99.440	87.120	214.720	401.280	0.010	210.000	111.720	116.760	438.480	0.010		
0.020	99.440	89.760	217.360	406.560	0.020	207.480	111.720	116.760	435.960	0.020		
0.030	102.080	89.760	214.720	406.560	0.030	207.480	114.240	116.760	438.480	0.030		
0.040	102.080	87.120	217.360	406.560	0.040	204.960	111.720	116.760	433.440	0.040		
0.050	102.080	87.120	214.720	403.920	0.050	207.480	111.720	116.760	435.960	0.050		
0.060	102.080	87.120	214.720	403.920	0.060	204.960	111.720	116.760	433.440	0.060		
0.070	102.080	89.760	220.000	411.840	0.070	204.960	111.720	114.240	430.920	0.070		
0.080	104.720	87.120	220.000	411.840	0.080	204.960	111.720	114.240	430.920	0.080		
0.090	102.080	87.120	220.000	409.200	0.090	202.440	111.720	114.240	428.400	0.090		
0.100	104.720	89.760	220.000	414.480	0.100	202.440	111.720	114.240	428.400	0.100		
0.110	104.160	87.420	216.690	408.270	0.110	199.920	111.720	114.240	425.880	0.110		
0.120	104.160	89.280	222.270	415.710	0.120	199.920	111.720	114.240	425.880	0.120		
0.130	104.160	89.280	219.480	412.920	0.130	197.400	111.720	116.760	425.880	0.130		
0.140	106.950	89.280	222.270	418.500	0.140	197.400	111.720	114.240	423.360	0.140		
0.150	104.160	92.070	219.480	415.710	0.150	197.500	112.180	114.550	424.230	0.150		
0.160	106.950	92.070	222.270	421.290	0.160	197.500	112.180	112.180	421.860	0.160		
0.170	106.950	92.070	224.130	423.150	0.170	197.500	112.180	112.180	421.860	0.170		
0.180	106.950	94.860	224.130	425.940	0.180	197.500	112.180	109.810	419.490	0.180		
0.190	106.950	94.860	226.920	428.730	0.190	197.500	112.180	107.440	417.120	0.190		
0.200	106.950	94.860	224.130	425.940	0.200	197.500	112.180	107.440	417.120	0.200		
0.210	109.740	94.860	226.920	431.520	0.210	194.340	112.180	104.280	410.800	0.210		
0.220	109.740	94.860	229.710	434.310	0.220	194.340	112.180	104.280	410.800	0.220		
0.230	109.740	96.720	229.710	436.170	0.230	194.340	112.180	101.910	408.430	0.230		
0.240	109.740	96.720	229.710	436.170	0.240	191.970	109.810	101.910	403.690	0.240		
0.250	109.740	96.720	232.500	438.960	0.250	191.970	109.810	101.910	403.690	0.250		
0.260	112.270	99.910	234.840	447.020	0.260	191.970	112.180	99.540	403.690	0.260		
0.270	112.270	99.910	234.840	447.020	0.270	189.600	109.810	99.540	398.950	0.270		
0.280	109.180	99.910	236.900	445.990	0.280	189.600	109.810	97.170	396.580	0.280		
0.290	109.180	99.910	236.900	445.990	0.290	189.600	109.810	94.800	394.210	0.290		
0.300	109.180	101.970	242.050	453.200	0.300	187.500	107.250	92.250	387.000	0.300		
0.310	109.180	99.910	242.050	451.140	0.310	187.500	109.500	92.250	389.250	0.310		
0.320	109.180	101.970	244.110	455.260	0.320	187.500	109.500	90.000	387.000	0.320		
0.330	109.180	101.970	244.110	455.260	0.330	187.500	109.500	90.000	387.000	0.330		
0.340	109.180	104.030	247.200	460.410	0.340	184.500	109.500	87.000	381.000	0.340		
