C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-32-26-768.load
Comment s4 vl
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	32.000	44.800	196.800	273.600	0.000	325.000	159.900	104.000	588.900	0.000		
0.010	32.000	44.800	200.000	276.800	0.010	325.000	159.900	104.000	588.900	0.010		
0.020	32.000	44.800	200.000	276.800	0.020	325.000	159.900	106.600	591.500	0.020		
0.030	32.000	44.800	200.000	276.800	0.030	322.400	159.900	104.000	586.300	0.030		
0.040	32.000	44.800	196.800	273.600	0.040	322.400	159.900	106.600	588.900	0.040		
0.050	32.000	44.800	196.800	273.600	0.050	322.400	162.500	106.600	591.500	0.050		
0.060	32.000	44.800	196.800	273.600	0.060	322.400	162.500	104.000	588.900	0.060		
0.070	32.000	44.800	196.800	273.600	0.070	319.800	162.500	106.600	588.900	0.070		
0.080	34.400	44.800	196.800	276.000	0.080	319.800	162.500	106.600	588.900	0.080		
0.090	32.000	44.800	196.800	273.600	0.090	317.200	162.500	106.600	586.300	0.090		
0.100	32.000	42.400	194.400	268.800	0.100	317.200	162.500	106.600	586.300	0.100		
0.110	34.400	44.800	194.400	273.600	0.110	317.200	162.500	109.200	588.900	0.110		
0.120	34.320	44.460	195.000	273.780	0.120	314.600	159.900	109.200	583.700	0.120		
0.130	34.320	44.460	195.000	273.780	0.130	312.000	159.900	111.800	583.700	0.130		
0.140	34.320	44.460	195.000	273.780	0.140	312.000	162.500	111.800	586.300	0.140		
0.150	34.320	44.460	195.000	273.780	0.150	312.500	162.500	112.500	587.500	0.150		
0.160	34.320	44.460	195.000	273.780	0.160	312.500	160.000	112.500	585.000	0.160		
0.170	37.440	44.460	195.000	276.900	0.170	312.500	162.500	115.000	590.000	0.170		
0.180	37.440	44.460	195.000	276.900	0.180	312.500	160.000	112.500	585.000	0.180		
0.190	37.440	46.800	195.000	279.240	0.190	312.500	160.000	115.000	587.500	0.190		
0.200	37.440	46.800	195.000	279.240	0.200	310.000	160.000	115.000	585.000	0.200		
0.210	39.780	46.800	191.880	278.460	0.210	310.000	160.000	117.500	587.500	0.210		
0.220	39.780	46.800	191.880	278.460	0.220	310.000	160.000	117.500	587.500	0.220		
0.230	39.780	46.800	191.880	278.460	0.230	307.500	160.000	117.500	585.000	0.230		
0.240	39.780	46.800	191.880	278.460	0.240	307.500	160.000	120.000	587.500	0.240		
0.250	39.780	46.800	189.540	276.120	0.250	307.500	160.000	120.000	587.500	0.250		
