C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\4\loadapp_2025-12-10_15-29-25-020.load
Comment s4 w
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	56.730	64.170	199.950	320.850	0.000	220.000	124.960	154.880	499.840	0.000		
0.010	56.730	66.960	199.950	323.640	0.010	217.360	122.320	152.240	491.920	0.010		
0.020	59.520	69.750	201.810	331.080	0.020	214.720	122.320	149.600	486.640	0.020		
0.030	59.520	69.750	207.390	336.660	0.030	212.080	119.680	146.960	478.720	0.030		
0.040	62.310	74.400	207.390	344.100	0.040	212.080	117.040	146.960	476.080	0.040		
0.050	62.310	74.400	212.040	348.750	0.050	212.080	114.400	144.320	470.800	0.050		
0.060	64.170	77.190	216.690	358.050	0.060	209.440	114.400	141.680	465.520	0.060		
0.070	64.170	79.980	219.480	363.630	0.070	206.800	111.760	139.920	458.480	0.070		
0.080	64.170	79.980	222.270	366.420	0.080	206.800	111.760	137.280	455.840	0.080		
0.090	64.170	81.840	226.920	372.930	0.090	206.800	107.360	134.640	448.800	0.090		
0.100	64.170	81.840	226.920	372.930	0.100	204.160	107.360	134.640	446.160	0.100		
0.110	64.170	84.630	232.500	381.300	0.110	202.400	104.720	132.000	439.120	0.110		
0.120	64.310	87.200	234.350	385.860	0.120	202.400	102.080	126.720	431.200	0.120		
0.130	64.310	87.200	236.530	388.040	0.130	199.760	99.440	126.720	425.920	0.130		
0.140	66.490	89.380	239.800	395.670	0.140	197.120	99.440	124.960	421.520	0.140		
0.150	66.490	89.380	241.980	397.850	0.150	195.000	97.500	124.800	417.300	0.150		
0.160	66.490	91.560	244.160	402.210	0.160	195.000	94.380	119.340	408.720	0.160		
0.170	66.490	94.830	249.610	410.930	0.170	191.880	94.380	119.340	405.600	0.170		
0.180	69.760	94.830	253.970	418.560	0.180	191.880	92.040	117.000	400.920	0.180		
0.190	69.760	97.010	257.240	424.010	0.190	191.880	89.700	114.660	396.240	0.190		
0.200	69.760	99.190	259.420	428.370	0.200	191.880	87.360	112.320	391.560	0.200		
0.210	69.760	99.190	261.600	430.550	0.210	189.540	87.360	109.980	386.880	0.210		
0.220	71.940	102.460	261.600	436.000	0.220	189.540	84.240	109.980	383.760	0.220		
0.230	71.940	102.460	264.870	439.270	0.230	187.200	84.240	104.520	375.960	0.230		
0.240	71.940	104.640	269.230	445.810	0.240	187.200	81.900	104.520	373.620	0.240		
0.250	74.120	106.820	269.230	450.170	0.250	187.200	81.900	102.180	371.280	0.250		
0.260	74.120	106.820	272.500	453.440	0.260	184.860	79.560	99.840	364.260	0.260		
0.270	76.860	109.620	277.200	463.680	0.270	184.860	77.220	97.500	359.580	0.270		
0.280	76.860	112.140	279.720	468.720	0.280	184.860	77.220	94.380	356.460	0.280		
0.290	76.860	112.140	282.240	471.240	0.290	184.860	74.880	89.700	349.440	0.290		
0.300	79.380	114.660	284.760	478.800	0.300	180.000	72.000	87.120	339.120	0.300		
0.310	81.900	117.180	284.760	483.840	0.310	177.120	69.840	82.080	329.040	0.310		
0.320	84.420	119.700	289.800	493.920	0.320	177.120	66.960	79.920	324.000	0.320		
0.330	86.940	122.220	292.320	501.480	0.330	172.080	64.800	74.880	311.760	0.330		
0.340	89.460	124.740	294.840	509.040	0.340	169.920	61.920	69.840	301.680	0.340		
0.350	94.500	127.260	297.360	519.120	0.350	167.040	61.920	66.960	295.920	0.350		
0.360	97.020	129.780	299.880	526.680	0.360	164.880	56.880	61.920	283.680	0.360		
0.370	104.580	134.820	302.400	541.800	0.370	162.000	54.720	56.880	273.600	0.370		
0.380	107.100	137.340	307.440	551.880	0.380	156.960	51.840	51.840	260.640	0.380		
0.390	112.140	139.860	309.960	561.960	0.390	154.800	49.680	49.680	254.160	0.390		
0.400	119.700	142.380	312.480	574.560	0.400	149.760	46.800	44.640	241.200	0.400		
0.410	122.220	147.420	315.000	584.640	0.410	141.840	44.640	39.600	226.080	0.410		
0.420	127.400	149.500	314.600	591.500	0.420	139.680	42.480	37.440	219.600	0.420		
0.430	133.900	154.700	319.800	608.400	0.430	132.480	39.600	34.560	206.640	0.430		
0.440	139.100	157.300	319.800	616.200	0.440	127.440	37.440	29.520	194.400	0.440		
0.450	141.700	159.900	322.400	624.000	0.450	120.000	34.560	24.960	179.520	0.450		
0.460	146.900	162.500	322.400	631.800	0.460	114.720	32.160	19.680	166.560	0.460		
0.470	152.100	163.800	325.000	640.900	0.470	104.640	27.360	14.880	146.880	0.470		
0.480	157.300	166.400	325.000	648.700	0.480	97.440	22.080	14.880	134.400	0.480		
0.490	162.500	166.400	322.400	651.300	0.490	87.360	19.680	12.480	119.520	0.490		
0.500	169.000	169.000	322.400	660.400	0.500	79.680	14.880	9.600	104.160	0.500		
0.510	174.200	171.600	319.800	665.600	0.510	72.480	14.880	9.600	96.960	0.510		
0.520	182.000	174.200	319.800	676.000	0.520	64.800	12.480	9.600	86.880	0.520		
0.530	189.800	176.800	319.800	686.400	0.530	60.000	9.600	7.200	76.800	0.530		
0.540	196.300	179.400	319.800	695.500	0.540	52.320	7.200	7.200	66.720	0.540		
0.550	201.500	184.600	325.000	711.100	0.550	47.040	7.200	4.800	59.040	0.550		
0.560	206.700	187.200	325.000	718.900	0.560	42.240	4.800	4.800	51.840	0.560		
0.570	209.040	188.940	326.960	724.940	0.570	37.440	4.800	4.800	47.040	0.570		
0.580	214.400	191.620	329.640	735.660	0.580	32.160	2.400	4.800	39.360	0.580		
0.590	217.080	194.300	335.000	746.380	0.590	24.960	2.400	2.400	29.760	0.590		
0.600	219.760	194.300	332.320	746.380	0.600	17.500	0.000	2.450	19.950	0.600		
0.610	223.780	196.980	332.320	753.080	0.610	9.940	0.000	2.450	12.390	0.610		
0.620	231.820	196.980	329.640	758.440	0.620	4.970	0.000	0.000	4.970	0.620		
0.630	237.180	199.660	326.960	763.800	0.630	2.450	0.000	0.000	2.450	0.630		
0.640	243.880	199.660	326.960	770.500	0.640	0.000	0.000	0.000	0.000	0.640		
0.650	249.240	202.340	324.280	775.860	0.650	0.000	0.000	0.000	0.000	0.650		
0.660	251.920	203.680	321.600	777.200	0.660	0.000	0.000	0.000	0.000	0.660		
0.670	251.920	203.680	326.960	782.560	0.670	0.000	0.000	0.000	0.000	0.670		
0.680	251.920	203.680	324.280	779.880	0.680	0.000	0.000	0.000	0.000	0.680		
0.690	251.920	203.680	326.960	782.560	0.690	0.000	0.000	0.000	0.000	0.690		
0.700	251.920	203.680	329.640	785.240	0.700	0.000	0.000	0.000	0.000	0.700		
0.710	251.920	202.340	326.960	781.220	0.710	0.000	0.000	0.000	0.000	0.710		
0.720	251.520	201.740	327.500	780.760	0.720	0.000	0.000	0.000	0.000	0.720		
0.730	251.520	199.120	324.880	775.520	0.730	0.000	0.000	2.450	2.450	0.730		
0.740	251.520	199.120	324.880	775.520	0.740	0.000	0.000	2.450	2.450	0.740		
0.750	251.520	196.500	322.260	770.280	0.750	0.000	0.000	2.500	2.500	0.750		
0.760	254.140	199.120	322.260	775.520	0.760	0.000	0.000	2.500	2.500	0.760		
0.770	251.520	196.500	322.260	770.280	0.770	0.000	0.000	2.500	2.500	0.770		
0.780	254.140	196.500	322.260	772.900	0.780	0.000	0.000	2.500	2.500	0.780		
0.790	251.520	196.500	322.260	770.280	0.790	0.000	0.000	2.500	2.500	0.790		
0.800	251.520	196.500	324.880	772.900	0.800	0.000	0.000	2.500	2.500	0.800		
0.810	251.520	196.500	322.260	770.280	0.810	0.000	0.000	2.500	2.500	0.810		
0.820	251.520	196.500	324.880	772.900	0.820	0.000	0.000	0.000	0.000	0.820		
0.830	251.520	196.500	324.880	772.900	0.830	0.000	0.000	2.500	2.500	0.830		
0.840	251.520	199.120	327.500	778.140	0.840	0.000	0.000	2.500	2.500	0.840		
0.850	248.900	196.500	327.500	772.900	0.850	0.000	0.000	2.500	2.500	0.850		
0.860	251.520	199.120	327.500	778.140	0.860	0.000	0.000	2.500	2.500	0.860		
0.870	254.800	198.900	325.000	778.700	0.870	0.000	0.000	0.000	0.000	0.870		
0.880	257.400	198.900	325.000	781.300	0.880	5.000	0.000	0.000	5.000	0.880		
0.890	257.400	196.300	322.400	776.100	0.890	5.000	0.000	0.000	5.000	0.890		
0.900	257.400	198.900	322.400	778.700	0.900	7.280	0.000	0.000	7.280	0.900		
0.910	257.400	198.900	319.800	776.100	0.910	9.880	0.000	0.000	9.880	0.910		
0.920	257.400	196.300	322.400	776.100	0.920	12.480	0.000	0.000	12.480	0.920		
0.930	257.400	196.300	319.800	773.500	0.930	17.420	2.340	2.340	22.100	0.930		
0.940	254.800	196.300	322.400	773.500	0.940	24.960	2.340	4.940	32.240	0.940		
0.950	252.200	195.000	322.400	769.600	0.950	27.300	4.940	7.280	39.520	0.950		
0.960	249.600	192.400	319.800	761.800	0.960	32.500	7.280	12.480	52.260	0.960		
0.970	244.400	187.200	317.200	748.800	0.970	37.440	9.880	17.420	64.740	0.970		
0.980	241.800	184.600	317.200	743.600	0.980	42.380	9.880	19.760	72.020	0.980		
0.990	236.600	182.000	314.600	733.200	0.990	44.980	12.480	22.360	79.820	0.990		
1.000	231.400	179.400	312.000	722.800	1.000	49.920	14.820	22.360	87.100	1.000		
1.010	227.500	174.200	309.400	711.100	1.010	52.260	17.420	24.960	94.640	1.010		
