C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\5\loadapp_2025-12-10_16-08-54-458.load
Comment S5 br
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	105.000	116.900	175.000	396.900	0.000	195.000	137.280	119.340	451.620	0.000		
0.010	105.000	119.700	175.000	399.700	0.010	195.000	137.280	117.000	449.280	0.010		
0.020	105.000	116.900	172.200	394.100	0.020	195.000	137.280	117.000	449.280	0.020		
0.030	102.200	116.900	172.200	391.300	0.030	195.000	137.280	119.340	451.620	0.030		
0.040	105.000	116.900	172.200	394.100	0.040	195.000	137.280	119.340	451.620	0.040		
0.050	102.200	116.900	172.200	391.300	0.050	195.000	137.280	119.340	451.620	0.050		
0.060	102.200	116.900	172.200	391.300	0.060	195.000	137.280	119.340	451.620	0.060		
0.070	105.000	116.900	172.200	394.100	0.070	195.000	137.280	119.340	451.620	0.070		
0.080	105.000	116.900	172.200	394.100	0.080	195.000	137.280	119.340	451.620	0.080		
0.090	105.000	116.900	172.200	394.100	0.090	195.000	137.280	119.340	451.620	0.090		
0.100	105.000	119.700	172.200	396.900	0.100	195.000	137.280	119.340	451.620	0.100		
0.110	105.000	116.900	175.000	396.900	0.110	195.000	137.280	117.000	449.280	0.110		
0.120	105.000	116.900	172.200	394.100	0.120	195.000	137.280	119.340	451.620	0.120		
0.130	105.000	116.900	172.200	394.100	0.130	195.000	137.280	119.340	451.620	0.130		
0.140	105.000	119.700	172.200	396.900	0.140	195.000	137.280	119.340	451.620	0.140		
0.150	104.370	119.990	174.660	399.020	0.150	194.340	137.460	119.290	451.090	0.150		
0.160	104.370	119.990	171.820	396.180	0.160	194.340	134.300	119.290	447.930	0.160		
0.170	102.240	119.990	174.660	396.890	0.170	194.340	137.460	119.290	451.090	0.170		
0.180	104.370	119.990	174.660	399.020	0.180	194.340	137.460	119.290	451.090	0.180		
0.190	104.370	119.990	174.660	399.020	0.190	194.340	134.300	119.290	447.930	0.190		
0.200	104.370	119.990	174.660	399.020	0.200	194.340	137.460	119.290	451.090	0.200		
0.210	104.370	119.990	174.660	399.020	0.210	194.340	134.300	119.290	447.930	0.210		
0.220	104.370	119.990	174.660	399.020	0.220	194.340	137.460	119.290	451.090	0.220		
0.230	104.370	119.990	177.500	401.860	0.230	194.340	137.460	116.920	448.720	0.230		
0.240	104.370	119.990	174.660	399.020	0.240	197.500	137.460	119.290	454.250	0.240		
0.250	102.240	119.990	174.660	396.890	0.250	194.340	137.460	119.290	451.090	0.250		
0.260	102.240	119.990	171.820	394.050	0.260	197.500	137.460	116.920	451.880	0.260		
0.270	102.240	119.990	177.500	399.730	0.270	194.340	137.460	119.290	451.090	0.270		
0.280	102.240	119.990	174.660	396.890	0.280	194.340	134.300	116.920	445.560	0.280		
0.290	102.240	119.990	174.660	396.890	0.290	194.340	137.460	119.290	451.090	0.290		
0.300	102.240	119.520	177.120	398.880	0.300	194.340	134.300	119.290	447.930	0.300		
0.310	102.240	119.520	174.960	396.720	0.310	194.340	134.300	119.290	447.930	0.310		
0.320	102.240	119.520	177.120	398.880	0.320	194.340	134.300	119.290	447.930	0.320		
0.330	102.240	117.360	174.960	394.560	0.330	194.340	137.460	119.290	451.090	0.330		
0.340	102.240	119.520	174.960	396.720	0.340	194.340	137.460	119.290	451.090	0.340		
