C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\5\loadapp_2025-12-10_16-30-46-430.load
Comment S5 vh 
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	71.760	89.700	187.200	348.660	0.000	279.110	114.130	72.320	465.560	0.000		
0.010	71.760	89.700	187.200	348.660	0.010	279.110	116.390	74.580	470.080	0.010		
0.020	71.760	89.700	187.200	348.660	0.020	279.110	114.130	74.580	467.820	0.020		
0.030	71.760	89.700	187.200	348.660	0.030	279.110	114.130	74.580	467.820	0.030		
0.040	71.760	89.700	187.200	348.660	0.040	279.110	114.130	74.580	467.820	0.040		
0.050	71.760	92.040	189.540	353.340	0.050	279.110	114.130	72.320	465.560	0.050		
0.060	69.420	89.700	189.540	348.660	0.060	282.500	114.130	72.320	468.950	0.060		
0.070	69.420	89.700	189.540	348.660	0.070	279.110	114.130	72.320	465.560	0.070		
0.080	69.420	89.700	187.200	346.320	0.080	282.500	114.130	72.320	468.950	0.080		
0.090	69.420	89.700	189.540	348.660	0.090	282.500	114.130	72.320	468.950	0.090		
0.100	69.420	92.040	189.540	351.000	0.100	282.500	114.130	72.320	468.950	0.100		
0.110	67.080	92.040	191.880	351.000	0.110	282.500	114.130	72.320	468.950	0.110		
0.120	67.080	89.700	189.540	346.320	0.120	282.500	111.870	68.930	463.300	0.120		
0.130	67.080	89.700	191.880	348.660	0.130	281.580	114.000	69.540	465.120	0.130		
0.140	64.740	92.040	195.000	351.780	0.140	279.300	111.720	69.540	460.560	0.140		
0.150	67.200	89.600	189.600	346.400	0.150	281.580	111.720	69.540	462.840	0.150		
0.160	64.800	92.000	192.000	348.800	0.160	281.580	111.720	69.540	462.840	0.160		
0.170	64.800	92.000	192.000	348.800	0.170	281.580	111.720	69.540	462.840	0.170		
0.180	67.200	92.000	194.400	353.600	0.180	281.580	111.720	69.540	462.840	0.180		
0.190	64.800	92.000	192.000	348.800	0.190	281.580	111.720	69.540	462.840	0.190		
0.200	67.200	92.000	194.400	353.600	0.200	281.580	111.720	69.540	462.840	0.200		
0.210	67.200	92.000	194.400	353.600	0.210	281.580	111.720	69.540	462.840	0.210		
0.220	67.200	92.000	194.400	353.600	0.220	281.580	111.720	67.260	460.560	0.220		
0.230	64.800	94.400	194.400	353.600	0.230	281.580	111.720	69.540	462.840	0.230		
0.240	64.800	94.400	196.800	356.000	0.240	285.000	111.720	67.260	463.980	0.240		
0.250	64.800	94.400	196.800	356.000	0.250	281.580	111.720	69.540	462.840	0.250		
0.260	64.800	94.400	194.400	353.600	0.260	285.000	111.720	67.260	463.980	0.260		
0.270	64.800	96.800	196.800	358.400	0.270	281.580	111.720	67.260	460.560	0.270		
0.280	64.800	94.400	200.000	359.200	0.280	285.000	111.720	67.260	463.980	0.280		
0.290	64.800	94.400	196.800	356.000	0.290	281.580	109.440	67.260	458.280	0.290		
0.300	62.370	97.200	199.260	358.830	0.300	285.000	111.720	67.260	463.980	0.300		
0.310	62.370	97.200	196.830	356.400	0.310	281.580	109.440	67.260	458.280	0.310		
0.320	62.370	97.200	199.260	358.830	0.320	281.580	109.440	67.260	458.280	0.320		
0.330	62.370	97.200	199.260	358.830	0.330	281.580	109.440	67.260	458.280	0.330		
0.340	59.940	97.200	199.260	356.400	0.340	285.000	109.440	67.260	461.700	0.340		
0.350	59.940	97.200	199.260	356.400	0.350	285.000	109.440	67.260	461.700	0.350		
0.360	59.940	97.200	202.500	359.640	0.360	285.000	109.440	67.260	461.700	0.360		
0.370	62.370	97.200	199.260	358.830	0.370	285.000	109.440	67.260	461.700	0.370		
0.380	59.940	97.200	199.260	356.400	0.380	285.000	109.440	64.980	459.420	0.380		
0.390	59.940	97.200	202.500	359.640	0.390	285.000	107.160	64.980	457.140	0.390		
0.400	59.940	97.200	202.500	359.640	0.400	285.000	109.440	64.980	459.420	0.400		
0.410	59.940	97.200	199.260	356.400	0.410	285.000	109.440	64.980	459.420	0.410		
0.420	62.370	97.200	202.500	362.070	0.420	285.000	109.440	67.260	461.700	0.420		
0.430	62.370	99.630	202.500	364.500	0.430	285.000	109.440	64.980	459.420	0.430		
0.440	59.940	99.630	199.260	358.830	0.440	285.000	109.440	64.980	459.420	0.440		
0.450	62.370	99.630	199.260	361.260	0.450	285.000	109.440	64.980	459.420	0.450		
0.460	62.370	99.630	202.500	364.500	0.460	285.000	107.160	64.980	457.140	0.460		
0.470	62.370	99.630	199.260	361.260	0.470	285.000	107.160	64.980	457.140	0.470		
0.480	62.370	99.630	202.500	364.500	0.480	285.000	107.160	64.980	457.140	0.480		
0.490	62.370	99.630	199.260	361.260	0.490	281.580	107.160	64.980	453.720	0.490		
0.500	62.370	99.630	199.260	361.260	0.500	285.000	107.160	64.980	457.140	0.500		
0.510	62.370	99.630	199.260	361.260	0.510	281.580	107.160	64.980	453.720	0.510		
0.520	59.940	97.200	202.500	359.640	0.520	281.580	107.160	67.260	456.000	0.520		
0.530	59.940	99.630	199.260	358.830	0.530	281.580	107.160	64.980	453.720	0.530		
0.540	62.370	99.630	202.500	364.500	0.540	281.580	107.160	64.980	453.720	0.540		
0.550	62.370	99.630	199.260	361.260	0.550	285.000	107.160	64.980	457.140	0.550		
0.560	62.370	99.630	199.260	361.260	0.560	281.580	107.160	67.260	456.000	0.560		
0.570	62.370	99.630	199.260	361.260	0.570	281.580	107.160	67.260	456.000	0.570		
0.580	62.370	99.630	202.500	364.500	0.580	280.000	106.400	67.200	453.600	0.580		
0.590	62.370	102.060	202.500	366.930	0.590	280.000	106.400	67.200	453.600	0.590		
0.600	64.780	99.220	199.260	363.260	0.600	280.000	106.400	67.200	453.600	0.600		
0.610	64.780	102.500	199.260	366.540	0.610	280.000	104.160	67.200	451.360	0.610		
0.620	64.780	99.220	201.720	365.720	0.620	280.000	106.400	67.200	453.600	0.620		
0.630	64.780	99.220	199.260	363.260	0.630	280.000	106.400	69.440	455.840	0.630		
0.640	64.780	99.220	199.260	363.260	0.640	280.000	106.400	67.200	453.600	0.640		
0.650	64.780	102.500	199.260	366.540	0.650	276.640	106.400	67.200	450.240	0.650		
0.660	64.780	99.220	199.260	363.260	0.660	280.000	106.400	69.440	455.840	0.660		
0.670	64.780	102.500	199.260	366.540	0.670	276.640	106.400	67.200	450.240	0.670		
0.680	64.780	99.220	196.800	360.800	0.680	276.640	106.400	69.440	452.480	0.680		
0.690	64.780	102.500	201.720	369.000	0.690	276.640	106.400	69.440	452.480	0.690		
0.700	67.240	102.500	201.720	371.460	0.700	276.640	106.400	69.440	452.480	0.700		
0.710	64.780	102.500	201.720	369.000	0.710	276.640	106.400	69.440	452.480	0.710		
0.720	64.780	102.500	205.000	372.280	0.720	274.400	104.160	69.440	448.000	0.720		
0.730	64.780	102.500	201.720	369.000	0.730	275.000	106.700	69.300	451.000	0.730		
0.740	64.780	102.500	205.000	372.280	0.740	275.000	104.500	69.300	448.800	0.740		
0.750	64.780	102.500	201.720	369.000	0.750	275.000	106.700	69.300	451.000	0.750		
0.760	64.780	99.220	201.720	365.720	0.760	271.700	106.700	71.500	449.900	0.760		
0.770	64.780	102.500	201.720	369.000	0.770	271.700	106.700	69.300	447.700	0.770		
0.780	64.780	102.500	205.000	372.280	0.780	271.700	106.700	69.300	447.700	0.780		
0.790	64.780	102.500	201.720	369.000	0.790	271.700	106.700	71.500	449.900	0.790		
0.800	64.780	102.500	199.260	366.540	0.800	275.000	106.700	71.500	453.200	0.800		
0.810	64.780	102.500	199.260	366.540	0.810	271.700	106.700	71.500	449.900	0.810		
0.820	64.780	99.220	199.260	363.260	0.820	271.700	106.700	71.500	449.900	0.820		
0.830	64.780	102.500	201.720	369.000	0.830	271.700	106.700	71.500	449.900	0.830		
0.840	67.240	99.220	199.260	365.720	0.840	271.700	106.700	71.500	449.900	0.840		
0.850	64.780	99.220	199.260	363.260	0.850	271.700	110.000	74.800	456.500	0.850		
0.860	64.780	102.500	199.260	366.540	0.860	271.700	106.700	71.500	449.900	0.860		
0.870	64.780	102.500	201.720	369.000	0.870	271.700	110.000	71.500	453.200	0.870		
0.880	64.780	99.220	199.260	363.260	0.880	271.700	110.000	74.800	456.500	0.880		
0.890	67.240	99.220	196.800	363.260	0.890	275.000	110.000	71.500	456.500	0.890		
0.900	64.800	100.000	200.000	364.800	0.900	271.700	110.000	74.800	456.500	0.900		
0.910	64.800	100.000	200.000	364.800	0.910	271.700	110.000	74.800	456.500	0.910		
0.920	64.800	100.000	196.800	361.600	0.920	275.000	110.000	71.500	456.500	0.920		
0.930	64.800	100.000	196.800	361.600	0.930	275.000	110.000	74.800	459.800	0.930		
0.940	67.200	100.000	196.800	364.000	0.940	271.700	110.000	71.500	453.200	0.940		
0.950	67.200	100.000	196.800	364.000	0.950	271.700	110.000	74.800	456.500	0.950		
0.960	67.200	100.000	196.800	364.000	0.960	271.700	110.000	74.800	456.500	0.960		
0.970	67.200	100.000	200.000	367.200	0.970	275.000	110.000	74.800	459.800	0.970		
0.980	67.200	96.800	196.800	360.800	0.980	271.700	110.000	74.800	456.500	0.980		
0.990	67.200	96.800	194.400	358.400	0.990	271.700	110.000	77.000	458.700	0.990		
1.000	67.200	96.800	196.800	360.800	1.000	271.700	110.000	74.800	456.500	1.000		
1.010	69.600	96.800	194.400	360.800	1.010	271.700	110.000	77.000	458.700	1.010		
1.020	69.600	94.400	194.400	358.400	1.020	271.700	110.000	77.000	458.700	1.020		
1.030	69.600	96.800	192.000	358.400	1.030	270.000	109.080	76.680	455.760	1.030		
1.040	69.600	96.800	189.600	356.000	1.040	270.000	109.080	79.920	459.000	1.040		
1.050	72.380	97.020	192.500	361.900	1.050	270.000	109.080	76.680	455.760	1.050		
1.060	72.380	97.020	189.420	358.820	1.060	270.000	109.080	79.920	459.000	1.060		
1.070	74.690	97.020	189.420	361.130	1.070	270.000	109.080	79.920	459.000	1.070		
1.080	74.690	97.020	189.420	361.130	1.080	270.000	109.080	79.920	459.000	1.080		
1.090	74.690	97.020	187.110	358.820	1.090	270.000	109.080	79.920	459.000	1.090		
1.100	74.690	94.710	187.110	356.510	1.100	270.000	109.080	79.920	459.000	1.100		
1.110	77.000	97.020	187.110	361.130	1.110	270.000	109.080	82.080	461.160	1.110		
1.120	77.000	94.710	184.800	356.510	1.120	266.760	109.080	82.080	457.920	1.120		
1.130	77.000	94.710	184.800	356.510	1.130	266.760	109.080	82.080	457.920	1.130		
1.140	77.000	94.710	184.800	356.510	1.140	266.760	109.080	84.240	460.080	1.140		
1.150	77.000	94.710	184.800	356.510	1.150	264.600	109.080	82.080	455.760	1.150		
1.160	77.000	94.710	187.110	358.820	1.160	264.600	109.080	82.080	455.760	1.160		
1.170	77.000	94.710	184.800	356.510	1.170	264.600	109.080	82.080	455.760	1.170		
1.180	77.000	94.710	184.800	356.510	1.180	264.290	109.140	82.390	455.820	1.180		
1.190	77.000	97.020	184.800	358.820	1.190	264.290	109.140	84.530	457.960	1.190		
1.200	77.250	94.500	184.500	356.250	1.200	264.290	109.140	84.530	457.960	1.200		
1.210	77.250	94.500	184.500	356.250	1.210	264.290	109.140	84.530	457.960	1.210		
1.220	77.250	94.500	184.500	356.250	1.220	264.290	109.140	84.530	457.960	1.220		
1.230	79.500	94.500	182.250	356.250	1.230	264.290	109.140	84.530	457.960	1.230		
1.240	79.500	94.500	184.500	358.500	1.240	264.290	109.140	84.530	457.960	1.240		
1.250	77.250	94.500	182.250	354.000	1.250	264.290	112.350	84.530	461.170	1.250		
1.260	77.250	94.500	184.500	356.250	1.260	264.290	112.350	84.530	461.170	1.260		
1.270	79.500	94.500	184.500	358.500	1.270	264.290	112.350	84.530	461.170	1.270		
1.280	79.500	94.500	184.500	358.500	1.280	264.290	112.350	84.530	461.170	1.280		
1.290	77.250	94.500	182.250	354.000	1.290	267.500	112.350	84.530	464.380	1.290		
1.300	77.250	94.500	184.500	356.250	1.300	264.290	112.350	84.530	461.170	1.300		
1.310	77.250	94.500	184.500	356.250	1.310	267.500	109.140	82.390	459.030	1.310		
1.320	77.250	94.500	184.500	356.250	1.320	267.500	109.140	82.390	459.030	1.320		
1.330	77.250	94.500	187.500	359.250	1.330	266.760	112.320	82.080	461.160	1.330		
1.340	77.250	94.500	184.500	356.250	1.340	266.760	109.080	82.080	457.920	1.340		
1.350	76.760	95.000	184.680	356.440	1.350	266.760	112.320	82.080	461.160	1.350		
1.360	76.760	95.000	186.960	358.720	1.360	266.760	109.080	79.920	455.760	1.360		
1.370	76.760	95.000	186.960	358.720	1.370	266.760	109.080	82.080	457.920	1.370		
1.380	76.760	95.000	186.960	358.720	1.380	266.760	109.080	79.920	455.760	1.380		
1.390	76.760	95.000	186.960	358.720	1.390	266.760	109.080	79.920	455.760	1.390		
1.400	76.760	95.000	186.960	358.720	1.400	270.000	109.080	79.920	459.000	1.400		
1.410	76.760	95.000	186.960	358.720	1.410	266.760	109.080	79.920	455.760	1.410		
1.420	76.760	95.000	190.000	361.760	1.420	266.760	109.080	79.920	455.760	1.420		
1.430	79.800	95.000	186.960	361.760	1.430	266.760	109.080	79.920	455.760	1.430		
1.440	79.800	95.000	186.960	361.760	1.440	266.760	109.080	79.920	455.760	1.440		
1.450	76.760	95.000	190.000	361.760	1.450	264.600	109.080	76.680	450.360	1.450		
1.460	76.760	95.000	190.000	361.760	1.460	266.760	109.080	79.920	455.760	1.460		
1.470	76.760	95.000	190.000	361.760	1.470	264.600	109.080	79.920	453.600	1.470		
1.480	76.760	97.280	190.000	364.040	1.480	267.500	109.140	79.180	455.820	1.480		
1.490	76.760	95.000	186.960	358.720	1.490	267.500	109.140	79.180	455.820	1.490		
1.500	79.800	95.000	186.960	361.760	1.500	267.500	109.140	79.180	455.820	1.500		
1.510	79.800	97.280	190.000	367.080	1.510	267.500	109.140	79.180	455.820	1.510		
1.520	79.800	97.280	186.960	364.040	1.520	267.500	109.140	79.180	455.820	1.520		
1.530	79.800	97.280	186.960	364.040	1.530	264.290	107.000	79.180	450.470	1.530		
1.540	79.800	97.280	186.960	364.040	1.540	267.500	109.140	79.180	455.820	1.540		
1.550	79.800	97.280	186.960	364.040	1.550	264.290	107.000	79.180	450.470	1.550		
1.560	79.800	97.280	190.000	367.080	1.560	264.290	107.000	82.390	453.680	1.560		
1.570	79.800	97.280	186.960	364.040	1.570	264.290	107.000	79.180	450.470	1.570		
1.580	79.800	97.280	186.960	364.040	1.580	264.290	109.140	82.390	455.820	1.580		
1.590	82.080	97.280	184.680	364.040	1.590	264.290	107.000	82.390	453.680	1.590		
1.600	79.800	97.280	184.680	361.760	1.600	264.290	107.000	82.390	453.680	1.600		
1.610	79.800	97.280	186.960	364.040	1.610	264.290	107.000	82.390	453.680	1.610		
1.620	79.800	97.280	184.680	361.760	1.620	262.150	107.000	82.390	451.540	1.620		
1.630	79.800	97.280	186.960	364.040	1.630	265.000	107.060	84.800	456.860	1.630		
1.640	82.080	97.280	186.960	366.320	1.640	261.820	107.060	81.620	450.500	1.640		
1.650	82.500	97.500	187.500	367.500	1.650	261.820	107.060	84.800	453.680	1.650		
1.660	82.500	97.500	187.500	367.500	1.660	261.820	107.060	84.800	453.680	1.660		
1.670	82.500	97.500	187.500	367.500	1.670	261.820	107.060	84.800	453.680	1.670		
1.680	82.500	97.500	187.500	367.500	1.680	261.820	109.180	86.920	457.920	1.680		
1.690	82.500	97.500	187.500	367.500	1.690	261.820	109.180	84.800	455.800	1.690		
1.700	79.500	97.500	187.500	364.500	1.700	259.700	107.060	84.800	451.560	1.700		
1.710	82.500	97.500	184.500	364.500	1.710	259.700	109.180	84.800	453.680	1.710		
1.720	82.500	97.500	184.500	364.500	1.720	261.820	107.060	84.800	453.680	1.720		
1.730	82.500	97.500	182.250	362.250	1.730	259.700	107.060	84.800	451.560	1.730		
1.740	82.500	97.500	184.500	364.500	1.740	261.820	107.060	84.800	453.680	1.740		
1.750	82.500	97.500	184.500	364.500	1.750	259.700	109.180	84.800	453.680	1.750		
1.760	82.500	97.500	184.500	364.500	1.760	261.820	107.060	84.800	453.680	1.760		
1.770	79.500	97.500	184.500	361.500	1.770	261.820	107.060	84.800	453.680	1.770		
1.780	82.500	97.500	187.500	367.500	1.780	261.800	106.700	84.700	453.200	1.780		
1.790	79.500	97.500	184.500	361.500	1.790	261.800	106.700	84.700	453.200	1.790		
1.800	79.920	96.940	185.000	361.860	1.800	261.800	106.700	84.700	453.200	1.800		
1.810	79.920	96.940	185.000	361.860	1.810	261.800	110.000	84.700	456.500	1.810		
1.820	79.920	96.940	185.000	361.860	1.820	264.000	110.000	84.700	458.700	1.820		
1.830	82.140	96.940	185.000	364.080	1.830	264.000	112.200	86.900	463.100	1.830		
1.840	79.920	96.940	185.000	361.860	1.840	267.300	112.200	84.700	464.200	1.840		
1.850	79.920	96.940	185.000	361.860	1.850	267.300	114.400	84.700	466.400	1.850		
1.860	79.920	96.940	182.040	358.900	1.860	269.500	114.400	84.700	468.600	1.860		
1.870	79.920	96.940	185.000	361.860	1.870	271.700	112.200	84.700	468.600	1.870		
1.880	79.920	94.720	182.040	356.680	1.880	271.700	114.400	84.700	470.800	1.880		
1.890	76.960	94.720	182.040	353.720	1.890	271.700	114.400	84.700	470.800	1.890		
1.900	76.960	94.720	182.040	353.720	1.900	271.700	114.400	84.700	470.800	1.900		
1.910	76.960	94.720	182.040	353.720	1.910	275.000	116.600	84.700	476.300	1.910		
1.920	74.740	92.500	179.820	347.060	1.920	275.000	116.600	84.700	476.300	1.920		
1.930	74.740	92.500	182.040	349.280	1.930	277.500	116.550	82.140	476.190	1.930		
1.940	74.740	92.500	182.040	349.280	1.940	277.500	116.550	82.140	476.190	1.940		
1.950	74.740	92.500	179.820	347.060	1.950	277.500	119.880	82.140	479.520	1.950		
1.960	74.740	89.540	176.860	341.140	1.960	277.500	116.550	79.920	473.970	1.960		
1.970	71.780	92.500	176.860	341.140	1.970	277.500	116.550	79.920	473.970	1.970		
1.980	71.780	89.540	176.860	338.180	1.980	277.500	116.550	79.920	473.970	1.980		
