C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\5\loadapp_2025-12-10_16-26-08-401.load
Comment S5 vh crashed
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	42.340	116.800	179.580	338.720	0.000	306.280	121.520	54.560	482.360	0.000		
0.010	44.530	116.800	182.500	343.830	0.010	310.000	124.000	54.560	488.560	0.010		
0.020	47.450	119.720	179.580	346.750	0.020	306.280	124.000	54.560	484.840	0.020		
0.030	47.450	116.800	179.580	343.830	0.030	306.280	124.000	54.560	484.840	0.030		
0.040	49.640	119.720	179.580	348.940	0.040	306.280	124.000	54.560	484.840	0.040		
0.050	47.450	119.720	179.580	346.750	0.050	306.280	124.000	54.560	484.840	0.050		
0.060	49.640	119.720	179.580	348.940	0.060	303.800	124.000	52.080	479.880	0.060		
0.070	47.450	119.720	179.580	346.750	0.070	303.800	124.000	52.080	479.880	0.070		
0.080	47.450	119.720	179.580	346.750	0.080	303.800	124.000	52.080	479.880	0.080		
0.090	47.450	119.720	179.580	346.750	0.090	301.320	124.000	52.080	477.400	0.090		
0.100	44.530	116.800	179.580	340.910	0.100	301.320	121.520	52.080	474.920	0.100		
0.110	44.530	116.800	182.500	343.830	0.110	301.320	124.000	52.080	477.400	0.110		
0.120	45.000	117.000	182.250	344.250	0.120	301.320	124.000	52.080	477.400	0.120		
0.130	42.000	117.000	182.250	341.250	0.130	298.840	124.000	52.080	474.920	0.130		
0.140	42.000	117.000	182.250	341.250	0.140	298.840	124.000	49.600	472.440	0.140		
0.150	42.000	117.000	184.500	343.500	0.150	298.870	124.630	49.610	473.110	0.150		
0.160	39.750	117.000	184.500	341.250	0.160	298.870	124.630	49.610	473.110	0.160		
0.170	39.750	117.000	184.500	341.250	0.170	298.870	124.630	49.610	473.110	0.170		
0.180	39.750	117.000	184.500	341.250	0.180	298.870	124.630	49.610	473.110	0.180		
0.190	37.500	117.000	184.500	339.000	0.190	298.870	124.630	49.610	473.110	0.190		
0.200	37.500	117.000	187.500	342.000	0.200	298.870	124.630	47.190	470.690	0.200		
0.210	37.500	117.000	187.500	342.000	0.210	298.870	124.630	47.190	470.690	0.210		
0.220	37.500	114.750	187.500	339.750	0.220	298.870	124.630	47.190	470.690	0.220		
0.230	34.500	117.000	187.500	339.000	0.230	298.870	122.210	47.190	468.270	0.230		
0.240	34.500	117.000	187.500	339.000	0.240	302.500	122.210	47.190	471.900	0.240		
0.250	34.500	117.000	184.500	336.000	0.250	302.500	122.210	47.190	471.900	0.250		
0.260	34.500	117.000	187.500	339.000	0.260	302.500	122.210	44.770	469.480	0.260		
0.270	34.650	117.040	187.110	338.800	0.270	302.500	122.210	44.770	469.480	0.270		
0.280	34.650	117.040	187.110	338.800	0.280	302.500	122.210	44.770	469.480	0.280		
0.290	34.650	117.040	189.420	341.110	0.290	302.500	122.210	44.770	469.480	0.290		
0.300	34.650	117.040	189.420	341.110	0.300	301.340	119.560	41.480	462.380	0.300		
0.310	34.650	117.040	189.420	341.110	0.310	301.340	122.000	43.920	467.260	0.310		
0.320	34.650	117.040	189.420	341.110	0.320	301.340	122.000	43.920	467.260	0.320		
0.330	34.650	117.040	189.420	341.110	0.330	305.000	122.000	43.920	470.920	0.330		
0.340	34.650	117.040	192.500	344.190	0.340	301.340	122.000	43.920	467.260	0.340		
0.350	34.650	117.040	189.420	341.110	0.350	301.340	122.000	43.920	467.260	0.350		
0.360	34.650	119.350	192.500	346.500	0.360	301.340	122.000	43.920	467.260	0.360		
0.370	34.650	119.350	189.420	343.420	0.370	305.000	122.000	43.920	470.920	0.370		
0.380	34.650	117.040	189.420	341.110	0.380	301.340	124.440	43.920	469.700	0.380		
0.390	34.650	117.040	192.500	344.190	0.390	301.340	124.440	43.920	469.700	0.390		
0.400	34.650	117.040	189.420	341.110	0.400	301.340	124.440	43.920	469.700	0.400		
0.410	36.960	119.350	189.420	345.730	0.410	301.340	124.440	43.920	469.700	0.410		
0.420	37.240	119.320	190.000	346.560	0.420	301.340	126.880	46.360	474.580	0.420		
0.430	37.240	122.360	190.000	349.600	0.430	305.000	126.880	46.360	478.240	0.430		
0.440	39.520	122.360	190.000	351.880	0.440	305.000	126.880	46.360	478.240	0.440		
0.450	39.520	122.360	190.000	351.880	0.450	305.000	126.880	46.360	478.240	0.450		
0.460	37.240	122.360	190.000	349.600	0.460	305.000	126.880	46.360	478.240	0.460		
0.470	39.520	122.360	186.960	348.840	0.470	305.000	124.440	46.360	475.800	0.470		
0.480	39.520	124.640	186.960	351.120	0.480	305.000	124.440	46.360	475.800	0.480		
0.490	37.240	122.360	190.000	349.600	0.490	305.000	124.440	46.360	475.800	0.490		
0.500	37.240	124.640	186.960	348.840	0.500	301.340	122.000	43.920	467.260	0.500		
0.510	37.240	124.640	190.000	351.880	0.510	301.340	122.000	43.920	467.260	0.510		
0.520	37.240	124.640	190.000	351.880	0.520	301.340	122.000	46.360	469.700	0.520		
0.530	37.240	126.920	190.000	354.160	0.530	301.340	122.000	43.920	467.260	0.530		
0.540	37.240	126.920	186.960	351.120	0.540	301.340	122.000	43.920	467.260	0.540		
0.550	37.240	129.960	190.000	357.200	0.550	301.340	122.000	41.480	464.820	0.550		
0.560	37.240	126.920	186.960	351.120	0.560	301.340	122.000	41.480	464.820	0.560		
0.570	36.960	129.360	189.420	355.740	0.570	301.340	119.560	41.480	462.380	0.570		
0.580	34.650	132.440	187.110	354.200	0.580	305.000	122.000	43.920	470.920	0.580		
0.590	34.650	132.440	187.110	354.200	0.590	301.340	122.000	41.480	464.820	0.590		
0.600	34.650	132.440	189.420	356.510	0.600	301.340	122.000	41.480	464.820	0.600		
0.610	34.650	132.440	189.420	356.510	0.610	301.340	122.000	43.920	467.260	0.610		
0.620	36.960	134.750	189.420	361.130	0.620	305.000	122.000	43.920	470.920	0.620		
0.630	34.650	132.440	187.110	354.200	0.630	305.000	124.440	43.920	473.360	0.630		
0.640	36.960	134.750	192.500	364.210	0.640	301.340	124.440	43.920	469.700	0.640		
0.650	36.960	134.750	189.420	361.130	0.650	305.000	124.440	43.920	473.360	0.650		
0.660	36.960	134.750	189.420	361.130	0.660	305.000	124.440	43.920	473.360	0.660		
0.670	36.960	134.750	189.420	361.130	0.670	301.340	124.440	43.920	469.700	0.670		
0.680	36.960	132.440	189.420	358.820	0.680	301.340	124.440	43.920	469.700	0.680		
0.690	36.960	132.440	189.420	358.820	0.690	301.340	124.440	43.920	469.700	0.690		
0.700	34.650	132.440	189.420	356.510	0.700	301.340	124.440	43.920	469.700	0.700		
0.710	34.650	129.360	189.420	353.430	0.710	298.900	124.440	43.920	467.260	0.710		
0.720	31.980	129.480	187.200	348.660	0.720	298.900	122.000	43.920	464.820	0.720		
0.730	31.980	129.480	187.200	348.660	0.730	296.460	122.000	43.920	462.380	0.730		
0.740	31.980	127.140	187.200	346.320	0.740	296.460	119.560	41.480	457.500	0.740		
0.750	29.640	124.800	187.200	341.640	0.750	296.450	119.790	42.350	458.590	0.750		
0.760	29.640	124.800	189.540	343.980	0.760	296.450	119.790	39.930	456.170	0.760		
0.770	29.640	124.800	187.200	341.640	0.770	296.450	117.370	39.930	453.750	0.770		
0.780	29.640	122.460	187.200	339.300	0.780	296.450	117.370	39.930	453.750	0.780		
0.790	27.300	122.460	187.200	336.960	0.790	296.450	117.370	39.930	453.750	0.790		
0.800	27.300	122.460	189.540	339.300	0.800	296.450	117.370	39.930	453.750	0.800		
0.810	29.640	124.800	187.200	341.640	0.810	298.870	119.790	39.930	458.590	0.810		
0.820	29.640	127.140	189.540	346.320	0.820	298.870	119.790	42.350	461.010	0.820		
0.830	31.980	127.140	191.880	351.000	0.830	298.870	122.210	42.350	463.430	0.830		
0.840	31.980	129.480	191.880	353.340	0.840	298.870	124.630	42.350	465.850	0.840		
0.850	31.980	127.140	189.540	348.660	0.850	298.870	124.630	42.350	465.850	0.850		
0.860	34.320	129.480	195.000	358.800	0.860	298.870	124.630	44.770	468.270	0.860		
0.870	34.440	127.100	191.880	353.420	0.870	298.870	124.630	44.770	468.270	0.870		
0.880	34.440	129.560	194.340	358.340	0.880	302.500	127.050	44.770	474.320	0.880		
0.890	34.440	129.560	194.340	358.340	0.890	302.500	127.050	44.770	474.320	0.890		
0.900	34.440	127.100	194.340	355.880	0.900	301.340	126.880	43.920	472.140	0.900		
0.910	36.900	129.560	194.340	360.800	0.910	301.340	126.880	43.920	472.140	0.910		
0.920	34.440	127.100	194.340	355.880	0.920	301.340	126.880	43.920	472.140	0.920		
