C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\5\loadapp_2025-12-10_16-20-25-079.load
Comment S5 weak Schuh offen
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	49.560	122.130	147.500	319.190	0.000	305.000	117.120	74.420	496.540	0.000		
0.010	49.560	122.130	147.500	319.190	0.010	305.000	117.120	74.420	496.540	0.010		
0.020	51.920	119.770	144.550	316.240	0.020	301.340	117.120	74.420	492.880	0.020		
0.030	51.920	119.770	144.550	316.240	0.030	301.340	117.120	76.860	495.320	0.030		
0.040	49.560	122.130	147.500	319.190	0.040	301.340	117.120	74.420	492.880	0.040		
0.050	49.560	122.130	144.550	316.240	0.050	301.340	119.560	76.860	497.760	0.050		
0.060	49.560	119.770	144.550	313.880	0.060	301.340	119.560	76.860	497.760	0.060		
0.070	49.560	119.770	147.500	316.830	0.070	301.340	119.560	76.860	497.760	0.070		
0.080	49.560	119.770	147.500	316.830	0.080	305.000	119.560	76.860	501.420	0.080		
0.090	49.560	119.770	144.550	313.880	0.090	301.340	119.560	76.860	497.760	0.090		
0.100	49.560	117.410	147.500	314.470	0.100	305.000	119.560	76.860	501.420	0.100		
0.110	49.560	117.410	147.500	314.470	0.110	305.000	119.560	74.420	498.980	0.110		
0.120	49.560	117.410	144.550	311.520	0.120	305.000	119.560	74.420	498.980	0.120		
0.130	49.560	114.460	147.500	311.520	0.130	305.000	119.560	76.860	501.420	0.130		
0.140	49.560	112.100	147.500	309.160	0.140	305.000	119.560	74.420	498.980	0.140		
0.150	49.920	112.000	149.760	311.680	0.150	305.000	122.000	76.860	503.860	0.150		
0.160	49.920	109.440	149.760	309.120	0.160	305.000	122.000	76.860	503.860	0.160		
0.170	52.480	106.880	152.320	311.680	0.170	305.000	122.000	76.860	503.860	0.170		
0.180	52.480	106.880	154.880	314.240	0.180	305.000	122.000	79.300	506.300	0.180		
0.190	54.400	104.960	152.320	311.680	0.190	305.000	122.000	79.300	506.300	0.190		
0.200	54.400	102.400	154.880	311.680	0.200	305.000	122.000	79.300	506.300	0.200		
0.210	54.400	99.840	154.880	309.120	0.210	305.000	124.440	79.300	508.740	0.210		
0.220	56.960	97.280	157.440	311.680	0.220	305.000	124.440	79.300	508.740	0.220		
0.230	56.960	97.280	154.880	309.120	0.230	305.000	124.440	79.300	508.740	0.230		
0.240	56.960	94.720	154.880	306.560	0.240	305.000	124.440	81.740	511.180	0.240		
0.250	59.520	94.720	157.440	311.680	0.250	305.000	124.440	79.300	508.740	0.250		
0.260	59.520	94.720	157.440	311.680	0.260	305.000	124.440	81.740	511.180	0.260		
0.270	59.520	94.720	157.440	311.680	0.270	305.000	124.440	79.300	508.740	0.270		
0.280	62.080	94.720	160.000	316.800	0.280	305.000	124.440	79.300	508.740	0.280		
0.290	59.520	94.720	160.000	314.240	0.290	305.000	124.440	79.300	508.740	0.290		
0.300	62.080	94.720	157.440	314.240	0.300	303.810	124.230	79.950	507.990	0.300		
0.310	59.520	94.720	157.440	311.680	0.310	303.810	124.230	77.490	505.530	0.310		
0.320	59.520	94.720	160.000	314.240	0.320	303.810	121.770	77.490	503.070	0.320		
0.330	59.520	94.720	160.000	314.240	0.330	303.810	121.770	77.490	503.070	0.330		
0.340	59.520	92.160	157.440	309.120	0.340	303.810	121.770	73.800	499.380	0.340		
0.350	62.080	92.160	157.440	311.680	0.350	303.810	121.770	73.800	499.380	0.350		
0.360	62.080	92.160	157.440	311.680	0.360	307.500	119.310	71.340	498.150	0.360		
0.370	64.640	92.160	157.440	314.240	0.370	307.500	121.770	71.340	500.610	0.370		
0.380	64.640	92.160	157.440	314.240	0.380	307.500	119.310	71.340	498.150	0.380		
0.390	64.640	92.160	157.440	314.240	0.390	307.500	119.310	71.340	498.150	0.390		
0.400	64.640	92.160	157.440	314.240	0.400	307.500	119.310	68.880	495.690	0.400		
0.410	67.200	94.720	157.440	319.360	0.410	307.500	119.310	68.880	495.690	0.410		
0.420	69.760	94.720	154.880	319.360	0.420	307.500	119.310	68.880	495.690	0.420		
0.430	69.760	94.720	157.440	321.920	0.430	307.500	119.310	68.880	495.690	0.430		
0.440	69.760	94.720	154.880	319.360	0.440	307.500	119.310	68.880	495.690	0.440		
0.450	72.450	94.500	154.980	321.930	0.450	306.280	119.040	69.440	494.760	0.450		
0.460	72.450	97.020	157.500	326.970	0.460	306.280	119.040	69.440	494.760	0.460		
0.470	74.970	97.020	154.980	326.970	0.470	306.280	121.520	69.440	497.240	0.470		
0.480	74.970	97.020	154.980	326.970	0.480	306.280	119.040	69.440	494.760	0.480		
0.490	74.970	94.500	154.980	324.450	0.490	310.000	119.040	69.440	498.480	0.490		
0.500	74.970	97.020	157.500	329.490	0.500	310.000	119.040	69.440	498.480	0.500		
0.510	74.970	97.020	157.500	329.490	0.510	310.000	119.040	66.960	496.000	0.510		
0.520	74.970	97.020	157.500	329.490	0.520	310.000	119.040	66.960	496.000	0.520		
0.530	74.970	97.020	157.500	329.490	0.530	310.000	119.040	66.960	496.000	0.530		
0.540	74.970	97.020	157.500	329.490	0.540	306.280	116.560	64.480	487.320	0.540		
0.550	74.970	97.020	154.980	326.970	0.550	310.000	116.560	66.960	493.520	0.550		
0.560	74.970	97.020	154.980	326.970	0.560	310.000	119.040	64.480	493.520	0.560		
0.570	74.970	97.020	154.980	326.970	0.570	310.000	116.560	64.480	491.040	0.570		
0.580	74.970	97.020	157.500	329.490	0.580	310.000	116.560	64.480	491.040	0.580		
0.590	74.970	97.020	154.980	326.970	0.590	306.280	116.560	64.480	487.320	0.590		
0.600	74.970	97.020	157.500	329.490	0.600	306.280	116.560	64.480	487.320	0.600		
0.610	74.970	97.020	157.500	329.490	0.610	306.280	116.560	64.480	487.320	0.610		
0.620	74.970	97.020	154.980	326.970	0.620	310.000	116.560	64.480	491.040	0.620		
0.630	74.970	97.020	157.500	329.490	0.630	310.000	116.560	64.480	491.040	0.630		
0.640	74.970	97.020	154.980	326.970	0.640	306.280	116.560	62.000	484.840	0.640		
0.650	74.970	97.020	154.980	326.970	0.650	310.000	116.560	64.480	491.040	0.650		
0.660	74.970	97.020	157.500	329.490	0.660	310.000	116.560	64.480	491.040	0.660		
0.670	77.490	97.020	154.980	329.490	0.670	310.000	116.560	62.000	488.560	0.670		
0.680	74.970	97.020	154.980	326.970	0.680	310.000	114.080	62.000	486.080	0.680		
0.690	74.970	97.020	154.980	326.970	0.690	310.000	114.080	62.000	486.080	0.690		
0.700	74.970	97.020	154.980	326.970	0.700	310.000	116.560	62.000	488.560	0.700		
0.710	77.490	97.020	152.460	326.970	0.710	310.000	114.080	62.000	486.080	0.710		
0.720	77.490	97.020	154.980	329.490	0.720	310.000	114.080	62.000	486.080	0.720		
0.730	77.490	99.540	154.980	332.010	0.730	310.000	114.080	62.000	486.080	0.730		
0.740	77.490	97.020	154.980	329.490	0.740	310.000	114.080	62.000	486.080	0.740		
0.750	77.500	99.820	155.000	332.320	0.750	312.500	117.500	62.500	492.500	0.750		
0.760	77.500	97.340	151.900	326.740	0.760	312.500	115.000	62.500	490.000	0.760		
0.770	77.500	99.820	155.000	332.320	0.770	312.500	115.000	62.500	490.000	0.770		
0.780	77.500	99.820	151.900	329.220	0.780	312.500	115.000	62.500	490.000	0.780		
0.790	77.500	99.820	151.900	329.220	0.790	312.500	115.000	62.500	490.000	0.790		
0.800	79.980	99.820	151.900	331.700	0.800	312.500	115.000	62.500	490.000	0.800		
0.810	79.980	97.340	151.900	329.220	0.810	312.500	115.000	60.000	487.500	0.810		
0.820	79.980	99.820	151.900	331.700	0.820	312.500	115.000	62.500	490.000	0.820		
0.830	79.980	99.820	151.900	331.700	0.830	312.500	115.000	60.000	487.500	0.830		
0.840	79.980	99.820	149.420	329.220	0.840	312.500	115.000	62.500	490.000	0.840		
0.850	79.980	99.820	151.900	331.700	0.850	312.500	115.000	60.000	487.500	0.850		
0.860	82.460	99.820	151.900	334.180	0.860	312.500	115.000	60.000	487.500	0.860		
0.870	79.980	99.820	151.900	331.700	0.870	312.500	115.000	60.000	487.500	0.870		
0.880	79.980	99.820	149.420	329.220	0.880	312.500	115.000	60.000	487.500	0.880		
