C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-38-02-783.load
Comment S6 b
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	170.000	104.720	144.840	419.560	0.000	199.520	102.340	124.700	426.560	0.000		
0.010	170.000	104.720	144.840	419.560	0.010	202.100	102.340	124.700	429.140	0.010		
0.020	167.280	104.720	144.840	416.840	0.020	202.100	102.340	122.120	426.560	0.020		
0.030	167.280	104.720	146.880	418.880	0.030	204.680	104.920	122.120	431.720	0.030		
0.040	164.560	104.720	146.880	416.160	0.040	207.260	104.920	122.120	434.300	0.040		
0.050	161.840	107.440	146.880	416.160	0.050	207.260	104.920	119.540	431.720	0.050		
0.060	159.800	107.440	149.600	416.840	0.060	207.260	104.920	119.540	431.720	0.060		
0.070	157.080	107.440	152.320	416.840	0.070	207.260	104.920	116.960	429.140	0.070		
0.080	157.080	107.440	154.360	418.880	0.080	209.840	107.500	116.960	434.300	0.080		
0.090	154.360	104.720	154.360	413.440	0.090	209.840	104.920	114.380	429.140	0.090		
0.100	152.320	107.440	154.360	414.120	0.100	212.420	104.920	111.800	429.140	0.100		
0.110	149.600	107.440	157.080	414.120	0.110	209.840	104.920	111.800	426.560	0.110		
0.120	149.600	107.440	159.800	416.840	0.120	212.420	107.500	111.800	431.720	0.120		
0.130	149.600	104.720	157.080	411.400	0.130	212.420	104.920	111.800	429.140	0.130		
0.140	146.880	104.720	157.080	408.680	0.140	215.000	107.500	111.800	434.300	0.140		
0.150	146.880	104.720	159.800	411.400	0.150	212.280	107.010	112.230	431.520	0.150		
0.160	146.880	104.720	159.800	411.400	0.160	212.280	107.010	109.620	428.910	0.160		
0.170	146.880	104.720	161.840	413.440	0.170	212.280	107.010	109.620	428.910	0.170		
0.180	146.880	104.720	161.840	413.440	0.180	214.890	109.620	109.620	434.130	0.180		
0.190	146.880	104.720	164.560	416.160	0.190	214.890	107.010	109.620	431.520	0.190		
0.200	146.880	104.720	164.560	416.160	0.200	214.890	107.010	107.010	428.910	0.200		
0.210	146.880	104.720	164.560	416.160	0.210	214.890	109.620	107.010	431.520	0.210		
0.220	144.840	104.720	164.560	414.120	0.220	214.890	107.010	104.400	426.300	0.220		
0.230	144.840	104.720	164.560	414.120	0.230	214.890	107.010	104.400	426.300	0.230		
0.240	142.120	104.720	167.280	414.120	0.240	214.890	107.010	104.400	426.300	0.240		
0.250	139.400	104.720	167.280	411.400	0.250	214.890	107.010	101.790	423.690	0.250		
0.260	142.120	104.720	170.000	416.840	0.260	214.890	107.010	101.790	423.690	0.260		
0.270	139.400	104.720	167.280	411.400	0.270	214.890	107.010	104.400	426.300	0.270		
0.280	139.400	102.000	170.000	411.400	0.280	217.500	107.010	104.400	428.910	0.280		
0.290	139.400	104.720	167.280	411.400	0.290	217.500	107.010	104.400	428.910	0.290		
0.300	139.400	104.720	170.000	414.120	0.300	217.160	109.470	102.350	428.980	0.300		
0.310	140.000	102.200	169.400	411.600	0.310	217.160	109.470	102.350	428.980	0.310		
0.320	140.000	105.000	169.400	414.400	0.320	219.830	109.470	102.350	431.650	0.320		
0.330	140.000	105.000	169.400	414.400	0.330	219.830	109.470	102.350	431.650	0.330		
