C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-42-48-639.load
Comment S6 bvr
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	207.260	79.980	129.860	417.100	0.000	154.840	71.890	194.340	421.070	0.000		
0.010	207.260	79.980	132.440	419.680	0.010	154.840	71.890	191.970	418.700	0.010		
0.020	207.260	79.980	129.860	417.100	0.020	152.470	71.890	194.340	418.700	0.020		
0.030	207.260	79.980	129.860	417.100	0.030	154.840	71.890	191.970	418.700	0.030		
0.040	207.260	77.400	129.860	414.520	0.040	152.470	69.520	194.340	416.330	0.040		
0.050	209.840	77.400	127.280	414.520	0.050	154.840	71.890	194.340	421.070	0.050		
0.060	209.840	77.400	129.860	417.100	0.060	152.470	71.890	194.340	418.700	0.060		
0.070	209.840	79.980	127.280	417.100	0.070	152.470	69.520	194.340	416.330	0.070		
0.080	212.420	79.980	127.280	419.680	0.080	152.470	69.520	194.340	416.330	0.080		
0.090	212.420	77.400	127.280	417.100	0.090	152.470	69.520	194.340	416.330	0.090		
0.100	212.420	77.400	127.280	417.100	0.100	152.470	69.520	194.340	416.330	0.100		
0.110	215.000	77.400	124.700	417.100	0.110	152.470	69.520	194.340	416.330	0.110		
0.120	214.200	77.400	124.200	415.800	0.120	149.310	69.520	197.500	416.330	0.120		
0.130	216.900	77.400	124.200	418.500	0.130	149.310	69.520	197.500	416.330	0.130		
0.140	216.900	77.400	122.400	416.700	0.140	149.310	69.520	197.500	416.330	0.140		
0.150	216.900	77.400	119.700	414.000	0.150	149.850	69.660	196.830	416.340	0.150		
0.160	219.600	77.400	119.700	416.700	0.160	149.850	72.090	199.260	421.200	0.160		
0.170	219.600	77.400	119.700	416.700	0.170	149.850	69.660	196.830	416.340	0.170		
0.180	222.300	77.400	117.000	416.700	0.180	149.850	69.660	199.260	418.770	0.180		
0.190	222.300	77.400	114.300	414.000	0.190	149.850	69.660	199.260	418.770	0.190		
0.200	222.300	77.400	117.000	416.700	0.200	149.850	72.090	199.260	421.200	0.200		
0.210	222.300	77.400	117.000	416.700	0.210	149.850	69.660	199.260	418.770	0.210		
0.220	222.300	77.400	117.000	416.700	0.220	147.420	69.660	196.830	413.910	0.220		
0.230	222.300	77.400	114.300	414.000	0.230	147.420	72.090	199.260	418.770	0.230		
0.240	222.300	77.400	117.000	416.700	0.240	147.420	69.660	199.260	416.340	0.240		
0.250	225.000	77.400	114.300	416.700	0.250	147.420	69.660	199.260	416.340	0.250		
0.260	225.000	77.400	114.300	416.700	0.260	147.420	72.090	199.260	418.770	0.260		
0.270	225.000	77.400	114.300	416.700	0.270	147.420	69.660	199.260	416.340	0.270		
0.280	225.000	77.400	112.500	414.900	0.280	147.420	72.090	202.500	422.010	0.280		
0.290	225.000	77.400	114.300	416.700	0.290	147.420	72.090	199.260	418.770	0.290		
0.300	225.000	77.400	114.300	416.700	0.300	147.200	72.000	200.000	419.200	0.300		
0.310	225.000	77.400	114.300	416.700	0.310	147.200	72.000	200.000	419.200	0.310		
0.320	225.000	77.400	117.000	419.400	0.320	147.200	69.600	200.000	416.800	0.320		
0.330	225.000	77.400	114.300	416.700	0.330	147.200	72.000	200.000	419.200	0.330		
0.340	225.000	77.400	114.300	416.700	0.340	147.200	69.600	200.000	416.800	0.340		
0.350	225.000	77.400	114.300	416.700	0.350	147.200	72.000	200.000	419.200	0.350		
0.360	225.000	77.400	114.300	416.700	0.360	147.200	72.000	200.000	419.200	0.360		
0.370	225.000	77.400	114.300	416.700	0.370	147.200	72.000	200.000	419.200	0.370		
0.380	225.000	77.400	114.300	416.700	0.380	147.200	69.600	196.800	413.600	0.380		
0.390	225.000	77.400	114.300	416.700	0.390	144.800	69.600	196.800	411.200	0.390		
0.400	225.000	77.400	114.300	416.700	0.400	144.800	69.600	200.000	414.400	0.400		
0.410	225.000	77.400	114.300	416.700	0.410	144.800	69.600	196.800	411.200	0.410		
0.420	224.480	77.280	116.840	418.600	0.420	144.800	69.600	196.800	411.200	0.420		
0.430	224.480	77.280	115.000	416.760	0.430	144.800	69.600	196.800	411.200	0.430		
0.440	224.480	77.280	115.000	416.760	0.440	147.200	69.600	196.800	413.600	0.440		
0.450	224.480	77.280	115.000	416.760	0.450	144.800	69.600	196.800	411.200	0.450		
0.460	227.240	77.280	115.000	419.520	0.460	144.800	69.600	196.800	411.200	0.460		
0.470	227.240	77.280	115.000	419.520	0.470	147.200	69.600	196.800	413.600	0.470		
0.480	227.240	77.280	115.000	419.520	0.480	144.800	69.600	196.800	411.200	0.480		
0.490	227.240	77.280	115.000	419.520	0.490	144.800	69.600	196.800	411.200	0.490		
0.500	227.240	77.280	115.000	419.520	0.500	147.200	69.600	196.800	413.600	0.500		
0.510	227.240	77.280	112.240	416.760	0.510	144.800	69.600	196.800	411.200	0.510		
