C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-45-58-690.load
Comment S6 h
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	189.420	79.310	92.400	361.130	0.000	177.000	87.000	184.500	448.500	0.000		
0.010	189.420	79.310	92.400	361.130	0.010	177.000	87.000	184.500	448.500	0.010		
0.020	189.420	79.310	89.320	358.050	0.020	177.000	87.000	187.500	451.500	0.020		
0.030	192.500	79.310	92.400	364.210	0.030	180.000	87.000	184.500	451.500	0.030		
0.040	189.420	77.000	89.320	355.740	0.040	180.000	87.000	184.500	451.500	0.040		
0.050	189.420	79.310	92.400	361.130	0.050	180.000	87.000	184.500	451.500	0.050		
0.060	189.420	79.310	92.400	361.130	0.060	180.000	87.000	187.500	454.500	0.060		
0.070	189.420	79.310	92.400	361.130	0.070	180.000	90.000	184.500	454.500	0.070		
0.080	189.420	79.310	92.400	361.130	0.080	180.000	90.000	184.500	454.500	0.080		
0.090	189.420	79.310	92.400	361.130	0.090	180.000	87.000	184.500	451.500	0.090		
0.100	189.420	79.310	94.710	363.440	0.100	180.000	90.000	184.500	454.500	0.100		
0.110	189.420	79.310	92.400	361.130	0.110	180.000	90.000	184.500	454.500	0.110		
0.120	187.110	79.310	92.400	358.820	0.120	180.000	87.000	184.500	451.500	0.120		
0.130	189.420	79.310	92.400	361.130	0.130	180.000	90.000	184.500	454.500	0.130		
0.140	189.420	79.310	92.400	361.130	0.140	180.000	90.000	184.500	454.500	0.140		
0.150	189.420	79.310	92.400	361.130	0.150	180.000	87.000	184.500	451.500	0.150		
0.160	189.420	79.310	92.400	361.130	0.160	180.000	90.000	184.500	454.500	0.160		
0.170	189.420	79.310	92.400	361.130	0.170	180.000	87.000	182.250	449.250	0.170		
0.180	189.420	79.310	92.400	361.130	0.180	180.000	90.000	184.500	454.500	0.180		
0.190	189.420	79.310	92.400	361.130	0.190	180.000	87.000	182.250	449.250	0.190		
0.200	189.420	79.310	92.400	361.130	0.200	180.000	87.000	184.500	451.500	0.200		
0.210	189.420	79.310	92.400	361.130	0.210	180.000	87.000	184.500	451.500	0.210		
0.220	189.420	79.310	92.400	361.130	0.220	180.000	87.000	184.500	451.500	0.220		
0.230	189.420	79.310	92.400	361.130	0.230	177.000	87.000	184.500	448.500	0.230		
0.240	189.420	79.310	92.400	361.130	0.240	177.000	87.000	184.500	448.500	0.240		
