C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-48-44-477.load
Comment S6 vh crashed
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	129.920	114.800	140.000	384.720	0.000	230.000	87.400	137.080	454.480	0.000		
0.010	132.160	112.000	137.200	381.360	0.010	230.000	87.400	137.080	454.480	0.010		
0.020	129.920	112.000	137.200	379.120	0.020	230.000	84.640	137.080	451.720	0.020		
0.030	129.920	112.000	140.000	381.920	0.030	230.000	87.400	137.080	454.480	0.030		
0.040	132.160	112.000	137.200	381.360	0.040	230.000	87.400	137.080	454.480	0.040		
0.050	132.160	112.000	140.000	384.160	0.050	230.000	87.400	139.840	457.240	0.050		
0.060	129.920	112.000	137.200	379.120	0.060	230.000	87.400	137.080	454.480	0.060		
0.070	132.160	112.000	140.000	384.160	0.070	227.240	87.400	137.080	451.720	0.070		
0.080	132.160	112.000	137.200	381.360	0.080	230.000	87.400	137.080	454.480	0.080		
0.090	132.160	112.000	140.000	384.160	0.090	230.000	87.400	137.080	454.480	0.090		
0.100	132.160	112.000	137.200	381.360	0.100	230.000	87.400	139.840	457.240	0.100		
0.110	129.920	109.760	140.000	379.680	0.110	230.000	87.400	139.840	457.240	0.110		
0.120	132.160	109.760	137.200	379.120	0.120	227.240	87.400	139.840	454.480	0.120		
0.130	129.800	110.000	137.500	377.300	0.130	227.240	87.400	139.840	454.480	0.130		
0.140	129.800	110.000	137.500	377.300	0.140	230.000	87.400	137.080	454.480	0.140		
0.150	132.000	110.000	137.500	379.500	0.150	230.000	87.400	139.840	457.240	0.150		
0.160	132.000	110.000	137.500	379.500	0.160	227.240	87.400	139.840	454.480	0.160		
0.170	132.000	110.000	137.500	379.500	0.170	227.240	89.240	139.840	456.320	0.170		
0.180	129.800	110.000	137.500	377.300	0.180	227.240	89.240	139.840	456.320	0.180		
0.190	132.000	110.000	137.500	379.500	0.190	230.000	89.240	139.840	459.080	0.190		
0.200	132.000	110.000	137.500	379.500	0.200	227.240	89.240	139.840	456.320	0.200		
0.210	132.000	110.000	137.500	379.500	0.210	230.000	89.240	139.840	459.080	0.210		
0.220	132.000	110.000	134.750	376.750	0.220	227.240	89.240	141.680	458.160	0.220		
0.230	132.000	110.000	137.500	379.500	0.230	227.240	87.400	141.680	456.320	0.230		
0.240	132.000	110.000	134.750	376.750	0.240	227.240	87.400	141.680	456.320	0.240		
0.250	132.000	110.000	137.500	379.500	0.250	227.240	87.400	141.680	456.320	0.250		
0.260	132.000	110.000	134.750	376.750	0.260	227.240	89.240	141.680	458.160	0.260		
0.270	134.750	110.000	134.750	379.500	0.270	224.480	89.240	141.680	455.400	0.270		
0.280	134.750	110.000	134.750	379.500	0.280	224.480	89.240	141.680	455.400	0.280		
0.290	134.750	107.250	132.000	374.000	0.290	224.480	89.240	144.440	458.160	0.290		
0.300	134.750	110.000	137.500	382.250	0.300	225.000	90.000	144.900	459.900	0.300		
0.310	134.750	110.000	134.750	379.500	0.310	225.000	90.000	144.900	459.900	0.310		
0.320	134.750	110.000	134.750	379.500	0.320	225.000	90.000	144.900	459.900	0.320		
0.330	134.750	110.000	134.750	379.500	0.330	225.000	90.000	144.900	459.900	0.330		
0.340	134.750	107.250	134.750	376.750	0.340	222.300	90.000	144.900	457.200	0.340		
0.350	134.750	110.000	132.000	376.750	0.350	222.300	90.000	144.900	457.200	0.350		
0.360	134.750	107.250	132.000	374.000	0.360	222.300	90.000	144.900	457.200	0.360		
0.370	137.500	107.250	132.000	376.750	0.370	222.300	90.000	144.900	457.200	0.370		
0.380	137.500	107.250	132.000	376.750	0.380	222.300	90.000	146.700	459.000	0.380		
0.390	137.500	107.250	129.800	374.550	0.390	219.600	91.800	146.700	458.100	0.390		
0.400	137.500	107.250	132.000	376.750	0.400	222.300	90.000	146.700	459.000	0.400		
0.410	137.500	110.000	132.000	379.500	0.410	219.600	90.000	146.700	456.300	0.410		
0.420	137.500	107.250	129.800	374.550	0.420	219.600	90.000	146.700	456.300	0.420		
0.430	139.650	109.440	129.960	379.050	0.430	219.600	91.800	149.400	460.800	0.430		
