C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-56-48-347.load
Comment S6 vw
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	210.000	82.320	67.200	359.520	0.000	147.060	74.820	215.000	436.880	0.000		
0.010	210.000	84.840	67.200	362.040	0.010	147.060	77.400	215.000	439.460	0.010		
0.020	210.000	82.320	67.200	359.520	0.020	147.060	74.820	215.000	436.880	0.020		
0.030	207.480	84.840	67.200	359.520	0.030	147.060	77.400	215.000	439.460	0.030		
0.040	207.480	84.840	67.200	359.520	0.040	147.060	77.400	215.000	439.460	0.040		
0.050	207.480	84.840	67.200	359.520	0.050	149.640	77.400	215.000	442.040	0.050		
0.060	204.960	84.840	64.680	354.480	0.060	149.640	77.400	215.000	442.040	0.060		
0.070	207.480	84.840	67.200	359.520	0.070	147.060	77.400	215.000	439.460	0.070		
0.080	204.960	84.840	67.200	357.000	0.080	149.640	77.400	215.000	442.040	0.080		
0.090	204.960	84.840	67.200	357.000	0.090	149.640	77.400	212.420	439.460	0.090		
0.100	204.960	84.840	67.200	357.000	0.100	149.640	77.400	215.000	442.040	0.100		
0.110	204.960	84.840	67.200	357.000	0.110	149.640	77.400	212.420	439.460	0.110		
0.120	204.960	84.840	67.200	357.000	0.120	149.640	77.400	212.420	439.460	0.120		
0.130	204.960	84.840	67.200	357.000	0.130	152.220	77.400	215.000	444.620	0.130		
0.140	204.960	84.840	67.200	357.000	0.140	152.220	77.400	215.000	444.620	0.140		
0.150	205.000	84.460	67.240	356.700	0.150	149.600	77.350	212.500	439.450	0.150		
0.160	205.000	84.460	64.780	354.240	0.160	152.150	79.900	212.500	444.550	0.160		
0.170	205.000	84.460	67.240	356.700	0.170	152.150	77.350	212.500	442.000	0.170		
0.180	205.000	84.460	67.240	356.700	0.180	152.150	77.350	212.500	442.000	0.180		
0.190	205.000	84.460	67.240	356.700	0.190	152.150	77.350	212.500	442.000	0.190		
0.200	205.000	84.460	67.240	356.700	0.200	154.700	79.900	212.500	447.100	0.200		
0.210	201.720	84.460	64.780	350.960	0.210	152.150	77.350	212.500	442.000	0.210		
0.220	205.000	84.460	64.780	354.240	0.220	152.150	77.350	212.500	442.000	0.220		
0.230	201.720	84.460	67.240	353.420	0.230	154.700	77.350	212.500	444.550	0.230		
0.240	201.720	84.460	67.240	353.420	0.240	154.700	77.350	212.500	444.550	0.240		
0.250	201.720	84.460	69.700	355.880	0.250	154.700	79.900	212.500	447.100	0.250		
0.260	201.720	84.460	64.780	350.960	0.260	154.700	79.900	209.950	444.550	0.260		
0.270	201.720	84.460	67.240	353.420	0.270	154.700	79.900	212.500	447.100	0.270		
0.280	205.000	84.460	64.780	354.240	0.280	154.700	77.350	209.950	442.000	0.280		
0.290	205.000	84.460	64.780	354.240	0.290	154.700	79.900	209.950	444.550	0.290		
0.300	207.500	87.150	64.740	359.390	0.300	154.700	79.900	212.500	447.100	0.300		
0.310	207.500	87.150	64.740	359.390	0.310	154.700	79.900	212.500	447.100	0.310		
0.320	207.500	84.660	64.740	356.900	0.320	154.700	79.900	209.950	444.550	0.320		
0.330	207.500	84.660	64.740	356.900	0.330	154.700	79.900	212.500	447.100	0.330		
0.340	207.500	84.660	64.740	356.900	0.340	157.250	79.900	209.950	447.100	0.340		
0.350	207.500	84.660	64.740	356.900	0.350	154.700	79.900	209.950	444.550	0.350		
0.360	207.500	84.660	64.740	356.900	0.360	154.700	79.900	209.950	444.550	0.360		
0.370	207.500	84.660	64.740	356.900	0.370	154.700	77.350	209.950	442.000	0.370		
0.380	207.500	84.660	67.230	359.390	0.380	157.250	79.900	209.950	447.100	0.380		
0.390	207.500	84.660	67.230	359.390	0.390	154.700	79.900	209.950	444.550	0.390		
0.400	207.500	84.660	64.740	356.900	0.400	157.250	77.350	209.950	444.550	0.400		
0.410	207.500	84.660	64.740	356.900	0.410	154.700	79.900	209.950	444.550	0.410		
0.420	207.500	84.660	67.230	359.390	0.420	154.700	79.900	207.400	442.000	0.420		
0.430	204.180	82.170	67.230	353.580	0.430	154.700	79.900	209.950	444.550	0.430		
0.440	204.180	84.660	64.740	353.580	0.440	154.700	79.900	209.950	444.550	0.440		
0.450	205.000	82.000	67.240	354.240	0.450	154.700	77.350	209.950	442.000	0.450		
0.460	201.720	84.460	67.240	353.420	0.460	154.700	79.900	207.400	442.000	0.460		
0.470	201.720	84.460	67.240	353.420	0.470	157.250	79.900	209.950	447.100	0.470		
0.480	201.720	82.000	67.240	350.960	0.480	154.700	79.900	207.400	442.000	0.480		
0.490	201.720	84.460	67.240	353.420	0.490	157.250	79.900	209.950	447.100	0.490		
0.500	201.720	84.460	69.700	355.880	0.500	154.700	79.900	209.950	444.550	0.500		
0.510	199.260	84.460	72.160	355.880	0.510	154.700	79.900	209.950	444.550	0.510		
0.520	199.260	84.460	69.700	353.420	0.520	154.700	77.350	209.950	442.000	0.520		
0.530	199.260	82.000	69.700	350.960	0.530	154.700	79.900	209.950	444.550	0.530		
0.540	199.260	82.000	69.700	350.960	0.540	154.700	79.900	209.950	444.550	0.540		
0.550	201.720	82.000	72.160	355.880	0.550	154.700	79.900	212.500	447.100	0.550		
0.560	201.720	82.000	69.700	353.420	0.560	154.700	79.900	209.950	444.550	0.560		
0.570	201.720	79.540	69.700	350.960	0.570	157.250	79.900	209.950	447.100	0.570		
0.580	205.000	82.000	67.240	354.240	0.580	154.700	79.900	209.950	444.550	0.580		
0.590	205.000	82.000	67.240	354.240	0.590	157.250	79.900	212.500	449.650	0.590		
0.600	207.370	81.880	66.750	356.000	0.600	154.700	79.900	212.500	447.100	0.600		
0.610	209.150	81.880	64.970	356.000	0.610	154.700	79.900	209.950	444.550	0.610		
0.620	211.820	81.880	62.300	356.000	0.620	154.700	79.900	209.950	444.550	0.620		
0.630	214.490	79.210	64.970	358.670	0.630	154.700	77.350	209.950	442.000	0.630		
0.640	214.490	81.880	62.300	358.670	0.640	154.700	79.900	209.950	444.550	0.640		
0.650	214.490	81.880	62.300	358.670	0.650	154.700	79.900	209.950	444.550	0.650		
0.660	214.490	79.210	62.300	356.000	0.660	154.700	79.900	209.950	444.550	0.660		
0.670	214.490	79.210	59.630	353.330	0.670	154.700	77.350	209.950	442.000	0.670		
0.680	217.160	79.210	59.630	356.000	0.680	152.150	77.350	209.950	439.450	0.680		
0.690	217.160	77.430	59.630	354.220	0.690	152.150	77.350	209.950	439.450	0.690		
0.700	217.160	77.430	59.630	354.220	0.700	154.700	79.900	209.950	444.550	0.700		
0.710	219.830	77.430	59.630	356.890	0.710	152.150	79.900	209.950	442.000	0.710		
0.720	219.830	77.430	56.960	354.220	0.720	152.150	79.900	209.950	442.000	0.720		
0.730	219.830	77.430	56.960	354.220	0.730	152.150	79.900	209.950	442.000	0.730		
0.740	222.500	77.430	56.960	356.890	0.740	152.150	77.350	212.500	442.000	0.740		
0.750	221.720	77.280	57.040	356.040	0.750	152.150	79.900	212.500	444.550	0.750		
0.760	221.720	77.280	54.280	353.280	0.760	152.150	79.900	212.500	444.550	0.760		
0.770	224.480	77.280	57.040	358.800	0.770	152.150	79.900	212.500	444.550	0.770		
0.780	224.480	77.280	54.280	356.040	0.780	152.150	79.900	212.500	444.550	0.780		
0.790	224.480	77.280	54.280	356.040	0.790	152.150	79.900	212.500	444.550	0.790		
0.800	224.480	74.520	54.280	353.280	0.800	152.150	79.900	212.500	444.550	0.800		
0.810	227.240	77.280	54.280	358.800	0.810	152.150	79.900	212.500	444.550	0.810		
0.820	227.240	77.280	57.040	361.560	0.820	152.150	79.900	212.500	444.550	0.820		
0.830	227.240	77.280	54.280	358.800	0.830	152.150	79.900	212.500	444.550	0.830		
0.840	227.240	74.520	52.440	354.200	0.840	149.600	79.900	212.500	442.000	0.840		
0.850	227.240	74.520	52.440	354.200	0.850	152.150	79.900	212.500	444.550	0.850		
0.860	227.240	74.520	54.280	356.040	0.860	152.150	79.900	212.500	444.550	0.860		
0.870	227.240	74.520	52.440	354.200	0.870	152.150	79.900	212.500	444.550	0.870		
0.880	230.000	74.520	54.280	358.800	0.880	152.150	79.900	212.500	444.550	0.880		
0.890	230.000	71.760	52.440	354.200	0.890	152.150	79.900	212.500	444.550	0.890		
0.900	229.710	74.400	52.080	356.190	0.900	149.640	79.170	214.890	443.700	0.900		
0.910	229.710	74.400	52.080	356.190	0.910	149.640	79.170	214.890	443.700	0.910		
0.920	229.710	71.610	49.290	350.610	0.920	149.640	81.780	214.890	446.310	0.920		
0.930	229.710	71.610	49.290	350.610	0.930	149.640	79.170	214.890	443.700	0.930		
0.940	229.710	71.610	52.080	353.400	0.940	149.640	81.780	214.890	446.310	0.940		
0.950	232.500	74.400	49.290	356.190	0.950	149.640	79.170	214.890	443.700	0.950		
0.960	232.500	71.610	52.080	356.190	0.960	149.640	79.170	214.890	443.700	0.960		
0.970	229.710	71.610	52.080	353.400	0.970	149.640	79.170	214.890	443.700	0.970		
0.980	232.500	71.610	52.080	356.190	0.980	149.640	81.780	217.500	448.920	0.980		
0.990	229.710	71.610	52.080	353.400	0.990	149.640	81.780	214.890	446.310	0.990		
1.000	232.500	71.610	52.080	356.190	1.000	149.640	81.780	217.500	448.920	1.000		
1.010	232.500	71.610	52.080	356.190	1.010	149.640	81.780	217.500	448.920	1.010		
1.020	232.500	71.610	52.080	356.190	1.020	147.030	81.780	214.890	443.700	1.020		
1.030	232.500	71.610	47.430	351.540	1.030	149.640	81.780	214.890	446.310	1.030		
1.040	232.500	71.610	49.290	353.400	1.040	147.030	81.780	214.890	443.700	1.040		
1.050	232.180	72.380	49.820	354.380	1.050	147.030	81.780	217.500	446.310	1.050		
1.060	232.180	72.380	49.820	354.380	1.060	147.030	81.780	217.500	446.310	1.060		
1.070	232.180	72.380	49.820	354.380	1.070	147.030	81.780	217.500	446.310	1.070		
1.080	232.180	72.380	49.820	354.380	1.080	147.030	79.170	214.890	441.090	1.080		
1.090	232.180	72.380	49.820	354.380	1.090	147.030	81.780	217.500	446.310	1.090		
1.100	232.180	69.560	49.820	351.560	1.100	149.640	79.170	214.890	443.700	1.100		
1.110	232.180	69.560	49.820	351.560	1.110	147.030	81.780	214.890	443.700	1.110		
1.120	232.180	69.560	49.820	351.560	1.120	149.640	79.170	214.890	443.700	1.120		
1.130	232.180	69.560	49.820	351.560	1.130	147.030	81.780	214.890	443.700	1.130		
1.140	232.180	69.560	49.820	351.560	1.140	147.030	81.780	217.500	446.310	1.140		
1.150	232.180	72.380	49.820	354.380	1.150	147.030	81.780	214.890	443.700	1.150		
1.160	235.000	72.380	49.820	357.200	1.160	147.030	81.780	217.500	446.310	1.160		
1.170	232.180	69.560	47.000	348.740	1.170	149.640	81.780	217.500	448.920	1.170		
1.180	235.000	72.380	49.820	357.200	1.180	147.030	81.780	217.500	446.310	1.180		
1.190	235.000	69.560	47.000	351.560	1.190	147.030	81.780	217.500	446.310	1.190		
1.200	237.000	70.000	47.000	354.000	1.200	147.030	81.780	214.890	443.700	1.200		
1.210	237.000	70.000	47.000	354.000	1.210	147.030	81.780	217.500	446.310	1.210		
1.220	240.000	70.000	45.000	355.000	1.220	149.640	81.780	214.890	446.310	1.220		
1.230	242.000	70.000	45.000	357.000	1.230	149.640	81.780	214.890	446.310	1.230		
1.240	242.000	70.000	47.000	359.000	1.240	147.030	81.780	214.890	443.700	1.240		
1.250	245.000	67.000	45.000	357.000	1.250	149.640	81.780	214.890	446.310	1.250		
1.260	245.000	67.000	45.000	357.000	1.260	149.640	81.780	212.280	443.700	1.260		
1.270	247.000	67.000	45.000	359.000	1.270	149.640	81.780	212.280	443.700	1.270		
1.280	247.000	67.000	42.000	356.000	1.280	149.640	81.780	212.280	443.700	1.280		
1.290	247.000	67.000	45.000	359.000	1.290	149.640	79.170	209.670	438.480	1.290		
1.300	250.000	65.000	42.000	357.000	1.300	149.640	79.170	209.670	438.480	1.300		
1.310	250.000	67.000	45.000	362.000	1.310	149.640	79.170	207.060	435.870	1.310		
