C:\Users\Public\Documents\Novel Studio\load_data\2025-12-10\6\loadapp_2025-12-10_16-54-02-039.load
Comment S6 w
	PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		PRY202-R::front	PRY202-R::mid	PRY202-R::heel	PRY202-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	231.800	79.800	124.450	436.050	0.000	164.280	67.340	182.040	413.660	0.000		
0.010	231.800	79.800	124.450	436.050	0.010	164.280	69.560	182.040	415.880	0.010		
0.020	234.650	79.800	121.600	436.050	0.020	164.280	69.560	182.040	415.880	0.020		
0.030	234.650	79.800	121.600	436.050	0.030	162.060	69.560	182.040	413.660	0.030		
0.040	234.650	79.800	124.450	438.900	0.040	162.060	67.340	182.040	411.440	0.040		
0.050	234.650	79.800	121.600	436.050	0.050	162.060	69.560	185.000	416.620	0.050		
0.060	234.650	79.800	121.600	436.050	0.060	162.060	69.560	182.040	413.660	0.060		
0.070	234.650	76.950	119.700	431.300	0.070	162.060	67.340	185.000	414.400	0.070		
0.080	234.650	79.800	119.700	434.150	0.080	162.060	69.560	185.000	416.620	0.080		
0.090	234.650	79.800	119.700	434.150	0.090	162.060	69.560	185.000	416.620	0.090		
0.100	234.650	79.800	121.600	436.050	0.100	162.060	69.560	185.000	416.620	0.100		
0.110	237.500	79.800	119.700	437.000	0.110	162.060	69.560	185.000	416.620	0.110		
0.120	234.650	79.800	121.600	436.050	0.120	162.060	69.560	185.000	416.620	0.120		
0.130	234.650	79.800	119.700	434.150	0.130	159.840	69.560	185.000	414.400	0.130		
0.140	235.000	79.900	119.380	434.280	0.140	162.060	69.560	185.000	416.620	0.140		
0.150	235.000	79.900	119.380	434.280	0.150	159.840	69.560	185.000	414.400	0.150		
0.160	235.000	79.900	119.380	434.280	0.160	162.060	69.560	185.000	416.620	0.160		
0.170	235.000	79.900	119.380	434.280	0.170	159.840	69.560	185.000	414.400	0.170		
0.180	235.000	79.900	119.380	434.280	0.180	159.840	69.560	185.000	414.400	0.180		
0.190	232.180	77.080	117.500	426.760	0.190	159.840	67.340	185.000	412.180	0.190		
0.200	235.000	79.900	119.380	434.280	0.200	159.840	69.560	185.000	414.400	0.200		
0.210	232.180	79.900	119.380	431.460	0.210	162.060	69.560	185.000	416.620	0.210		
0.220	235.000	79.900	119.380	434.280	0.220	159.840	69.560	185.000	414.400	0.220		
