C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_10-41-23-177.load
Comment s7 b
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	164.820	127.300	144.720	436.840	0.000	71.920	155.000	155.000	381.920	0.000		
0.010	164.820	127.300	147.400	439.520	0.010	71.920	155.000	155.000	381.920	0.010		
0.020	164.820	127.300	144.720	436.840	0.020	71.920	155.000	155.000	381.920	0.020		
0.030	164.820	127.300	144.720	436.840	0.030	74.400	155.000	151.900	381.300	0.030		
0.040	167.500	127.300	144.720	439.520	0.040	71.920	151.900	155.000	378.820	0.040		
0.050	167.500	127.300	144.720	439.520	0.050	71.920	155.000	155.000	381.920	0.050		
0.060	167.500	127.300	144.720	439.520	0.060	71.920	151.900	155.000	378.820	0.060		
0.070	167.500	127.300	142.040	436.840	0.070	74.400	155.000	155.000	384.400	0.070		
0.080	167.500	127.300	142.040	436.840	0.080	71.920	151.900	155.000	378.820	0.080		
0.090	164.820	127.300	144.720	436.840	0.090	74.400	155.000	155.000	384.400	0.090		
0.100	164.820	127.300	142.040	434.160	0.100	74.400	155.000	155.000	384.400	0.100		
0.110	164.820	127.300	142.040	434.160	0.110	74.400	155.000	155.000	384.400	0.110		
0.120	167.500	127.300	142.040	436.840	0.120	74.400	155.000	151.900	381.300	0.120		
0.130	167.500	127.300	142.040	436.840	0.130	74.400	155.000	155.000	384.400	0.130		
0.140	167.500	127.300	142.040	436.840	0.140	74.400	155.000	155.000	384.400	0.140		
0.150	167.500	127.300	139.360	434.160	0.150	74.970	154.980	154.980	384.930	0.150		
0.160	167.500	127.300	139.360	434.160	0.160	74.970	154.980	154.980	384.930	0.160		
0.170	167.500	127.300	139.360	434.160	0.170	74.970	157.500	154.980	387.450	0.170		
0.180	167.500	127.300	139.360	434.160	0.180	77.490	157.500	154.980	389.970	0.180		
0.190	167.500	127.300	137.350	432.150	0.190	74.970	154.980	157.500	387.450	0.190		
0.200	167.500	127.300	137.350	432.150	0.200	74.970	154.980	157.500	387.450	0.200		
0.210	167.500	127.300	137.350	432.150	0.210	77.490	154.980	154.980	387.450	0.210		
0.220	167.500	127.300	137.350	432.150	0.220	77.490	157.500	157.500	392.490	0.220		
0.230	167.500	127.300	137.350	432.150	0.230	74.970	157.500	154.980	387.450	0.230		
0.240	164.820	127.300	137.350	429.470	0.240	77.490	154.980	154.980	387.450	0.240		
0.250	167.500	124.620	137.350	429.470	0.250	77.490	157.500	154.980	389.970	0.250		
0.260	167.500	127.300	139.360	434.160	0.260	77.490	157.500	154.980	389.970	0.260		
0.270	167.500	127.300	137.350	432.150	0.270	74.970	157.500	157.500	389.970	0.270		
0.280	167.500	127.300	137.350	432.150	0.280	77.490	154.980	154.980	387.450	0.280		
0.290	167.500	127.300	137.350	432.150	0.290	77.490	154.980	152.460	384.930	0.290		
0.300	167.500	127.300	137.350	432.150	0.300	77.490	154.980	154.980	387.450	0.300		
0.310	167.500	127.300	139.360	434.160	0.310	77.490	154.980	154.980	387.450	0.310		
0.320	167.500	127.300	139.360	434.160	0.320	77.490	154.980	157.500	389.970	0.320		
0.330	167.500	127.300	139.360	434.160	0.330	74.970	154.980	157.500	387.450	0.330		
0.340	167.500	127.300	139.360	434.160	0.340	77.490	157.500	157.500	392.490	0.340		
0.350	167.500	127.300	139.360	434.160	0.350	77.490	154.980	157.500	389.970	0.350		
0.360	167.500	127.300	139.360	434.160	0.360	77.490	154.980	154.980	387.450	0.360		
0.370	167.500	127.300	139.360	434.160	0.370	77.490	157.500	154.980	389.970	0.370		
0.380	167.500	129.980	139.360	436.840	0.380	77.490	157.500	154.980	389.970	0.380		
0.390	167.500	127.300	139.360	434.160	0.390	74.970	154.980	154.980	384.930	0.390		
0.400	167.500	129.980	139.360	436.840	0.400	74.970	154.980	157.500	387.450	0.400		
