C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_10-52-48-812.load
Comment s7 bvr
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	234.650	162.450	142.500	539.600	0.000	67.320	119.460	159.720	346.500	0.000		
0.010	234.650	164.350	144.400	543.400	0.010	67.320	119.460	162.360	349.140	0.010		
0.020	231.800	162.450	144.400	538.650	0.020	67.320	122.100	157.080	346.500	0.020		
0.030	229.900	162.450	144.400	536.750	0.030	67.320	119.460	159.720	346.500	0.030		
0.040	229.900	162.450	147.250	539.600	0.040	67.320	122.100	157.080	346.500	0.040		
0.050	229.900	159.600	147.250	536.750	0.050	67.320	122.100	162.360	351.780	0.050		
0.060	227.050	159.600	149.150	535.800	0.060	64.680	122.100	159.720	346.500	0.060		
0.070	224.200	159.600	152.000	535.800	0.070	67.320	122.100	159.720	349.140	0.070		
0.080	224.200	159.600	152.000	535.800	0.080	67.320	122.100	159.720	349.140	0.080		
0.090	222.300	156.750	154.850	533.900	0.090	67.320	122.100	159.720	349.140	0.090		
0.100	222.300	159.600	156.750	538.650	0.100	67.320	122.100	162.360	351.780	0.100		
0.110	220.000	156.640	159.280	535.920	0.110	67.320	122.100	162.360	351.780	0.110		
0.120	217.360	156.640	159.280	533.280	0.120	67.320	124.740	162.360	354.420	0.120		
0.130	217.360	156.640	161.920	535.920	0.130	67.320	122.100	159.720	349.140	0.130		
0.140	214.720	154.880	161.920	531.520	0.140	67.320	124.740	165.000	357.060	0.140		
0.150	214.720	154.880	164.560	534.160	0.150	67.000	124.620	162.140	353.760	0.150		
0.160	212.080	152.240	164.560	528.880	0.160	67.000	124.620	159.460	351.080	0.160		
0.170	212.080	154.880	167.200	534.160	0.170	67.000	124.620	162.140	353.760	0.170		
0.180	209.440	154.880	167.200	531.520	0.180	67.000	124.620	162.140	353.760	0.180		
0.190	206.800	154.880	169.840	531.520	0.190	67.000	124.620	162.140	353.760	0.190		
0.200	206.800	152.240	172.480	531.520	0.200	67.000	124.620	164.820	356.440	0.200		
0.210	206.800	152.240	172.480	531.520	0.210	67.000	124.620	164.820	356.440	0.210		
0.220	206.800	152.240	172.480	531.520	0.220	67.000	124.620	162.140	353.760	0.220		
0.230	204.160	152.240	172.480	528.880	0.230	67.000	124.620	164.820	356.440	0.230		
0.240	204.160	152.240	172.480	528.880	0.240	67.000	124.620	164.820	356.440	0.240		
0.250	204.160	152.240	172.480	528.880	0.250	67.000	127.300	162.140	356.440	0.250		
0.260	204.180	151.890	171.810	527.880	0.260	67.000	124.620	164.820	356.440	0.260		
0.270	207.500	151.890	171.810	531.200	0.270	67.000	127.300	167.500	361.800	0.270		
0.280	204.180	149.400	171.810	525.390	0.280	67.000	124.620	167.500	359.120	0.280		
0.290	207.500	151.890	174.300	533.690	0.290	64.990	127.300	162.140	354.430	0.290		
0.300	204.180	151.890	171.810	527.880	0.300	66.930	126.960	166.980	360.870	0.300		
0.310	204.180	149.400	174.300	527.880	0.310	66.930	126.960	164.910	358.800	0.310		
0.320	204.180	151.890	174.300	530.370	0.320	66.930	126.960	166.980	360.870	0.320		
0.330	204.180	149.400	174.300	527.880	0.330	64.860	126.960	164.910	356.730	0.330		
0.340	204.180	149.400	171.810	525.390	0.340	64.860	126.960	166.980	358.800	0.340		
0.350	204.180	149.400	171.810	525.390	0.350	66.930	126.960	166.980	360.870	0.350		
0.360	204.180	149.400	171.810	525.390	0.360	64.860	126.960	166.980	358.800	0.360		
0.370	204.180	149.400	171.810	525.390	0.370	64.860	129.720	166.980	361.560	0.370		
0.380	204.180	149.400	171.810	525.390	0.380	64.860	129.720	169.740	364.320	0.380		
0.390	207.500	149.400	169.320	526.220	0.390	64.860	129.720	166.980	361.560	0.390		
0.400	207.500	149.400	169.320	526.220	0.400	64.860	129.720	169.740	364.320	0.400		
0.410	207.480	149.520	169.680	526.680	0.410	62.100	129.720	169.740	361.560	0.410		
0.420	207.480	149.520	169.680	526.680	0.420	64.860	129.720	172.500	367.080	0.420		
0.430	204.960	149.520	169.680	524.160	0.430	62.100	129.720	169.740	361.560	0.430		
0.440	207.480	149.520	167.160	524.160	0.440	62.100	129.720	169.740	361.560	0.440		
0.450	207.480	149.520	167.160	524.160	0.450	62.160	129.500	172.420	364.080	0.450		
0.460	207.480	147.000	167.160	521.640	0.460	59.940	129.500	172.420	361.860	0.460		
0.470	207.480	149.520	164.640	521.640	0.470	62.160	129.500	172.420	364.080	0.470		
0.480	210.000	149.520	164.640	524.160	0.480	59.940	129.500	174.640	364.080	0.480		
0.490	210.000	149.520	164.640	524.160	0.490	59.940	129.500	174.640	364.080	0.490		
0.500	210.000	147.000	164.640	521.640	0.500	59.940	129.500	174.640	364.080	0.500		
0.510	210.000	147.000	162.120	519.120	0.510	59.940	132.460	174.640	367.040	0.510		
0.520	210.000	147.000	162.120	519.120	0.520	59.940	132.460	176.860	369.260	0.520		
0.530	210.000	147.000	159.600	516.600	0.530	59.940	132.460	176.860	369.260	0.530		
0.540	210.000	147.000	159.600	516.600	0.540	59.940	132.460	176.860	369.260	0.540		
0.550	210.000	147.000	157.080	514.080	0.550	59.940	134.680	182.040	376.660	0.550		
0.560	209.840	144.480	157.380	511.700	0.560	59.940	134.680	176.860	371.480	0.560		
0.570	209.840	144.480	154.800	509.120	0.570	59.940	134.680	179.820	374.440	0.570		
0.580	209.840	144.480	154.800	509.120	0.580	59.940	136.900	182.040	378.880	0.580		
0.590	209.840	141.900	152.220	503.960	0.590	59.940	136.900	185.000	381.840	0.590		
0.600	209.840	144.480	152.220	506.540	0.600	59.290	137.060	184.800	381.150	0.600		
0.610	209.840	141.900	149.640	501.380	0.610	59.290	137.060	184.800	381.150	0.610		
0.620	209.840	141.900	149.640	501.380	0.620	56.980	137.060	184.800	378.840	0.620		
0.630	212.420	141.900	147.060	501.380	0.630	59.290	139.370	184.800	383.460	0.630		
0.640	212.420	141.900	144.480	498.800	0.640	56.980	139.370	184.800	381.150	0.640		
0.650	212.420	141.900	144.480	498.800	0.650	59.290	142.450	184.800	386.540	0.650		
0.660	212.420	141.900	141.900	496.220	0.660	59.290	142.450	184.800	386.540	0.660		
0.670	212.420	141.900	141.900	496.220	0.670	62.370	142.450	187.110	391.930	0.670		
0.680	212.420	141.900	139.320	493.640	0.680	62.370	142.450	187.110	391.930	0.680		
0.690	212.420	141.900	139.320	493.640	0.690	62.370	144.760	187.110	394.240	0.690		
0.700	215.000	139.320	136.740	491.060	0.700	62.370	144.760	187.110	394.240	0.700		
0.710	212.080	139.920	137.280	489.280	0.710	62.370	144.760	187.110	394.240	0.710		
0.720	214.720	139.920	137.280	491.920	0.720	62.370	144.760	189.420	396.550	0.720		
0.730	212.080	139.920	134.640	486.640	0.730	62.370	147.070	189.420	398.860	0.730		
0.740	214.720	137.280	134.640	486.640	0.740	62.370	147.070	192.500	401.940	0.740		
0.750	214.720	137.280	132.000	484.000	0.750	62.410	146.940	191.970	401.320	0.750		
0.760	214.720	137.280	132.000	484.000	0.760	62.410	146.940	191.970	401.320	0.760		
0.770	214.720	137.280	129.360	481.360	0.770	62.410	146.940	191.970	401.320	0.770		
0.780	214.720	137.280	129.360	481.360	0.780	62.410	146.940	191.970	401.320	0.780		
0.790	217.360	137.280	129.360	484.000	0.790	62.410	146.940	191.970	401.320	0.790		
0.800	217.360	137.280	129.360	484.000	0.800	62.410	146.940	191.970	401.320	0.800		
0.810	217.360	137.280	129.360	484.000	0.810	62.410	146.940	194.340	403.690	0.810		
0.820	217.360	139.920	126.720	484.000	0.820	59.250	146.940	194.340	400.530	0.820		
0.830	217.360	137.280	126.720	481.360	0.830	59.250	146.940	194.340	400.530	0.830		
0.840	220.000	137.280	126.720	484.000	0.840	59.250	146.940	194.340	400.530	0.840		
0.850	220.000	137.280	126.720	484.000	0.850	59.250	146.940	197.500	403.690	0.850		
0.860	219.830	139.730	127.270	486.830	0.860	59.250	146.940	197.500	403.690	0.860		
0.870	219.830	139.730	127.270	486.830	0.870	59.250	149.310	197.500	406.060	0.870		
0.880	222.500	139.730	127.270	489.500	0.880	59.250	146.940	197.500	403.690	0.880		
0.890	219.830	139.730	124.600	484.160	0.890	56.880	146.940	197.500	401.320	0.890		
0.900	219.830	139.730	127.270	486.830	0.900	57.400	146.780	196.800	400.980	0.900		
0.910	219.830	137.060	124.600	481.490	0.910	59.860	146.780	196.800	403.440	0.910		
0.920	222.500	137.060	124.600	484.160	0.920	57.400	146.780	196.800	400.980	0.920		
0.930	219.830	137.060	124.600	481.490	0.930	57.400	146.780	199.260	403.440	0.930		
0.940	222.500	139.730	124.600	486.830	0.940	57.400	146.780	199.260	403.440	0.940		
0.950	222.500	137.060	121.930	481.490	0.950	57.400	149.240	199.260	405.900	0.950		
0.960	222.500	137.060	121.930	481.490	0.960	57.400	146.780	199.260	403.440	0.960		
0.970	222.500	137.060	121.930	481.490	0.970	57.400	149.240	201.720	408.360	0.970		
0.980	222.500	137.060	121.930	481.490	0.980	54.940	149.240	201.720	405.900	0.980		
0.990	222.500	134.390	121.930	478.820	0.990	54.940	149.240	201.720	405.900	0.990		
1.000	222.500	137.060	119.260	478.820	1.000	54.940	146.780	205.000	406.720	1.000		
1.010	222.500	137.060	119.260	478.820	1.010	57.400	149.240	205.000	411.640	1.010		
1.020	222.500	137.060	119.260	478.820	1.020	54.940	149.240	205.000	409.180	1.020		
1.030	222.500	137.060	119.260	478.820	1.030	54.940	149.240	201.720	405.900	1.030		
1.040	222.500	137.060	117.480	477.040	1.040	54.940	149.240	205.000	409.180	1.040		
1.050	222.500	137.060	117.480	477.040	1.050	54.400	149.600	204.850	408.850	1.050		
1.060	222.500	137.060	117.480	477.040	1.060	54.400	149.600	204.850	408.850	1.060		
1.070	222.500	134.390	117.480	474.370	1.070	54.400	149.600	207.400	411.400	1.070		
1.080	222.500	137.060	117.480	477.040	1.080	54.400	149.600	207.400	411.400	1.080		
1.090	222.500	137.060	117.480	477.040	1.090	54.400	149.600	207.400	411.400	1.090		
1.100	222.500	134.390	117.480	474.370	1.100	54.400	152.150	209.950	416.500	1.100		
1.110	222.500	134.390	114.810	471.700	1.110	54.400	152.150	209.950	416.500	1.110		
1.120	222.500	134.390	114.810	471.700	1.120	54.400	152.150	209.950	416.500	1.120		
1.130	222.500	134.390	114.810	471.700	1.130	54.400	152.150	209.950	416.500	1.130		
1.140	222.500	134.390	114.810	471.700	1.140	51.850	152.150	207.400	411.400	1.140		
1.150	222.500	134.390	114.810	471.700	1.150	54.400	152.150	212.500	419.050	1.150		
1.160	222.300	135.000	112.500	469.800	1.160	54.400	152.150	212.500	419.050	1.160		
1.170	222.300	135.000	112.500	469.800	1.170	51.850	152.150	209.950	413.950	1.170		
1.180	222.300	135.000	112.500	469.800	1.180	54.400	152.150	212.500	419.050	1.180		
1.190	222.300	135.000	112.500	469.800	1.190	54.400	152.150	209.950	416.500	1.190		
1.200	222.300	135.000	112.500	469.800	1.200	54.810	154.860	212.280	421.950	1.200		
1.210	222.300	135.000	112.500	469.800	1.210	54.810	154.860	209.670	419.340	1.210		
1.220	222.300	135.000	112.500	469.800	1.220	54.810	154.860	214.890	424.560	1.220		
1.230	222.300	135.000	109.800	467.100	1.230	54.810	154.860	212.280	421.950	1.230		
1.240	225.000	132.300	109.800	467.100	1.240	54.810	154.860	212.280	421.950	1.240		
1.250	222.300	132.300	107.100	461.700	1.250	54.810	154.860	212.280	421.950	1.250		
1.260	222.300	132.300	107.100	461.700	1.260	54.810	154.860	212.280	421.950	1.260		
1.270	225.000	132.300	107.100	464.400	1.270	54.810	154.860	214.890	424.560	1.270		
1.280	222.300	132.300	107.100	461.700	1.280	54.810	154.860	214.890	424.560	1.280		
1.290	222.300	129.600	104.400	456.300	1.290	54.810	157.470	214.890	427.170	1.290		
1.300	225.000	129.600	104.400	459.000	1.300	54.810	157.470	214.890	427.170	1.300		
1.310	224.130	132.060	104.160	460.350	1.310	54.810	157.470	214.890	427.170	1.310		
1.320	224.130	129.270	102.300	455.700	1.320	54.810	157.470	214.890	427.170	1.320		
1.330	222.270	129.270	102.300	453.840	1.330	54.810	157.470	214.890	427.170	1.330		
1.340	224.130	129.270	102.300	455.700	1.340	54.810	157.470	217.500	429.780	1.340		
1.350	226.920	129.270	102.300	458.490	1.350	54.900	159.300	216.900	431.100	1.350		
1.360	224.130	129.270	99.510	452.910	1.360	54.900	159.300	216.900	431.100	1.360		
1.370	224.130	129.270	99.510	452.910	1.370	54.900	159.300	216.900	431.100	1.370		
1.380	224.130	129.270	99.510	452.910	1.380	54.900	159.300	216.900	431.100	1.380		
1.390	224.130	129.270	96.720	450.120	1.390	54.900	159.300	216.900	431.100	1.390		
1.400	226.920	129.270	96.720	452.910	1.400	54.900	159.300	216.900	431.100	1.400		
1.410	226.920	132.060	96.720	455.700	1.410	52.200	159.300	219.600	431.100	1.410		
1.420	229.710	129.270	94.860	453.840	1.420	52.200	159.300	219.600	431.100	1.420		
1.430	229.710	132.060	94.860	456.630	1.430	52.200	159.300	219.600	431.100	1.430		
1.440	232.500	132.060	92.070	456.630	1.440	52.200	159.300	222.300	433.800	1.440		
1.450	232.500	129.270	89.280	451.050	1.450	52.200	159.300	219.600	431.100	1.450		
1.460	234.220	132.300	89.180	455.700	1.460	52.200	159.300	222.300	433.800	1.460		
1.470	234.220	129.360	87.220	450.800	1.470	49.500	159.300	225.000	433.800	1.470		
1.480	234.220	129.360	87.220	450.800	1.480	49.500	159.300	225.000	433.800	1.480		
1.490	237.160	129.360	84.280	450.800	1.490	49.500	159.300	225.000	433.800	1.490		
1.500	237.160	129.360	84.280	450.800	1.500	47.040	159.360	224.640	431.040	1.500		
1.510	237.160	129.360	82.320	448.840	1.510	47.040	159.360	224.640	431.040	1.510		
1.520	239.120	129.360	82.320	450.800	1.520	47.040	159.360	226.560	432.960	1.520		
1.530	239.120	129.360	79.380	447.860	1.530	47.040	159.360	226.560	432.960	1.530		
