C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_10-57-33-432.load
Comment s7 h
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	179.580	116.800	119.720	416.100	0.000	82.500	165.000	152.460	399.960	0.000		
0.010	179.580	116.800	119.720	416.100	0.010	82.500	162.360	152.460	397.320	0.010		
0.020	179.580	116.800	119.720	416.100	0.020	82.500	162.360	149.820	394.680	0.020		
0.030	179.580	116.800	121.910	418.290	0.030	82.500	165.000	149.820	397.320	0.030		
0.040	177.390	116.800	121.910	416.100	0.040	82.500	165.000	149.820	397.320	0.040		
0.050	177.390	116.800	121.910	416.100	0.050	82.500	165.000	149.820	397.320	0.050		
0.060	177.390	114.610	124.830	416.830	0.060	82.500	162.360	149.820	394.680	0.060		
0.070	174.470	116.800	124.830	416.100	0.070	82.500	165.000	149.820	397.320	0.070		
0.080	174.470	116.800	124.830	416.100	0.080	82.500	162.360	147.180	392.040	0.080		
0.090	174.470	116.800	127.020	418.290	0.090	82.500	162.360	152.460	397.320	0.090		
0.100	174.470	116.800	127.020	418.290	0.100	84.480	165.000	149.820	399.300	0.100		
0.110	172.280	116.800	127.020	416.100	0.110	84.480	165.000	149.820	399.300	0.110		
0.120	172.500	117.300	129.720	419.520	0.120	84.480	162.360	147.180	394.020	0.120		
0.130	172.500	117.300	129.720	419.520	0.130	84.480	162.360	147.180	394.020	0.130		
0.140	169.740	114.540	132.480	416.760	0.140	84.480	162.360	147.180	394.020	0.140		
0.150	169.740	117.300	132.480	419.520	0.150	84.480	162.360	149.820	396.660	0.150		
0.160	166.980	114.540	132.480	414.000	0.160	84.480	162.360	147.180	394.020	0.160		
0.170	166.980	114.540	134.550	416.070	0.170	84.480	165.000	147.180	396.660	0.170		
0.180	166.980	114.540	137.310	418.830	0.180	84.480	162.360	147.180	394.020	0.180		
0.190	164.910	114.540	139.380	418.830	0.190	84.480	162.360	147.180	394.020	0.190		
0.200	162.150	117.300	142.140	421.590	0.200	84.480	162.360	147.180	394.020	0.200		
0.210	162.150	114.540	142.140	418.830	0.210	84.480	162.360	144.540	391.380	0.210		
0.220	162.150	114.540	144.900	421.590	0.220	84.480	162.360	147.180	394.020	0.220		
0.230	159.390	114.540	146.970	420.900	0.230	84.480	162.360	147.180	394.020	0.230		
0.240	159.390	114.540	146.970	420.900	0.240	84.480	162.360	147.180	394.020	0.240		
0.250	154.560	112.470	149.730	416.760	0.250	84.480	162.360	147.180	394.020	0.250		
0.260	157.320	112.470	152.490	422.280	0.260	87.120	162.360	144.540	394.020	0.260		
0.270	152.320	112.200	154.360	418.880	0.270	84.480	162.360	147.180	394.020	0.270		
0.280	152.320	112.200	154.360	418.880	0.280	84.480	162.360	147.180	394.020	0.280		
0.290	152.320	112.200	157.080	421.600	0.290	84.480	162.360	147.180	394.020	0.290		
0.300	149.600	112.200	159.800	421.600	0.300	87.100	162.500	146.900	396.500	0.300		
0.310	146.880	112.200	159.800	418.880	0.310	87.100	159.900	144.950	391.950	0.310		
0.320	146.880	112.200	161.840	420.920	0.320	84.500	159.900	144.950	389.350	0.320		
0.330	146.880	112.200	161.840	420.920	0.330	84.500	159.900	144.950	389.350	0.330		
0.340	144.840	112.200	164.560	421.600	0.340	84.500	159.900	144.950	389.350	0.340		
0.350	146.880	109.480	167.280	423.640	0.350	84.500	159.900	144.950	389.350	0.350		
0.360	144.840	112.200	167.280	424.320	0.360	84.500	159.900	144.950	389.350	0.360		
0.370	144.840	112.200	167.280	424.320	0.370	84.500	159.900	144.950	389.350	0.370		
