C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-14-56-166.load
Comment s7 vh
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	236.610	201.960	159.390	597.960	0.000	27.060	57.420	141.900	226.380	0.000		
0.010	239.580	201.960	159.390	600.930	0.010	22.440	54.780	141.900	219.120	0.010		
0.020	239.580	201.960	162.360	603.900	0.020	19.800	49.500	147.180	216.480	0.020		
0.030	239.580	204.930	162.360	606.870	0.030	14.520	49.500	147.180	211.200	0.030		
0.040	239.580	204.930	162.360	606.870	0.040	14.520	46.860	149.820	211.200	0.040		
0.050	241.560	206.910	162.360	610.830	0.050	14.520	44.880	152.460	211.860	0.050		
0.060	241.560	206.910	162.360	610.830	0.060	11.880	42.240	154.440	208.560	0.060		
0.070	244.530	206.910	162.360	613.800	0.070	11.880	42.240	157.080	211.200	0.070		
0.080	244.530	206.910	162.360	613.800	0.080	9.900	36.960	157.080	203.940	0.080		
0.090	244.530	209.880	159.390	613.800	0.090	9.900	36.960	159.720	206.580	0.090		
0.100	247.500	209.880	159.390	616.770	0.100	9.900	36.960	159.720	206.580	0.100		
0.110	247.500	209.880	159.390	616.770	0.110	9.900	36.960	162.360	209.220	0.110		
0.120	247.500	209.880	157.410	614.790	0.120	7.260	32.340	159.720	199.320	0.120		
0.130	249.470	209.070	156.550	615.090	0.130	7.260	29.700	165.000	201.960	0.130		
0.140	249.470	209.070	156.550	615.090	0.140	7.260	27.060	165.000	199.320	0.140		
0.150	249.470	209.070	154.530	613.070	0.150	4.440	24.420	169.460	198.320	0.150		
0.160	249.470	209.070	154.530	613.070	0.160	4.440	24.420	169.460	198.320	0.160		
0.170	249.470	209.070	151.500	610.040	0.170	4.440	22.200	172.420	199.060	0.170		
0.180	249.470	207.050	151.500	608.020	0.180	2.220	19.980	174.640	196.840	0.180		
0.190	252.500	209.070	149.480	611.050	0.190	2.220	19.980	174.640	196.840	0.190		
0.200	252.500	207.050	149.480	609.030	0.200	2.220	19.980	172.420	194.620	0.200		
0.210	252.500	209.070	149.480	611.050	0.210	2.220	19.980	176.860	199.060	0.210		
0.220	252.500	209.070	149.480	611.050	0.220	2.220	17.020	176.860	196.100	0.220		
0.230	252.500	209.070	149.480	611.050	0.230	0.000	17.020	176.860	193.880	0.230		
0.240	252.500	209.070	149.480	611.050	0.240	2.220	17.020	179.820	199.060	0.240		
0.250	252.500	209.070	147.460	609.030	0.250	0.000	17.020	185.000	202.020	0.250		
0.260	252.500	209.070	147.460	609.030	0.260	0.000	14.800	182.040	196.840	0.260		
0.270	252.500	209.070	147.460	609.030	0.270	0.000	14.800	182.040	196.840	0.270		
0.280	249.470	209.070	149.480	608.020	0.280	0.000	14.800	185.000	199.800	0.280		
0.290	249.470	212.100	149.480	611.050	0.290	0.000	11.840	185.000	196.840	0.290		
0.300	249.470	212.100	151.500	613.070	0.300	0.000	12.160	184.680	196.840	0.300		
0.310	252.500	212.100	151.500	616.100	0.310	0.000	12.160	184.680	196.840	0.310		
0.320	249.470	212.100	151.500	613.070	0.320	0.000	12.160	184.680	196.840	0.320		
0.330	249.470	209.070	151.500	610.040	0.330	0.000	9.880	186.960	196.840	0.330		
0.340	249.470	212.100	151.500	613.070	0.340	0.000	9.880	186.960	196.840	0.340		
0.350	249.470	212.100	154.530	616.100	0.350	0.000	6.840	184.680	191.520	0.350		
0.360	249.470	212.100	154.530	616.100	0.360	0.000	6.840	186.960	193.800	0.360		
0.370	247.450	214.120	156.550	618.120	0.370	0.000	6.840	186.960	193.800	0.370		
0.380	247.450	214.120	156.550	618.120	0.380	0.000	6.840	184.680	191.520	0.380		
0.390	244.420	212.100	156.550	613.070	0.390	0.000	6.840	186.960	193.800	0.390		
0.400	247.450	212.100	159.580	619.130	0.400	0.000	4.560	190.000	194.560	0.400		
