C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-04-53-633.load
Comment s7 vh crashed
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	207.260	154.800	109.220	471.280	0.000	29.230	146.940	197.500	373.670	0.000		
0.010	204.680	154.800	109.220	468.700	0.010	32.390	146.940	197.500	376.830	0.010		
0.020	204.680	154.800	109.220	468.700	0.020	32.390	146.940	197.500	376.830	0.020		
0.030	204.680	152.220	109.220	466.120	0.030	29.230	146.940	197.500	373.670	0.030		
0.040	204.680	154.800	109.220	468.700	0.040	32.390	146.940	194.340	373.670	0.040		
0.050	207.260	154.800	109.220	471.280	0.050	32.390	146.940	197.500	376.830	0.050		
0.060	207.260	154.800	109.220	471.280	0.060	32.390	146.940	194.340	373.670	0.060		
0.070	209.840	154.800	109.220	473.860	0.070	32.390	144.570	194.340	371.300	0.070		
0.080	209.840	154.800	107.500	472.140	0.080	32.390	144.570	194.340	371.300	0.080		
0.090	212.420	154.800	104.920	472.140	0.090	32.390	146.940	191.970	371.300	0.090		
0.100	215.000	154.800	102.340	472.140	0.100	32.390	144.570	194.340	371.300	0.100		
0.110	214.200	154.800	101.700	470.700	0.110	32.390	146.940	194.340	373.670	0.110		
0.120	214.200	154.800	99.900	468.900	0.120	29.230	144.570	194.340	368.140	0.120		
0.130	216.900	154.800	99.900	471.600	0.130	32.390	142.200	194.340	368.930	0.130		
0.140	216.900	154.800	99.900	471.600	0.140	29.230	144.570	194.340	368.140	0.140		
0.150	216.900	154.800	99.900	471.600	0.150	32.340	144.760	192.500	369.600	0.150		
0.160	219.600	154.800	99.900	474.300	0.160	29.260	144.760	192.500	366.520	0.160		
0.170	219.600	157.500	99.900	477.000	0.170	32.340	144.760	192.500	369.600	0.170		
0.180	219.600	157.500	97.200	474.300	0.180	32.340	144.760	192.500	369.600	0.180		
0.190	219.600	154.800	97.200	471.600	0.190	32.340	144.760	192.500	369.600	0.190		
0.200	222.300	154.800	97.200	474.300	0.200	32.340	144.760	192.500	369.600	0.200		
0.210	222.300	157.500	97.200	477.000	0.210	32.340	147.070	189.420	368.830	0.210		
0.220	222.300	157.500	97.200	477.000	0.220	34.650	147.070	189.420	371.140	0.220		
0.230	222.300	157.500	97.200	477.000	0.230	32.340	147.070	189.420	368.830	0.230		
0.240	222.300	157.500	97.200	477.000	0.240	34.650	147.070	189.420	371.140	0.240		
0.250	225.000	157.500	94.500	477.000	0.250	34.650	147.070	189.420	371.140	0.250		
0.260	224.770	154.700	94.640	474.110	0.260	34.650	144.760	189.420	368.830	0.260		
0.270	222.040	154.700	94.640	471.380	0.270	32.340	144.760	189.420	366.520	0.270		
0.280	224.770	154.700	94.640	474.110	0.280	32.340	144.760	187.110	364.210	0.280		
0.290	224.770	154.700	94.640	474.110	0.290	32.340	144.760	189.420	366.520	0.290		
0.300	224.770	154.700	94.640	474.110	0.300	31.920	144.400	190.000	366.320	0.300		
0.310	224.770	154.700	94.640	474.110	0.310	34.960	144.400	186.960	366.320	0.310		
0.320	227.500	154.700	97.370	479.570	0.320	31.920	144.400	190.000	366.320	0.320		
0.330	224.770	154.700	94.640	474.110	0.330	31.920	144.400	186.960	363.280	0.330		
0.340	224.770	154.700	94.640	474.110	0.340	31.920	144.400	190.000	366.320	0.340		
0.350	224.770	154.700	94.640	474.110	0.350	31.920	144.400	186.960	363.280	0.350		
0.360	224.770	151.970	97.370	474.110	0.360	31.920	144.400	186.960	363.280	0.360		
0.370	224.770	151.970	97.370	474.110	0.370	34.960	144.400	186.960	366.320	0.370		
0.380	224.770	151.970	97.370	474.110	0.380	31.920	144.400	186.960	363.280	0.380		
0.390	224.770	151.970	97.370	474.110	0.390	31.920	144.400	186.960	363.280	0.390		
0.400	224.770	151.970	97.370	474.110	0.400	31.920	144.400	186.960	363.280	0.400		
0.410	225.000	152.100	97.200	474.300	0.410	34.960	147.440	186.960	369.360	0.410		
0.420	225.000	149.400	97.200	471.600	0.420	34.960	147.440	186.960	369.360	0.420		
0.430	222.300	149.400	99.900	471.600	0.430	34.960	147.440	186.960	369.360	0.430		
0.440	225.000	149.400	97.200	471.600	0.440	34.960	147.440	186.960	369.360	0.440		
0.450	225.000	149.400	99.900	474.300	0.450	34.500	147.000	187.500	369.000	0.450		
0.460	222.300	149.400	99.900	471.600	0.460	34.500	150.000	184.500	369.000	0.460		
0.470	222.300	149.400	101.700	473.400	0.470	37.500	147.000	187.500	372.000	0.470		
0.480	222.300	149.400	101.700	473.400	0.480	37.500	147.000	184.500	369.000	0.480		
0.490	219.600	146.700	101.700	468.000	0.490	37.500	150.000	184.500	372.000	0.490		
0.500	219.600	149.400	101.700	470.700	0.500	37.500	150.000	182.250	369.750	0.500		
0.510	219.600	146.700	104.400	470.700	0.510	37.500	152.250	182.250	372.000	0.510		
0.520	219.600	146.700	107.100	473.400	0.520	37.500	150.000	182.250	369.750	0.520		
0.530	219.600	146.700	107.100	473.400	0.530	37.500	150.000	184.500	372.000	0.530		
0.540	219.600	146.700	107.100	473.400	0.540	37.500	150.000	184.500	372.000	0.540		
0.550	219.600	146.700	107.100	473.400	0.550	37.500	150.000	182.250	369.750	0.550		
0.560	219.480	146.940	106.950	473.370	0.560	37.500	150.000	182.250	369.750	0.560		
0.570	219.480	146.940	106.950	473.370	0.570	37.500	150.000	182.250	369.750	0.570		
0.580	219.480	146.940	106.950	473.370	0.580	37.500	150.000	182.250	369.750	0.580		
0.590	216.690	146.940	106.950	470.580	0.590	37.500	150.000	182.250	369.750	0.590		
0.600	219.480	146.940	106.950	473.370	0.600	39.600	149.760	180.000	369.360	0.600		
0.610	219.480	146.940	106.950	473.370	0.610	39.600	149.760	180.000	369.360	0.610		
0.620	222.270	146.940	104.160	473.370	0.620	39.600	151.920	180.000	371.520	0.620		
0.630	222.270	144.150	102.300	468.720	0.630	39.600	151.920	180.000	371.520	0.630		
0.640	222.270	144.150	102.300	468.720	0.640	39.600	151.920	180.000	371.520	0.640		
0.650	224.130	144.150	102.300	470.580	0.650	39.600	151.920	180.000	371.520	0.650		
0.660	226.920	144.150	99.510	470.580	0.660	39.600	149.760	180.000	369.360	0.660		
0.670	226.920	144.150	96.720	467.790	0.670	42.480	151.920	180.000	374.400	0.670		
0.680	229.710	144.150	94.860	468.720	0.680	39.600	149.760	177.120	366.480	0.680		
0.690	232.500	144.150	94.860	471.510	0.690	39.600	151.920	177.120	368.640	0.690		
0.700	232.500	144.150	92.070	468.720	0.700	39.600	151.920	177.120	368.640	0.700		
0.710	234.220	144.060	92.120	470.400	0.710	39.600	151.920	180.000	371.520	0.710		
0.720	234.220	144.060	92.120	470.400	0.720	37.440	151.920	177.120	366.480	0.720		
0.730	237.160	144.060	89.180	470.400	0.730	37.440	151.920	177.120	366.480	0.730		
0.740	237.160	144.060	89.180	470.400	0.740	37.440	149.760	180.000	367.200	0.740		
0.750	239.120	144.060	87.220	470.400	0.750	37.500	152.250	180.000	369.750	0.750		
0.760	239.120	144.060	87.220	470.400	0.760	37.500	150.000	182.250	369.750	0.760		
0.770	242.060	144.060	87.220	473.340	0.770	34.500	150.000	184.500	369.000	0.770		
0.780	242.060	144.060	87.220	473.340	0.780	34.500	150.000	184.500	369.000	0.780		
0.790	242.060	142.100	84.280	468.440	0.790	34.500	150.000	182.250	366.750	0.790		
0.800	245.000	142.100	84.280	471.380	0.800	32.250	150.000	184.500	366.750	0.800		
0.810	242.060	142.100	84.280	468.440	0.810	32.250	150.000	184.500	366.750	0.810		
0.820	245.000	142.100	84.280	471.380	0.820	32.250	150.000	184.500	366.750	0.820		
0.830	245.000	142.100	84.280	471.380	0.830	32.250	150.000	187.500	369.750	0.830		
0.840	245.000	144.060	84.280	473.340	0.840	32.250	150.000	187.500	369.750	0.840		
0.850	245.000	142.100	84.280	471.380	0.850	30.000	150.000	187.500	367.500	0.850		
0.860	247.500	141.570	87.120	476.190	0.860	32.250	147.000	187.500	366.750	0.860		
0.870	247.500	144.540	87.120	479.160	0.870	32.250	150.000	187.500	369.750	0.870		
0.880	244.530	144.540	87.120	476.190	0.880	30.000	147.000	187.500	364.500	0.880		
0.890	247.500	141.570	87.120	476.190	0.890	30.000	147.000	187.500	364.500	0.890		
0.900	244.530	141.570	87.120	473.220	0.900	32.250	147.000	187.500	366.750	0.900		
0.910	244.530	141.570	87.120	473.220	0.910	32.250	147.000	184.500	363.750	0.910		
0.920	244.530	141.570	87.120	473.220	0.920	32.250	147.000	184.500	363.750	0.920		
0.930	244.530	141.570	87.120	473.220	0.930	32.250	147.000	187.500	366.750	0.930		
0.940	244.530	141.570	87.120	473.220	0.940	32.250	150.000	184.500	366.750	0.940		
0.950	244.530	141.570	87.120	473.220	0.950	32.250	150.000	184.500	366.750	0.950		
0.960	241.560	139.590	87.120	468.270	0.960	34.500	150.000	184.500	369.000	0.960		
0.970	241.560	139.590	87.120	468.270	0.970	34.500	150.000	184.500	369.000	0.970		
0.980	239.580	139.590	87.120	466.290	0.980	34.500	150.000	182.250	366.750	0.980		
0.990	239.580	139.590	89.100	468.270	0.990	37.500	150.000	182.250	369.750	0.990		
1.000	239.580	139.590	89.100	468.270	1.000	37.500	150.000	182.250	369.750	1.000		
1.010	237.500	136.800	87.400	461.700	1.010	37.500	150.000	180.000	367.500	1.010		
1.020	234.650	134.900	89.300	458.850	1.020	39.750	152.250	177.000	369.000	1.020		
1.030	234.650	136.800	89.300	460.750	1.030	42.000	152.250	177.000	371.250	1.030		
1.040	234.650	134.900	89.300	458.850	1.040	45.000	152.250	174.750	372.000	1.040		
1.050	234.650	134.900	92.150	461.700	1.050	46.920	154.560	172.500	373.980	1.050		
1.060	231.800	134.900	92.150	458.850	1.060	49.680	154.560	172.500	376.740	1.060		
1.070	231.800	134.900	92.150	458.850	1.070	52.440	157.320	169.740	379.500	1.070		
1.080	229.900	134.900	95.000	459.800	1.080	54.510	154.560	166.980	376.050	1.080		
1.090	229.900	134.900	96.900	461.700	1.090	57.270	157.320	164.910	379.500	1.090		
1.100	229.900	134.900	96.900	461.700	1.100	59.340	157.320	164.910	381.570	1.100		
1.110	227.050	134.900	96.900	458.850	1.110	62.100	157.320	162.150	381.570	1.110		
1.120	227.050	134.900	96.900	458.850	1.120	62.100	157.320	159.390	378.810	1.120		
1.130	224.200	134.900	99.750	458.850	1.130	64.860	157.320	159.390	381.570	1.130		
1.140	222.300	132.050	101.650	456.000	1.140	64.860	157.320	159.390	381.570	1.140		
1.150	222.300	132.050	101.650	456.000	1.150	66.930	157.320	157.320	381.570	1.150		
1.160	222.500	134.390	102.350	459.240	1.160	66.930	157.320	157.320	381.570	1.160		
1.170	219.830	131.720	102.350	453.900	1.170	66.930	157.320	154.560	378.810	1.170		
