C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-01-42-928.load
Comment s7vw
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	702.000	105.000	3.000	810.000	0.000	10.000	20.000	15.000	45.000	0.000		
0.010	711.000	99.000	3.000	813.000	0.010	7.400	17.400	12.400	37.200	0.010		
0.020	717.000	96.000	0.000	813.000	0.020	10.000	17.400	15.000	42.400	0.020		
0.030	723.000	90.000	0.000	813.000	0.030	10.000	15.000	17.400	42.400	0.030		
0.040	732.000	90.000	0.000	822.000	0.040	10.000	17.400	20.000	47.400	0.040		
0.050	738.000	90.000	0.000	828.000	0.050	10.000	20.000	20.000	50.000	0.050		
0.060	744.000	87.000	0.000	831.000	0.060	10.000	22.400	22.400	54.800	0.060		
0.070	747.000	84.000	0.000	831.000	0.070	10.000	22.400	25.000	57.400	0.070		
0.080	750.000	78.000	0.000	828.000	0.080	10.000	25.000	27.400	62.400	0.080		
0.090	750.000	75.000	0.000	825.000	0.090	12.400	25.000	32.400	69.800	0.090		
0.100	750.000	75.000	0.000	825.000	0.100	12.400	27.400	35.000	74.800	0.100		
0.110	750.000	72.000	0.000	822.000	0.110	12.400	30.000	37.400	79.800	0.110		
0.120	750.000	72.000	0.000	822.000	0.120	10.000	27.400	40.000	77.400	0.120		
0.130	747.000	69.000	0.000	816.000	0.130	10.000	30.000	45.000	85.000	0.130		
0.140	744.000	66.000	0.000	810.000	0.140	10.000	32.400	50.000	92.400	0.140		
0.150	744.000	63.000	0.000	807.000	0.150	11.970	34.770	57.000	103.740	0.150		
0.160	738.000	60.000	0.000	798.000	0.160	9.690	37.050	62.130	108.870	0.160		
0.170	735.000	60.000	0.000	795.000	0.170	11.970	37.050	69.540	118.560	0.170		
0.180	729.000	57.000	0.000	786.000	0.180	9.690	39.900	76.950	126.540	0.180		
0.190	720.000	54.000	0.000	774.000	0.190	9.690	39.900	87.210	136.800	0.190		
0.200	714.000	54.000	0.000	768.000	0.200	9.690	42.180	94.620	146.490	0.200		
0.210	705.000	51.000	0.000	756.000	0.210	9.690	42.180	99.750	151.620	0.210		
0.220	693.000	48.000	0.000	741.000	0.220	9.690	42.180	109.440	161.310	0.220		
0.230	684.000	45.000	0.000	729.000	0.230	9.690	44.460	112.290	166.440	0.230		
0.240	672.000	45.000	0.000	717.000	0.240	9.690	44.460	119.700	173.850	0.240		
0.250	657.000	42.000	0.000	699.000	0.250	9.690	47.310	124.830	181.830	0.250		
0.260	645.000	39.000	0.000	684.000	0.260	7.410	47.310	129.960	184.680	0.260		
0.270	627.500	35.140	0.000	662.640	0.270	7.410	47.310	134.520	189.240	0.270		
0.280	612.440	35.140	0.000	647.580	0.280	7.410	47.310	139.650	194.370	0.280		
0.290	597.380	35.140	0.000	632.520	0.290	7.410	47.310	142.500	197.220	0.290		
0.300	584.830	35.140	0.000	619.970	0.300	7.040	47.360	144.640	199.040	0.300		
0.310	572.280	32.630	0.000	604.910	0.310	7.040	47.360	144.640	199.040	0.310		
0.320	559.730	32.630	0.000	592.360	0.320	4.480	44.800	149.760	199.040	0.320		
0.330	549.690	32.630	0.000	582.320	0.330	4.480	42.240	149.760	196.480	0.330		
0.340	542.160	32.630	0.000	574.790	0.340	1.920	42.240	152.320	196.480	0.340		
0.350	534.630	32.630	0.000	567.260	0.350	1.920	37.120	152.320	191.360	0.350		
0.360	527.100	32.630	0.000	559.730	0.360	1.920	34.560	154.880	191.360	0.360		
0.370	522.080	32.630	0.000	554.710	0.370	1.920	34.560	157.440	193.920	0.370		
0.380	519.570	35.140	0.000	554.710	0.380	0.000	29.440	160.000	189.440	0.380		
