C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\7\loadapp_2025-12-11_11-11-22-632.load
Comment s7 w
	-R::front	-R::mid	-R::heel	-R		PRY201-L::heel	PRY201-L::mid	PRY201-L::front	PRY201-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	174.070	182.310	247.200	603.580	0.000	34.650	82.350	112.500	229.500	0.000		
0.010	174.070	182.310	249.260	605.640	0.010	32.400	77.400	109.800	219.600	0.010		
0.020	177.160	187.460	254.410	619.030	0.020	27.450	77.400	109.800	214.650	0.020		
0.030	177.160	189.520	254.410	621.090	0.030	22.500	72.450	109.800	204.750	0.030		
0.040	182.310	191.580	257.500	631.390	0.040	17.100	69.750	109.800	196.650	0.040		
0.050	182.310	194.670	254.410	631.390	0.050	17.100	67.500	109.800	194.400	0.050		
0.060	184.370	196.730	254.410	635.510	0.060	12.150	62.100	107.100	181.350	0.060		
0.070	187.460	199.820	252.350	639.630	0.070	12.150	59.850	107.100	179.100	0.070		
0.080	191.580	201.880	252.350	645.810	0.080	9.900	54.900	104.850	169.650	0.080		
0.090	196.730	204.970	249.260	650.960	0.090	7.200	52.200	104.850	164.250	0.090		
0.100	199.820	209.090	247.200	656.110	0.100	7.200	49.950	104.850	162.000	0.100		
0.110	204.970	212.180	247.200	664.350	0.110	4.950	45.000	99.900	149.850	0.110		
0.120	209.090	214.240	244.110	667.440	0.120	4.950	42.300	94.950	142.200	0.120		
0.130	214.240	217.330	242.050	673.620	0.130	2.250	37.350	94.950	134.550	0.130		
0.140	219.390	219.390	239.990	678.770	0.140	2.250	34.650	92.250	129.150	0.140		
0.150	224.200	224.200	237.180	685.580	0.150	2.220	34.780	92.500	129.500	0.150		
0.160	228.920	226.560	234.820	690.300	0.160	2.220	32.190	87.320	121.730	0.160		
0.170	234.820	228.920	232.460	696.200	0.170	0.000	27.380	87.320	114.700	0.170		
0.180	237.180	228.920	228.920	695.020	0.180	0.000	22.200	87.320	109.520	0.180		
0.190	241.900	232.460	224.200	698.560	0.190	0.000	17.390	87.320	104.710	0.190		
0.200	246.620	234.820	221.840	703.280	0.200	0.000	14.800	87.320	102.120	0.200		
0.210	251.340	234.820	217.120	703.280	0.210	0.000	14.800	87.320	102.120	0.210		
0.220	257.240	237.180	208.860	703.280	0.220	0.000	12.210	84.730	96.940	0.220		
0.230	259.600	237.180	204.140	700.920	0.230	0.000	12.210	87.320	99.530	0.230		
0.240	266.680	237.180	199.420	703.280	0.240	0.000	9.990	84.730	94.720	0.240		
0.250	274.940	237.180	192.340	704.460	0.250	0.000	9.990	84.730	94.720	0.250		
0.260	279.660	239.540	186.440	705.640	0.260	0.000	7.400	79.920	87.320	0.260		
0.270	282.020	239.540	181.720	703.280	0.270	0.000	7.400	79.920	87.320	0.270		
0.280	289.100	239.540	177.000	705.640	0.280	0.000	4.810	74.740	79.550	0.280		
0.290	295.000	239.540	174.640	709.180	0.290	0.000	4.810	74.740	79.550	0.290		
0.300	299.440	238.640	171.760	709.840	0.300	0.000	4.930	72.500	77.430	0.300		
0.310	304.000	241.680	171.760	717.440	0.310	0.000	2.320	69.890	72.210	0.310		
0.320	307.040	244.720	171.760	723.520	0.320	0.000	0.000	69.890	69.890	0.320		
0.330	311.600	244.720	171.760	728.080	0.330	0.000	2.320	67.280	69.600	0.330		
0.340	316.160	246.240	171.760	734.160	0.340	0.000	0.000	64.960	64.960	0.340		
0.350	322.240	249.280	171.760	743.280	0.350	0.000	0.000	64.960	64.960	0.350		
0.360	326.800	249.280	171.760	747.840	0.360	0.000	0.000	62.350	62.350	0.360		
0.370	329.840	249.280	171.760	750.880	0.370	0.000	0.000	62.350	62.350	0.370		
0.380	337.440	252.320	168.720	758.480	0.380	0.000	0.000	64.960	64.960	0.380		
0.390	342.000	252.320	164.160	758.480	0.390	0.000	0.000	62.350	62.350	0.390		
0.400	346.560	252.320	161.120	760.000	0.400	0.000	0.000	62.350	62.350	0.400		
0.410	354.160	252.320	153.520	760.000	0.410	0.000	0.000	59.740	59.740	0.410		
0.420	364.800	252.320	148.960	766.080	0.420	0.000	0.000	59.740	59.740	0.420		
0.430	373.920	252.320	144.400	770.640	0.430	0.000	0.000	57.420	57.420	0.430		
0.440	380.000	252.320	141.360	773.680	0.440	0.000	0.000	57.420	57.420	0.440		
0.450	386.880	251.100	135.780	773.760	0.450	0.000	0.000	55.000	55.000	0.450		
0.460	392.460	251.100	133.920	777.480	0.460	0.000	0.000	55.000	55.000	0.460		
0.470	396.180	249.240	132.060	777.480	0.470	0.000	0.000	55.000	55.000	0.470		
0.480	401.760	249.240	126.480	777.480	0.480	0.000	0.000	52.360	52.360	0.480		
0.490	407.340	249.240	124.620	781.200	0.490	0.000	0.000	49.940	49.940	0.490		
0.500	411.060	247.380	119.040	777.480	0.500	0.000	0.000	49.940	49.940	0.500		
0.510	418.500	241.800	117.180	777.480	0.510	0.000	0.000	49.940	49.940	0.510		
0.520	424.080	236.220	111.600	771.900	0.520	0.000	0.000	49.940	49.940	0.520		
