C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\8\loadapp_2025-12-11_14-15-05-718.load
Comment S8 bvr
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	117.120	74.880	157.440	349.440	0.000	192.500	26.950	84.700	304.150	0.000		
0.010	117.120	74.880	157.440	349.440	0.010	192.500	26.950	84.700	304.150	0.010		
0.020	119.680	74.880	154.880	349.440	0.020	192.500	26.950	79.310	298.760	0.020		
0.030	119.680	74.880	152.320	346.880	0.030	192.500	26.950	82.390	301.840	0.030		
0.040	122.240	74.880	152.320	349.440	0.040	192.500	26.950	82.390	301.840	0.040		
0.050	119.680	74.880	149.760	344.320	0.050	192.500	26.950	82.390	301.840	0.050		
0.060	122.240	74.880	152.320	349.440	0.060	192.500	26.950	82.390	301.840	0.060		
0.070	122.240	74.880	149.760	346.880	0.070	192.500	26.950	84.700	304.150	0.070		
0.080	122.240	74.880	149.760	346.880	0.080	192.500	26.950	82.390	301.840	0.080		
0.090	122.240	77.440	149.760	349.440	0.090	192.500	29.260	82.390	304.150	0.090		
0.100	122.240	74.880	149.760	346.880	0.100	192.500	26.950	82.390	301.840	0.100		
0.110	122.240	74.880	149.760	346.880	0.110	192.500	26.950	84.700	304.150	0.110		
0.120	122.240	77.440	149.760	349.440	0.120	192.500	29.260	84.700	306.460	0.120		
0.130	122.400	75.000	150.000	347.400	0.130	192.500	26.950	82.390	301.840	0.130		
0.140	122.400	77.400	150.000	349.800	0.140	192.500	29.260	84.700	306.460	0.140		
0.150	122.400	79.800	150.000	352.200	0.150	192.500	26.950	82.390	301.840	0.150		
0.160	122.400	77.400	150.000	349.800	0.160	192.500	29.260	84.700	306.460	0.160		
0.170	124.800	77.400	150.000	352.200	0.170	189.420	26.950	82.390	298.760	0.170		
0.180	124.800	77.400	150.000	352.200	0.180	189.420	29.260	82.390	301.070	0.180		
0.190	124.800	77.400	147.000	349.200	0.190	189.420	29.260	84.700	303.380	0.190		
0.200	124.800	77.400	147.000	349.200	0.200	192.500	26.950	82.390	301.840	0.200		
0.210	124.800	77.400	147.000	349.200	0.210	192.500	29.260	84.700	306.460	0.210		
0.220	127.200	77.400	147.000	351.600	0.220	189.420	26.950	82.390	298.760	0.220		
0.230	127.200	77.400	147.000	351.600	0.230	189.420	29.260	82.390	301.070	0.230		
0.240	127.200	77.400	147.000	351.600	0.240	189.420	29.260	82.390	301.070	0.240		
0.250	127.200	77.400	144.600	349.200	0.250	189.420	29.260	82.390	301.070	0.250		
0.260	127.200	77.400	147.000	351.600	0.260	189.420	26.950	82.390	298.760	0.260		
0.270	127.200	79.800	144.600	351.600	0.270	189.420	29.260	82.390	301.070	0.270		
