C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\8\loadapp_2025-12-11_14-24-19-584.load
Comment 
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	149.450	84.790	52.460	286.700	0.000	114.540	49.680	172.500	336.720	0.000		
0.010	152.500	84.790	52.460	289.750	0.010	117.300	52.440	169.740	339.480	0.010		
0.020	152.500	84.790	52.460	289.750	0.020	117.300	52.440	169.740	339.480	0.020		
0.030	149.450	87.230	54.900	291.580	0.030	117.300	52.440	169.740	339.480	0.030		
0.040	149.450	87.230	54.900	291.580	0.040	117.300	52.440	169.740	339.480	0.040		
0.050	147.010	87.230	54.900	289.140	0.050	117.300	52.440	169.740	339.480	0.050		
0.060	149.450	84.790	54.900	289.140	0.060	117.300	52.440	169.740	339.480	0.060		
0.070	149.450	84.790	54.900	289.140	0.070	119.370	52.440	169.740	341.550	0.070		
0.080	147.010	84.790	54.900	286.700	0.080	119.370	52.440	166.980	338.790	0.080		
0.090	147.010	84.790	54.900	286.700	0.090	119.370	52.440	166.980	338.790	0.090		
0.100	147.010	84.790	54.900	286.700	0.100	119.370	52.440	166.980	338.790	0.100		
0.110	147.010	84.790	54.900	286.700	0.110	119.370	54.510	166.980	340.860	0.110		
0.120	147.000	84.600	54.600	286.200	0.120	119.370	52.440	164.910	336.720	0.120		
0.130	147.000	84.600	54.600	286.200	0.130	122.130	54.510	164.910	341.550	0.130		
0.140	147.000	87.000	54.600	288.600	0.140	122.130	54.510	164.910	341.550	0.140		
0.150	147.000	84.600	54.600	286.200	0.150	119.460	52.140	165.000	336.600	0.150		
0.160	147.000	84.600	54.600	286.200	0.160	122.100	52.140	162.360	336.600	0.160		
0.170	147.000	84.600	54.600	286.200	0.170	122.100	54.780	162.360	339.240	0.170		
0.180	147.000	84.600	54.600	286.200	0.180	122.100	54.780	162.360	339.240	0.180		
0.190	147.000	84.600	54.600	286.200	0.190	122.100	54.780	162.360	339.240	0.190		
0.200	147.000	84.600	57.000	288.600	0.200	122.100	52.140	162.360	336.600	0.200		
0.210	147.000	84.600	54.600	286.200	0.210	122.100	52.140	162.360	336.600	0.210		
0.220	147.000	84.600	57.000	288.600	0.220	122.100	54.780	162.360	339.240	0.220		
0.230	147.000	84.600	54.600	286.200	0.230	122.100	54.780	162.360	339.240	0.230		
0.240	147.000	87.000	54.600	288.600	0.240	122.100	54.780	162.360	339.240	0.240		
0.250	147.000	87.000	57.000	291.000	0.250	124.740	54.780	159.720	339.240	0.250		
0.260	150.000	87.000	57.000	294.000	0.260	124.740	52.140	159.720	336.600	0.260		
0.270	147.200	87.040	56.960	291.200	0.270	122.100	52.140	162.360	336.600	0.270		
0.280	147.200	87.040	56.960	291.200	0.280	122.100	52.140	159.720	333.960	0.280		
0.290	149.760	87.040	56.960	293.760	0.290	122.100	52.140	159.720	333.960	0.290		
0.300	149.760	89.600	56.960	296.320	0.300	122.220	49.770	157.500	329.490	0.300		
0.310	152.320	89.600	56.960	298.880	0.310	122.220	49.770	157.500	329.490	0.310		
0.320	152.320	89.600	54.400	296.320	0.320	122.220	49.770	157.500	329.490	0.320		
0.330	154.880	89.600	54.400	298.880	0.330	122.220	49.770	157.500	329.490	0.330		
0.340	154.880	89.600	54.400	298.880	0.340	122.220	49.770	154.980	326.970	0.340		
0.350	154.880	89.600	54.400	298.880	0.350	122.220	49.770	154.980	326.970	0.350		
0.360	154.880	92.160	54.400	301.440	0.360	122.220	49.770	152.460	324.450	0.360		
0.370	157.440	89.600	54.400	301.440	0.370	124.740	47.250	152.460	324.450	0.370		
0.380	157.440	92.160	52.480	302.080	0.380	124.740	47.250	152.460	324.450	0.380		
