C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\8\loadapp_2025-12-11_14-33-22-212.load
Comment S8 vh
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	110.000	69.960	104.720	284.680	0.000	172.500	74.520	79.350	326.370	0.000		
0.010	110.000	69.960	104.720	284.680	0.010	172.500	77.280	77.280	327.060	0.010		
0.020	110.000	69.960	104.720	284.680	0.020	172.500	77.280	77.280	327.060	0.020		
0.030	110.000	69.960	104.720	284.680	0.030	172.500	77.280	77.280	327.060	0.030		
0.040	110.000	67.320	104.720	282.040	0.040	169.740	77.280	79.350	326.370	0.040		
0.050	107.360	67.320	104.720	279.400	0.050	172.500	77.280	82.110	331.890	0.050		
0.060	110.000	67.320	104.720	282.040	0.060	172.500	77.280	79.350	329.130	0.060		
0.070	107.360	69.960	104.720	282.040	0.070	169.740	77.280	79.350	326.370	0.070		
0.080	107.360	67.320	104.720	279.400	0.080	169.740	77.280	79.350	326.370	0.080		
0.090	107.360	67.320	104.720	279.400	0.090	169.740	77.280	79.350	326.370	0.090		
0.100	107.360	67.320	104.720	279.400	0.100	169.740	77.280	79.350	326.370	0.100		
0.110	110.000	67.320	104.720	282.040	0.110	169.740	77.280	82.110	329.130	0.110		
0.120	110.000	67.320	104.720	282.040	0.120	169.740	77.280	79.350	326.370	0.120		
0.130	107.360	67.320	104.720	279.400	0.130	169.740	77.280	79.350	326.370	0.130		
0.140	107.360	67.320	104.720	279.400	0.140	169.740	77.280	79.350	326.370	0.140		
0.150	107.360	67.320	104.720	279.400	0.150	170.000	76.840	79.560	326.400	0.150		
0.160	107.360	67.320	104.720	279.400	0.160	170.000	76.840	79.560	326.400	0.160		
0.170	107.360	67.320	107.360	282.040	0.170	170.000	76.840	79.560	326.400	0.170		
0.180	104.720	67.320	104.720	276.760	0.180	170.000	76.840	82.280	329.120	0.180		
0.190	107.360	67.320	107.360	282.040	0.190	170.000	76.840	79.560	326.400	0.190		
0.200	104.720	67.320	107.360	279.400	0.200	170.000	76.840	82.280	329.120	0.200		
0.210	104.720	64.680	107.360	276.760	0.210	170.000	76.840	82.280	329.120	0.210		
0.220	104.720	67.320	107.360	279.400	0.220	170.000	76.840	79.560	326.400	0.220		
0.230	104.720	67.320	107.360	279.400	0.230	170.000	76.840	82.280	329.120	0.230		
0.240	104.720	67.320	107.360	279.400	0.240	170.000	79.560	82.280	331.840	0.240		
0.250	104.720	67.320	107.360	279.400	0.250	170.000	76.840	82.280	329.120	0.250		
0.260	104.720	67.320	107.360	279.400	0.260	170.000	76.840	82.280	329.120	0.260		
0.270	107.360	64.680	110.000	282.040	0.270	170.000	76.840	82.280	329.120	0.270		
0.280	104.720	64.680	107.360	276.760	0.280	170.000	76.840	82.280	329.120	0.280		
0.290	104.720	67.320	107.360	279.400	0.290	170.000	76.840	82.280	329.120	0.290		
0.300	104.850	67.500	109.800	282.150	0.300	169.690	77.390	82.360	329.440	0.300		
