C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\8\loadapp_2025-12-11_14-22-03-227.load
Comment S8 vw2
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	107.200	42.210	164.820	314.230	0.000	159.900	79.950	49.400	289.250	0.000		
0.010	107.200	44.890	164.820	316.910	0.010	162.500	79.950	47.450	289.900	0.010		
0.020	107.200	44.890	164.820	316.910	0.020	159.900	77.350	49.400	286.650	0.020		
0.030	107.200	44.890	164.820	316.910	0.030	162.500	77.350	47.450	287.300	0.030		
0.040	107.200	44.890	164.820	316.910	0.040	162.500	77.350	47.450	287.300	0.040		
0.050	107.200	44.890	164.820	316.910	0.050	162.500	77.350	47.450	287.300	0.050		
0.060	109.880	42.210	164.820	316.910	0.060	162.500	77.350	47.450	287.300	0.060		
0.070	109.880	44.890	164.820	319.590	0.070	162.500	77.350	44.850	284.700	0.070		
0.080	109.880	44.890	162.140	316.910	0.080	162.500	74.750	47.450	284.700	0.080		
0.090	109.880	44.890	164.820	319.590	0.090	162.500	74.750	44.850	282.100	0.090		
0.100	109.880	44.890	162.140	316.910	0.100	162.500	74.750	47.450	284.700	0.100		
0.110	111.890	44.890	164.820	321.600	0.110	162.500	74.750	47.450	284.700	0.110		
0.120	109.710	44.850	164.910	319.470	0.120	162.500	74.750	47.450	284.700	0.120		
0.130	109.710	44.850	164.910	319.470	0.130	162.500	74.750	47.450	284.700	0.130		
0.140	109.710	44.850	164.910	319.470	0.140	162.500	72.150	44.850	279.500	0.140		
0.150	112.470	44.850	164.910	322.230	0.150	162.500	74.750	44.850	282.100	0.150		
0.160	112.470	44.850	164.910	322.230	0.160	162.500	72.150	44.850	279.500	0.160		
0.170	109.710	44.850	164.910	319.470	0.170	162.500	74.750	44.850	282.100	0.170		
0.180	109.710	44.850	164.910	319.470	0.180	162.500	74.750	47.450	284.700	0.180		
0.190	112.470	44.850	164.910	322.230	0.190	162.500	72.150	47.450	282.100	0.190		
0.200	109.710	44.850	166.980	321.540	0.200	162.500	74.750	47.450	284.700	0.200		
0.210	109.710	42.090	166.980	318.780	0.210	162.500	74.750	47.450	284.700	0.210		
0.220	109.710	44.850	166.980	321.540	0.220	162.500	72.150	47.450	282.100	0.220		
0.230	106.950	42.090	166.980	316.020	0.230	162.500	72.150	47.450	282.100	0.230		
0.240	106.950	44.850	169.740	321.540	0.240	159.900	74.750	49.400	284.050	0.240		
0.250	106.950	44.850	172.500	324.300	0.250	162.500	74.750	47.450	284.700	0.250		
0.260	106.950	44.850	172.500	324.300	0.260	159.900	74.750	47.450	282.100	0.260		
0.270	107.100	44.800	172.200	324.100	0.270	162.500	72.150	47.450	282.100	0.270		
0.280	107.100	42.000	172.200	321.300	0.280	159.900	72.150	47.450	279.500	0.280		
0.290	105.000	44.800	172.200	322.000	0.290	162.500	72.150	47.450	282.100	0.290		
0.300	105.000	44.800	175.000	324.800	0.300	162.140	72.360	49.580	284.080	0.300		
0.310	105.000	42.000	172.200	319.200	0.310	162.140	72.360	46.900	281.400	0.310		
0.320	105.000	44.800	175.000	324.800	0.320	162.140	72.360	46.900	281.400	0.320		
0.330	105.000	44.800	172.200	322.000	0.330	162.140	72.360	46.900	281.400	0.330		
0.340	105.000	44.800	175.000	324.800	0.340	164.820	72.360	44.890	282.070	0.340		
0.350	102.200	42.000	172.200	316.400	0.350	164.820	72.360	46.900	284.080	0.350		
0.360	105.000	44.800	172.200	322.000	0.360	164.820	72.360	46.900	284.080	0.360		
0.370	102.200	42.000	172.200	316.400	0.370	164.820	72.360	46.900	284.080	0.370		
0.380	102.200	42.000	172.200	316.400	0.380	167.500	72.360	46.900	286.760	0.380		
0.390	102.200	42.000	172.200	316.400	0.390	164.820	72.360	44.890	282.070	0.390		
0.400	102.200	42.000	172.200	316.400	0.400	167.500	72.360	44.890	284.750	0.400		
0.410	105.000	39.900	172.200	317.100	0.410	167.500	72.360	44.890	284.750	0.410		
0.420	102.200	42.000	169.400	313.600	0.420	167.500	72.360	44.890	284.750	0.420		
0.430	102.200	42.000	172.200	316.400	0.430	167.500	74.370	46.900	288.770	0.430		
0.440	102.200	39.900	169.400	311.500	0.440	167.500	72.360	46.900	286.760	0.440		
0.450	102.200	42.000	169.400	313.600	0.450	167.500	72.360	44.890	284.750	0.450		
0.460	102.200	42.000	172.200	316.400	0.460	167.500	74.370	46.900	288.770	0.460		
0.470	102.200	42.000	172.200	316.400	0.470	164.820	74.370	46.900	286.090	0.470		
0.480	102.200	42.000	172.200	316.400	0.480	164.820	77.050	46.900	288.770	0.480		
0.490	102.200	42.000	172.200	316.400	0.490	164.820	77.050	46.900	288.770	0.490		
0.500	102.200	42.000	172.200	316.400	0.500	162.140	77.050	49.580	288.770	0.500		
0.510	102.200	42.000	175.000	319.200	0.510	159.460	79.730	49.580	288.770	0.510		
0.520	99.400	42.000	175.000	316.400	0.520	159.460	79.730	49.580	288.770	0.520		
0.530	99.400	42.000	172.200	313.600	0.530	159.460	79.730	49.580	288.770	0.530		
0.540	99.400	39.900	172.200	311.500	0.540	157.450	82.410	49.580	289.440	0.540		
0.550	99.400	42.000	175.000	316.400	0.550	154.770	82.410	49.580	286.760	0.550		
0.560	99.400	42.000	172.200	313.600	0.560	154.770	82.410	52.260	289.440	0.560		
0.570	99.400	41.890	174.660	315.950	0.570	154.770	82.410	52.260	289.440	0.570		
0.580	99.400	39.760	171.820	310.980	0.580	154.770	82.410	52.260	289.440	0.580		
0.590	99.400	39.760	171.820	310.980	0.590	154.770	84.420	52.260	291.450	0.590		
0.600	99.400	39.760	171.820	310.980	0.600	152.100	81.900	52.000	286.000	0.600		
0.610	99.400	41.890	174.660	315.950	0.610	154.700	84.500	52.000	291.200	0.610		
0.620	97.270	39.760	174.660	311.690	0.620	154.700	84.500	52.000	291.200	0.620		
0.630	99.400	39.760	174.660	313.820	0.630	154.700	81.900	52.000	288.600	0.630		
0.640	97.270	39.760	174.660	311.690	0.640	154.700	81.900	49.400	286.000	0.640		
0.650	97.270	39.760	174.660	311.690	0.650	154.700	81.900	49.400	286.000	0.650		
0.660	97.270	39.760	174.660	311.690	0.660	157.300	81.900	49.400	288.600	0.660		
0.670	97.270	39.760	174.660	311.690	0.670	157.300	81.900	47.450	286.650	0.670		
0.680	97.270	39.760	174.660	311.690	0.680	157.300	81.900	49.400	288.600	0.680		
0.690	97.270	39.760	174.660	311.690	0.690	159.900	81.900	49.400	291.200	0.690		
0.700	97.270	39.760	177.500	314.530	0.700	159.900	81.900	49.400	291.200	0.700		
0.710	97.270	39.760	177.500	314.530	0.710	162.500	79.950	49.400	291.850	0.710		
0.720	97.200	39.600	177.120	313.920	0.720	162.500	79.950	47.450	289.900	0.720		
0.730	97.200	39.600	177.120	313.920	0.730	162.500	77.350	47.450	287.300	0.730		
0.740	97.200	39.600	177.120	313.920	0.740	162.500	77.350	47.450	287.300	0.740		
0.750	97.200	39.600	180.000	316.800	0.750	164.820	77.050	49.580	291.450	0.750		
0.760	97.200	39.600	180.000	316.800	0.760	164.820	77.050	49.580	291.450	0.760		
0.770	97.200	42.480	180.000	319.680	0.770	164.820	77.050	46.900	288.770	0.770		
0.780	99.360	42.480	180.000	321.840	0.780	164.820	74.370	46.900	286.090	0.780		
0.790	99.360	42.480	180.000	321.840	0.790	164.820	77.050	46.900	288.770	0.790		
0.800	97.200	42.480	180.000	319.680	0.800	167.500	77.050	49.580	294.130	0.800		
0.810	99.360	42.480	177.120	318.960	0.810	164.820	77.050	46.900	288.770	0.810		
0.820	97.200	39.600	177.120	313.920	0.820	164.820	74.370	49.580	288.770	0.820		
0.830	97.200	42.480	177.120	316.800	0.830	164.820	74.370	49.580	288.770	0.830		
0.840	99.360	39.600	174.960	313.920	0.840	164.820	74.370	49.580	288.770	0.840		
0.850	99.360	39.600	172.080	311.040	0.850	164.820	74.370	49.580	288.770	0.850		
0.860	99.360	39.600	172.080	311.040	0.860	164.820	74.370	49.580	288.770	0.860		
0.870	102.120	39.330	172.500	313.950	0.870	164.820	74.370	49.580	288.770	0.870		
0.880	102.120	39.330	169.740	311.190	0.880	164.820	74.370	52.260	291.450	0.880		
0.890	99.360	39.330	169.740	308.430	0.890	164.820	74.370	49.580	288.770	0.890		
0.900	102.120	39.330	166.980	308.430	0.900	164.820	74.370	49.580	288.770	0.900		
0.910	102.120	39.330	166.980	308.430	0.910	167.500	74.370	49.580	291.450	0.910		
0.920	99.360	39.330	166.980	305.670	0.920	167.500	74.370	49.580	291.450	0.920		
0.930	102.120	42.090	164.910	309.120	0.930	167.500	74.370	52.260	294.130	0.930		
0.940	102.120	42.090	164.910	309.120	0.940	167.500	74.370	49.580	291.450	0.940		
0.950	102.120	42.090	164.910	309.120	0.950	167.500	74.370	49.580	291.450	0.950		
0.960	102.120	42.090	164.910	309.120	0.960	167.500	74.370	52.260	294.130	0.960		
0.970	102.120	42.090	164.910	309.120	0.970	167.500	74.370	49.580	291.450	0.970		
0.980	102.120	42.090	164.910	309.120	0.980	164.820	74.370	49.580	288.770	0.980		
0.990	102.120	42.090	162.150	306.360	0.990	167.500	74.370	52.260	294.130	0.990		
1.000	104.880	42.090	162.150	309.120	1.000	164.820	77.050	52.260	294.130	1.000		
1.010	102.120	42.090	162.150	306.360	1.010	164.820	77.050	52.260	294.130	1.010		
1.020	102.400	42.240	160.000	304.640	1.020	164.820	77.050	52.260	294.130	1.020		
1.030	102.400	42.240	160.000	304.640	1.030	164.820	79.730	52.260	296.810	1.030		
1.040	102.400	42.240	160.000	304.640	1.040	164.820	79.730	52.260	296.810	1.040		
