C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\8\loadapp_2025-12-11_14-29-52-360.load
Comment S8 w
	PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	89.680	64.900	139.830	294.410	0.000	179.410	44.660	99.330	323.400	0.000		
0.010	89.680	61.950	142.190	293.820	0.010	179.410	44.660	97.020	321.090	0.010		
0.020	89.680	61.950	142.190	293.820	0.020	182.490	44.660	97.020	324.170	0.020		
0.030	87.320	61.950	142.190	291.460	0.030	184.800	44.660	97.020	326.480	0.030		
0.040	87.320	61.950	144.550	293.820	0.040	184.800	44.660	94.710	324.170	0.040		
0.050	87.320	61.950	144.550	293.820	0.050	184.800	44.660	94.710	324.170	0.050		
0.060	87.320	61.950	144.550	293.820	0.060	184.800	44.660	94.710	324.170	0.060		
0.070	87.320	61.950	144.550	293.820	0.070	184.800	42.350	94.710	321.860	0.070		
0.080	87.320	61.950	147.500	296.770	0.080	187.110	42.350	92.400	321.860	0.080		
0.090	84.960	61.950	147.500	294.410	0.090	187.110	42.350	92.400	321.860	0.090		
0.100	84.960	61.950	147.500	294.410	0.100	189.420	42.350	92.400	324.170	0.100		
0.110	84.960	61.950	147.500	294.410	0.110	189.420	42.350	92.400	324.170	0.110		
0.120	82.460	62.000	146.940	291.400	0.120	192.500	42.350	89.320	324.170	0.120		
0.130	84.940	62.000	149.420	296.360	0.130	192.500	44.660	89.320	326.480	0.130		
0.140	82.460	62.000	149.420	293.880	0.140	192.500	42.350	89.320	324.170	0.140		
0.150	82.460	59.520	149.420	291.400	0.150	191.880	42.120	89.700	323.700	0.150		
0.160	82.460	62.000	151.900	296.360	0.160	195.000	42.120	89.700	326.820	0.160		
0.170	82.460	59.520	151.900	293.880	0.170	191.880	42.120	87.360	321.360	0.170		
