C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-06-06-850.load
Comment s9b
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	167.500	97.150	84.420	349.070	0.000	124.950	122.400	102.000	349.350	0.000		
0.010	167.500	97.150	87.100	351.750	0.010	124.950	122.400	104.550	351.900	0.010		
0.020	167.500	97.150	84.420	349.070	0.020	124.950	122.400	102.000	349.350	0.020		
0.030	167.500	97.150	84.420	349.070	0.030	124.950	124.950	104.550	354.450	0.030		
0.040	167.500	97.150	84.420	349.070	0.040	124.950	124.950	104.550	354.450	0.040		
0.050	167.500	97.150	84.420	349.070	0.050	127.500	122.400	104.550	354.450	0.050		
0.060	167.500	97.150	87.100	351.750	0.060	124.950	122.400	102.000	349.350	0.060		
0.070	164.820	97.150	87.100	349.070	0.070	124.950	122.400	104.550	351.900	0.070		
0.080	167.500	97.150	84.420	349.070	0.080	124.950	122.400	102.000	349.350	0.080		
0.090	164.820	97.150	84.420	346.390	0.090	127.500	119.850	102.000	349.350	0.090		
0.100	164.820	97.150	84.420	346.390	0.100	127.500	122.400	104.550	354.450	0.100		
0.110	165.000	97.020	84.480	346.500	0.110	127.500	122.400	104.550	354.450	0.110		
0.120	165.000	97.020	87.120	349.140	0.120	124.950	122.400	104.550	351.900	0.120		
0.130	165.000	97.020	87.120	349.140	0.130	124.950	122.400	104.550	351.900	0.130		
0.140	165.000	97.020	84.480	346.500	0.140	124.950	122.400	104.550	351.900	0.140		
0.150	165.000	97.020	87.120	349.140	0.150	124.950	122.400	104.550	351.900	0.150		
0.160	165.000	97.020	87.120	349.140	0.160	124.950	122.400	104.550	351.900	0.160		
0.170	165.000	97.020	87.120	349.140	0.170	127.500	122.400	102.000	351.900	0.170		
0.180	165.000	97.020	84.480	346.500	0.180	124.950	124.950	104.550	354.450	0.180		
