C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-12-58-937.load
Comment s9bvr
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	165.000	117.480	97.020	379.500	0.000	130.000	130.000	119.600	379.600	0.000		
0.010	162.360	117.480	99.660	379.500	0.010	130.000	130.000	119.600	379.600	0.010		
0.020	162.360	117.480	99.660	379.500	0.020	127.400	127.400	117.000	371.800	0.020		
0.030	162.360	117.480	97.020	376.860	0.030	127.400	127.400	117.000	371.800	0.030		
0.040	162.360	117.480	99.660	379.500	0.040	130.000	127.400	117.000	374.400	0.040		
0.050	162.360	114.840	99.660	376.860	0.050	127.400	130.000	117.000	374.400	0.050		
0.060	162.360	117.480	99.660	379.500	0.060	127.400	127.400	119.600	374.400	0.060		
0.070	162.360	117.480	99.660	379.500	0.070	127.400	127.400	119.600	374.400	0.070		
0.080	162.360	117.480	99.660	379.500	0.080	127.400	130.000	119.600	377.000	0.080		
0.090	162.360	114.840	97.020	374.220	0.090	124.800	127.400	119.600	371.800	0.090		
0.100	162.360	117.480	97.020	376.860	0.100	127.400	127.400	122.200	377.000	0.100		
0.110	162.360	114.840	99.660	376.860	0.110	127.400	127.400	119.600	374.400	0.110		
0.120	162.140	114.570	97.150	373.860	0.120	124.800	130.000	122.200	377.000	0.120		
0.130	162.140	114.570	99.830	376.540	0.130	124.800	130.000	122.200	377.000	0.130		
0.140	162.140	114.570	97.150	373.860	0.140	124.800	130.000	124.800	379.600	0.140		
0.150	162.140	114.570	97.150	373.860	0.150	124.550	129.850	124.550	378.950	0.150		
0.160	164.820	114.570	99.830	379.220	0.160	122.430	127.200	124.550	374.180	0.160		
0.170	162.140	114.570	99.830	376.540	0.170	122.430	129.850	127.200	379.480	0.170		
0.180	164.820	114.570	97.150	376.540	0.180	122.430	129.850	127.200	379.480	0.180		
0.190	164.820	114.570	97.150	376.540	0.190	122.430	127.200	129.850	379.480	0.190		
0.200	164.820	114.570	94.470	373.860	0.200	119.780	127.200	129.850	376.830	0.200		
0.210	164.820	114.570	97.150	376.540	0.210	119.780	127.200	129.850	376.830	0.210		
0.220	164.820	111.890	97.150	373.860	0.220	119.780	129.850	129.850	379.480	0.220		
0.230	164.820	111.890	92.460	369.170	0.230	117.130	129.850	132.500	379.480	0.230		
0.240	164.820	111.890	97.150	373.860	0.240	119.780	129.850	132.500	382.130	0.240		
