C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-30-03-449.load
Comment s9h
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	182.500	104.390	79.570	366.460	0.000	87.420	94.860	137.020	319.300	0.000		
0.010	182.500	104.390	82.490	369.380	0.010	87.420	94.860	139.500	321.780	0.010		
0.020	182.500	104.390	84.680	371.570	0.020	84.940	94.860	137.020	316.820	0.020		
0.030	179.580	104.390	79.570	363.540	0.030	84.940	94.860	139.500	319.300	0.030		
0.040	179.580	104.390	79.570	363.540	0.040	84.940	97.340	141.980	324.260	0.040		
0.050	179.580	102.200	79.570	361.350	0.050	84.940	97.340	141.980	324.260	0.050		
0.060	179.580	102.200	79.570	361.350	0.060	84.940	94.860	141.980	321.780	0.060		
0.070	177.390	102.200	77.380	356.970	0.070	87.420	97.340	141.980	326.740	0.070		
0.080	177.390	102.200	79.570	359.160	0.080	87.420	97.340	144.460	329.220	0.080		
0.090	177.390	102.200	79.570	359.160	0.090	84.940	97.340	146.940	329.220	0.090		
0.100	177.390	99.280	79.570	356.240	0.100	87.420	99.820	146.940	334.180	0.100		
0.110	177.390	102.200	79.570	359.160	0.110	87.420	99.820	149.420	336.660	0.110		
0.120	175.000	99.400	79.800	354.200	0.120	87.420	97.340	149.420	334.180	0.120		
0.130	175.000	99.400	79.800	354.200	0.130	87.420	99.820	151.900	339.140	0.130		
0.140	172.200	99.400	79.800	351.400	0.140	87.420	99.820	155.000	342.240	0.140		
0.150	172.200	99.400	79.800	351.400	0.150	87.100	99.450	157.300	343.850	0.150		
0.160	172.200	97.300	79.800	349.300	0.160	87.100	99.450	159.900	346.450	0.160		
0.170	169.400	97.300	79.800	346.500	0.170	87.100	99.450	159.900	346.450	0.170		
0.180	167.300	99.400	79.800	346.500	0.180	87.100	99.450	159.900	346.450	0.180		
0.190	167.300	97.300	77.000	341.600	0.190	87.100	99.450	159.900	346.450	0.190		
0.200	164.500	97.300	79.800	341.600	0.200	87.100	99.450	162.500	349.050	0.200		
0.210	164.500	97.300	77.000	338.800	0.210	87.100	99.450	159.900	346.450	0.210		
0.220	162.400	94.500	77.000	333.900	0.220	84.500	99.450	162.500	346.450	0.220		
0.230	162.400	94.500	77.000	333.900	0.230	84.500	99.450	162.500	346.450	0.230		
0.240	162.400	94.500	79.800	336.700	0.240	84.500	99.450	159.900	343.850	0.240		
0.250	162.400	97.300	79.800	339.500	0.250	84.500	99.450	159.900	343.850	0.250		
0.260	162.400	97.300	79.800	339.500	0.260	84.500	97.500	159.900	341.900	0.260		
0.270	164.780	97.020	79.310	341.110	0.270	84.500	99.450	157.300	341.250	0.270		
0.280	164.780	97.020	79.310	341.110	0.280	81.900	97.500	157.300	336.700	0.280		
0.290	164.780	97.020	77.000	338.800	0.290	84.500	97.500	157.300	339.300	0.290		
0.300	167.090	99.330	79.310	345.730	0.300	81.900	97.020	157.500	336.420	0.300		
0.310	169.400	99.330	79.310	348.040	0.310	81.900	94.500	152.460	328.860	0.310		
0.320	169.400	99.330	79.310	348.040	0.320	81.900	94.500	152.460	328.860	0.320		
0.330	172.480	102.410	79.310	354.200	0.330	81.900	94.500	152.460	328.860	0.330		
0.340	174.790	104.720	79.310	358.820	0.340	81.900	91.980	147.420	321.300	0.340		
0.350	177.100	104.720	79.310	361.130	0.350	81.900	91.980	147.420	321.300	0.350		
0.360	182.490	107.030	79.310	368.830	0.360	81.900	91.980	147.420	321.300	0.360		
0.370	182.490	107.030	82.390	371.910	0.370	81.900	89.460	144.900	316.260	0.370		
0.380	184.800	109.340	82.390	376.530	0.380	81.900	89.460	142.380	313.740	0.380		
0.390	187.110	112.420	82.390	381.920	0.390	81.900	89.460	142.380	313.740	0.390		
0.400	192.500	112.420	82.390	387.310	0.400	81.900	86.940	139.860	308.700	0.400		
0.410	192.500	114.730	82.390	389.620	0.410	81.900	86.940	137.340	306.180	0.410		
0.420	191.880	114.800	82.000	388.680	0.420	79.380	84.420	134.820	298.620	0.420		
0.430	191.880	114.800	82.000	388.680	0.430	81.900	84.420	132.300	298.620	0.430		
0.440	194.340	114.800	84.460	393.600	0.440	79.380	84.420	129.780	293.580	0.440		
0.450	196.800	114.800	82.000	393.600	0.450	79.560	82.110	127.500	289.170	0.450		
0.460	196.800	117.260	82.000	396.060	0.460	79.560	82.110	124.950	286.620	0.460		
0.470	196.800	117.260	84.460	398.520	0.470	79.560	79.560	122.400	281.520	0.470		
0.480	199.260	117.260	84.460	400.980	0.480	77.010	79.560	119.850	276.420	0.480		
0.490	199.260	117.260	82.000	398.520	0.490	79.560	79.560	119.850	278.970	0.490		
0.500	199.260	117.260	84.460	400.980	0.500	77.010	79.560	119.850	276.420	0.500		
0.510	199.260	117.260	82.000	398.520	0.510	79.560	79.560	119.850	278.970	0.510		
0.520	201.720	119.720	82.000	403.440	0.520	79.560	79.560	119.850	278.970	0.520		
