C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-33-42-139.load
Comment S9 vh2
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	144.550	94.990	34.810	274.350	0.000	104.720	79.200	220.000	403.920	0.000		
0.010	142.190	92.040	34.810	269.040	0.010	104.720	79.200	220.000	403.920	0.010		
0.020	144.550	92.040	32.450	269.040	0.020	104.720	79.200	220.000	403.920	0.020		
0.030	144.550	92.040	29.500	266.090	0.030	104.720	77.440	217.360	399.520	0.030		
0.040	142.190	92.040	29.500	263.730	0.040	104.720	77.440	217.360	399.520	0.040		
0.050	144.550	92.040	27.140	263.730	0.050	107.360	77.440	217.360	402.160	0.050		
0.060	144.550	92.040	27.140	263.730	0.060	104.720	77.440	217.360	399.520	0.060		
0.070	144.550	92.040	27.140	263.730	0.070	104.720	79.200	217.360	401.280	0.070		
0.080	144.550	92.040	27.140	263.730	0.080	104.720	77.440	217.360	399.520	0.080		
0.090	147.500	92.040	24.780	264.320	0.090	104.720	77.440	217.360	399.520	0.090		
0.100	144.550	92.040	24.780	261.370	0.100	104.720	79.200	217.360	401.280	0.100		
0.110	147.010	92.110	24.400	263.520	0.110	104.720	79.200	217.360	401.280	0.110		
0.120	147.010	92.110	24.400	263.520	0.120	104.720	77.440	217.360	399.520	0.120		
0.130	147.010	92.110	24.400	263.520	0.130	104.720	77.440	217.360	399.520	0.130		
0.140	147.010	92.110	27.450	266.570	0.140	104.720	79.200	217.360	401.280	0.140		
0.150	147.010	92.110	27.450	266.570	0.150	104.720	77.440	217.360	399.520	0.150		
0.160	147.010	92.110	24.400	263.520	0.160	101.790	79.170	217.500	398.460	0.160		
0.170	147.010	92.110	24.400	263.520	0.170	104.400	77.430	214.890	396.720	0.170		
0.180	147.010	92.110	27.450	266.570	0.180	104.400	79.170	214.890	398.460	0.180		
0.190	147.010	92.110	27.450	266.570	0.190	104.400	77.430	212.280	394.110	0.190		
0.200	149.450	94.550	24.400	268.400	0.200	104.400	79.170	212.280	395.850	0.200		
0.210	149.450	92.110	27.450	269.010	0.210	104.400	79.170	212.280	395.850	0.210		
0.220	149.450	92.110	24.400	265.960	0.220	104.400	79.170	209.670	393.240	0.220		
0.230	152.500	92.110	24.400	269.010	0.230	107.010	79.170	209.670	395.850	0.230		
0.240	152.500	92.110	24.400	269.010	0.240	107.010	79.170	207.060	393.240	0.240		
0.250	152.500	94.550	24.400	271.450	0.250	107.010	79.170	207.060	393.240	0.250		
0.260	154.700	94.900	24.700	274.300	0.260	107.010	81.780	204.450	393.240	0.260		
0.270	157.300	92.300	27.300	276.900	0.270	107.010	81.780	204.450	393.240	0.270		
0.280	154.700	94.900	27.300	276.900	0.280	107.010	81.780	201.840	390.630	0.280		
0.290	157.300	94.900	27.300	279.500	0.290	109.620	81.780	201.840	393.240	0.290		
0.300	157.300	94.900	24.700	276.900	0.300	109.620	81.780	197.490	388.890	0.300		
0.310	157.300	94.900	27.300	279.500	0.310	112.180	82.160	197.500	391.840	0.310		
0.320	157.300	97.500	27.300	282.100	0.320	112.180	82.160	194.340	388.680	0.320		
0.330	159.900	97.500	27.300	284.700	0.330	112.180	82.160	189.600	383.940	0.330		
0.340	159.900	97.500	27.300	284.700	0.340	114.550	84.530	189.600	388.680	0.340		
0.350	159.900	97.500	27.300	284.700	0.350	114.550	84.530	187.230	386.310	0.350		
0.360	159.900	97.500	27.300	284.700	0.360	114.550	84.530	184.860	383.940	0.360		
0.370	162.500	99.450	29.900	291.850	0.370	114.550	84.530	182.490	381.570	0.370		
0.380	162.500	99.450	29.900	291.850	0.380	116.920	86.900	179.330	383.150	0.380		
0.390	162.500	99.450	29.900	291.850	0.390	116.920	84.530	176.960	378.410	0.390		
0.400	162.500	99.450	29.900	291.850	0.400	116.920	86.900	174.590	378.410	0.400		
