C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-25-58-935.load
Comment s9vh crashed in 4
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	162.360	109.560	74.580	346.500	0.000	132.300	122.040	119.880	374.220	0.000		
0.010	162.360	109.560	74.580	346.500	0.010	135.000	122.040	119.880	376.920	0.010		
0.020	159.720	109.560	77.220	346.500	0.020	132.300	122.040	119.880	374.220	0.020		
0.030	159.720	109.560	77.220	346.500	0.030	132.300	122.040	119.880	374.220	0.030		
0.040	159.720	109.560	77.220	346.500	0.040	132.300	122.040	119.880	374.220	0.040		
0.050	159.720	109.560	79.860	349.140	0.050	132.300	122.040	119.880	374.220	0.050		
0.060	159.720	112.200	77.220	349.140	0.060	132.300	122.040	119.880	374.220	0.060		
0.070	157.080	109.560	79.860	346.500	0.070	129.600	124.740	119.880	374.220	0.070		
0.080	157.080	112.200	79.860	349.140	0.080	132.300	124.740	119.880	376.920	0.080		
0.090	157.080	112.200	79.860	349.140	0.090	132.300	122.040	119.880	374.220	0.090		
0.100	157.080	112.200	82.500	351.780	0.100	132.300	124.740	119.880	376.920	0.100		
0.110	157.080	114.840	82.500	354.420	0.110	132.300	124.740	119.880	376.920	0.110		
0.120	157.500	114.660	81.900	354.060	0.120	132.300	124.740	117.180	374.220	0.120		
0.130	157.500	114.660	81.900	354.060	0.130	132.300	124.740	119.880	376.920	0.130		
0.140	157.500	114.660	81.900	354.060	0.140	132.300	124.740	117.180	374.220	0.140		
0.150	157.500	114.660	84.420	356.580	0.150	132.300	124.740	117.180	374.220	0.150		
0.160	157.500	114.660	81.900	354.060	0.160	132.300	124.740	117.180	374.220	0.160		
0.170	157.500	114.660	84.420	356.580	0.170	132.300	124.740	117.180	374.220	0.170		
