C:\Users\Public\Documents\Novel Studio\load_data\2025-12-11\9\loadapp_2025-12-11_15-21-52-000.load
Comment s9vw
	PRW261-L::heel	PRW261-L::mid	PRW261-L::front	PRW261-L		PRW260-R::front	PRW260-R::mid	PRW260-R::heel	PRW260-R		Notes	
Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	Force[N]	Force[N]	Force[N]	Force[N]	Time[secs]	
0.000	179.360	109.440	136.800	425.600	0.000	124.740	149.940	49.770	324.450	0.000		
0.010	174.800	109.440	136.800	421.040	0.010	124.740	149.940	54.810	329.490	0.010		
0.020	169.480	107.160	134.520	411.160	0.020	122.220	147.420	59.850	329.490	0.020		
0.030	167.200	104.880	132.240	404.320	0.030	119.700	149.940	67.410	337.050	0.030		
0.040	167.200	104.880	129.960	402.040	0.040	122.220	152.460	74.970	349.650	0.040		
0.050	164.920	104.880	126.920	396.720	0.050	122.220	152.460	79.380	354.060	0.050		
0.060	161.880	101.840	129.960	393.680	0.060	122.220	154.980	81.900	359.100	0.060		
0.070	159.600	101.840	126.920	388.360	0.070	122.220	154.980	84.420	361.620	0.070		
0.080	154.280	99.560	126.920	380.760	0.080	124.740	157.500	86.940	369.180	0.080		
0.090	152.000	99.560	126.920	378.480	0.090	124.740	157.500	86.940	369.180	0.090		
0.100	149.720	99.560	124.640	373.920	0.100	124.740	157.500	89.460	371.700	0.100		
0.110	147.500	99.710	124.490	371.700	0.110	127.260	157.500	89.460	374.220	0.110		
0.120	144.550	99.710	124.490	368.750	0.120	127.260	157.500	89.460	374.220	0.120		
0.130	142.190	99.710	119.770	361.670	0.130	124.740	154.980	91.980	371.700	0.130		
0.140	142.190	102.070	122.130	366.390	0.140	127.260	154.980	91.980	374.220	0.140		
0.150	139.830	102.070	119.770	361.670	0.150	124.620	155.000	92.380	372.000	0.150		
0.160	139.830	102.070	122.130	364.030	0.160	127.100	151.900	94.860	373.860	0.160		
0.170	137.470	104.430	119.770	361.670	0.170	127.100	151.900	94.860	373.860	0.170		
0.180	137.470	104.430	119.770	361.670	0.180	127.100	149.420	97.340	373.860	0.180		
0.190	134.520	104.430	119.770	358.720	0.190	127.100	146.940	97.340	371.380	0.190		
0.200	134.520	107.380	122.130	364.030	0.200	127.100	146.940	99.820	373.860	0.200		
0.210	134.520	109.740	119.770	364.030	0.210	127.100	146.940	99.820	373.860	0.210		
0.220	134.520	109.740	119.770	364.030	0.220	127.100	144.460	102.300	373.860	0.220		
0.230	134.520	109.740	119.770	364.030	0.230	129.580	141.980	102.300	373.860	0.230		
0.240	134.520	112.100	119.770	366.390	0.240	129.580	141.980	102.300	373.860	0.240		
0.250	134.520	112.100	119.770	366.390	0.250	129.580	139.500	102.300	371.380	0.250		
0.260	135.000	114.480	117.180	366.660	0.260	132.060	139.500	102.300	373.860	0.260		
0.270	135.000	114.480	117.180	366.660	0.270	132.060	139.500	102.300	373.860	0.270		
0.280	132.300	117.180	117.180	366.660	0.280	132.060	139.500	102.300	373.860	0.280		
0.290	132.300	117.180	114.480	363.960	0.290	132.060	137.020	99.820	368.900	0.290		
0.300	132.300	119.880	114.480	366.660	0.300	135.000	135.000	99.600	369.600	0.300		
0.310	132.300	119.880	114.480	366.660	0.310	137.400	135.000	99.600	372.000	0.310		
0.320	129.600	119.880	112.320	361.800	0.320	135.000	132.000	97.200	364.200	0.320		
0.330	129.600	122.040	112.320	363.960	0.330	137.400	132.000	97.200	366.600	0.330		
0.340	129.600	122.040	109.620	361.260	0.340	137.400	129.600	94.800	361.800	0.340		
0.350	127.440	122.040	107.460	356.940	0.350	139.800	129.600	94.800	364.200	0.350		
0.360	127.440	122.040	109.620	359.100	0.360	139.800	127.200	94.800	361.800	0.360		
0.370	127.440	124.740	109.620	361.800	0.370	142.200	127.200	94.800	364.200	0.370		
0.380	127.440	124.740	109.620	361.800	0.380	142.200	127.200	92.400	361.800	0.380		
0.390	127.440	124.740	109.620	361.800	0.390	142.200	127.200	92.400	361.800	0.390		
