timestamp                        , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
1001.823                         ,     11, -39.4437, 1.7216, -1.3119
1001.837                         ,     11, -39.4436, 1.7216, -1.3119
1001.845                         ,     11, -39.4436, 1.7217, -1.3120
1001.854                         ,     11, -39.4434, 1.7216, -1.3120
1001.863                         ,     11, -39.4433, 1.7216, -1.3120
1001.875                         ,     11, -39.4432, 1.7216, -1.3121
1001.886                         ,     11, -39.4431, 1.7216, -1.3122
1001.897                         ,     11, -39.4431, 1.7216, -1.3122
1001.916                         ,     11, -39.4430, 1.7215, -1.3123
1001.924                         ,     11, -39.4430, 1.7215, -1.3123
1001.932                         ,     11, -39.4429, 1.7216, -1.3124
1001.941                         ,     11, -39.4429, 1.7215, -1.3125
1001.953                         ,     11, -39.4428, 1.7215, -1.3126
1001.964                         ,     11, -39.4428, 1.7215, -1.3127
1001.975                         ,     11, -39.4427, 1.7215, -1.3128
1002.003                         ,     11, -39.4426, 1.7215, -1.3130
1002.013                         ,     11, -39.4425, 1.7214, -1.3132
1002.021                         ,     11, -39.4425, 1.7214, -1.3133
1002.031                         ,     11, -39.4425, 1.7213, -1.3133
1002.042                         ,     11, -39.4425, 1.7213, -1.3134
1002.053                         ,     11, -39.4424, 1.7212, -1.3134
1002.064                         ,     11, -39.4424, 1.7212, -1.3134
1002.075                         ,     11, -39.4424, 1.7212, -1.3135
1002.086                         ,     11, -39.4423, 1.7211, -1.3135
1002.097                         ,     11, -39.4423, 1.7211, -1.3136
1002.108                         ,     11, -39.4423, 1.7211, -1.3135
1002.119                         ,     11, -39.4423, 1.7210, -1.3135
1002.130                         ,     11, -39.4422, 1.7210, -1.3135
1002.141                         ,     11, -39.4422, 1.7209, -1.3135
1002.152                         ,     11, -39.4422, 1.7209, -1.3135
1002.164                         ,     11, -39.4422, 1.7209, -1.3135
1002.175                         ,     11, -39.4422, 1.7209, -1.3133
1002.186                         ,     11, -39.4421, 1.7209, -1.3132
1002.197                         ,     11, -39.4421, 1.7209, -1.3131
1002.208                         ,     11, -39.4421, 1.7209, -1.3130
1002.219                         ,     11, -39.4421, 1.7208, -1.3128
1002.230                         ,     11, -39.4421, 1.7208, -1.3127
1002.241                         ,     11, -39.4421, 1.7208, -1.3125
1002.252                         ,     11, -39.4421, 1.7207, -1.3122
1002.264                         ,     11, -39.4420, 1.7207, -1.3120
