timestamp               , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
860.801                 ,     11, -39.7584, 1.7386, -1.0894
860.908                 ,     11, -39.7567, 1.7387, -1.0897
860.932                 ,     11, -39.7561, 1.7387, -1.0899
860.948                 ,     11, -39.7558, 1.7388, -1.0901
860.976                 ,     11, -39.7553, 1.7390, -1.0902
860.994                 ,     11, -39.7552, 1.7390, -1.0903
861.009                 ,     11, -39.7548, 1.7392, -1.0904
861.024                 ,     11, -39.7546, 1.7392, -1.0904
861.041                 ,     11, -39.7542, 1.7393, -1.0906
861.056                 ,     11, -39.7540, 1.7393, -1.0907
861.071                 ,     11, -39.7535, 1.7393, -1.0908
861.086                 ,     11, -39.7533, 1.7393, -1.0907
861.107                 ,     11, -39.7533, 1.7393, -1.0907
861.122                 ,     11, -39.7529, 1.7393, -1.0908
861.137                 ,     11, -39.7528, 1.7393, -1.0909
861.152                 ,     11, -39.7525, 1.7393, -1.0910
861.168                 ,     11, -39.7524, 1.7392, -1.0911
861.184                 ,     11, -39.7522, 1.7391, -1.0911
861.200                 ,     11, -39.7520, 1.7390, -1.0912
861.216                 ,     11, -39.7518, 1.7388, -1.0912
861.232                 ,     11, -39.7517, 1.7388, -1.0913
861.248                 ,     11, -39.7515, 1.7386, -1.0914
861.265                 ,     11, -39.7514, 1.7384, -1.0916
861.281                 ,     11, -39.7512, 1.7382, -1.0918
861.298                 ,     11, -39.7511, 1.7381, -1.0921
861.316                 ,     11, -39.7509, 1.7378, -1.0924
861.338                 ,     11, -39.7507, 1.7375, -1.0927
861.360                 ,     11, -39.7504, 1.7374, -1.0932
861.383                 ,     11, -39.7499, 1.7374, -1.0937
861.404                 ,     11, -39.7493, 1.7373, -1.0944
861.427                 ,     11, -39.7486, 1.7371, -1.0952
861.449                 ,     11, -39.7477, 1.7365, -1.0960
861.470                 ,     11, -39.7468, 1.7357, -1.0970
861.492                 ,     11, -39.7455, 1.7352, -1.0981
861.515                 ,     11, -39.7441, 1.7346, -1.0995
861.539                 ,     11, -39.7425, 1.7343, -1.1012
861.563                 ,     11, -39.7408, 1.7342, -1.1028
861.583                 ,     11, -39.7390, 1.7341, -1.1044
861.611                 ,     11, -39.7370, 1.7338, -1.1062
861.633                 ,     11, -39.7351, 1.7334, -1.1079
861.648                 ,     11, -39.7331, 1.7331, -1.1096
