timestamp               , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
200.938                 ,     11, -39.6777, 1.8801, -1.3107
201.107                 ,     11, -39.6754, 1.8796, -1.3120
201.155                 ,     11, -39.6745, 1.8795, -1.3126
201.180                 ,     11, -39.6739, 1.8793, -1.3128
201.204                 ,     11, -39.6735, 1.8792, -1.3129
201.226                 ,     11, -39.6732, 1.8792, -1.3130
201.249                 ,     11, -39.6729, 1.8791, -1.3130
201.272                 ,     11, -39.6726, 1.8789, -1.3130
201.297                 ,     11, -39.6723, 1.8789, -1.3131
201.320                 ,     11, -39.6719, 1.8788, -1.3131
201.343                 ,     11, -39.6717, 1.8786, -1.3129
201.366                 ,     11, -39.6712, 1.8786, -1.3128
201.394                 ,     11, -39.6710, 1.8785, -1.3126
201.417                 ,     11, -39.6708, 1.8784, -1.3125
201.440                 ,     11, -39.6706, 1.8785, -1.3124
201.465                 ,     11, -39.6703, 1.8785, -1.3123
201.488                 ,     11, -39.6699, 1.8785, -1.3122
201.510                 ,     11, -39.6695, 1.8786, -1.3122
201.535                 ,     11, -39.6692, 1.8785, -1.3122
201.558                 ,     11, -39.6689, 1.8786, -1.3121
201.582                 ,     11, -39.6684, 1.8785, -1.3121
201.605                 ,     11, -39.6683, 1.8784, -1.3120
201.629                 ,     11, -39.6679, 1.8782, -1.3121
201.651                 ,     11, -39.6676, 1.8782, -1.3121
201.675                 ,     11, -39.6674, 1.8781, -1.3122
201.699                 ,     11, -39.6672, 1.8779, -1.3122
201.723                 ,     11, -39.6670, 1.8778, -1.3124
201.745                 ,     11, -39.6668, 1.8777, -1.3124
201.769                 ,     11, -39.6668, 1.8776, -1.3125
201.794                 ,     11, -39.6665, 1.8776, -1.3125
201.822                 ,     11, -39.6663, 1.8776, -1.3126
201.846                 ,     11, -39.6662, 1.8776, -1.3128
201.870                 ,     11, -39.6661, 1.8776, -1.3130
201.894                 ,     11, -39.6659, 1.8777, -1.3132
201.915                 ,     11, -39.6659, 1.8777, -1.3132
201.938                 ,     11, -39.6657, 1.8777, -1.3134
201.962                 ,     11, -39.6655, 1.8777, -1.3136
201.986                 ,     11, -39.6654, 1.8777, -1.3137
202.009                 ,     11, -39.6653, 1.8776, -1.3138
202.033                 ,     11, -39.6653, 1.8775, -1.3139
202.056                 ,     11, -39.6651, 1.8773, -1.3140
