timestamp                        , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
893.154                          ,     11, -39.7290, 1.8581, -1.3383
893.201                          ,     11, -39.7287, 1.8588, -1.3386
893.219                          ,     11, -39.7285, 1.8588, -1.3385
893.236                          ,     11, -39.7283, 1.8588, -1.3386
893.252                          ,     11, -39.7282, 1.8589, -1.3387
893.269                          ,     11, -39.7281, 1.8589, -1.3388
893.281                          ,     11, -39.7279, 1.8590, -1.3389
893.293                          ,     11, -39.7277, 1.8591, -1.3391
893.314                          ,     11, -39.7276, 1.8590, -1.3391
893.329                          ,     11, -39.7273, 1.8590, -1.3392
893.340                          ,     11, -39.7272, 1.8590, -1.3392
893.355                          ,     11, -39.7270, 1.8589, -1.3391
893.368                          ,     11, -39.7269, 1.8589, -1.3391
893.381                          ,     11, -39.7266, 1.8590, -1.3392
893.394                          ,     11, -39.7262, 1.8590, -1.3392
893.406                          ,     11, -39.7260, 1.8590, -1.3391
893.419                          ,     11, -39.7256, 1.8591, -1.3388
893.433                          ,     11, -39.7251, 1.8593, -1.3386
893.446                          ,     11, -39.7246, 1.8594, -1.3382
893.459                          ,     11, -39.7241, 1.8596, -1.3378
893.472                          ,     11, -39.7229, 1.8599, -1.3368
893.485                          ,     11, -39.7219, 1.8603, -1.3359
893.499                          ,     11, -39.7208, 1.8607, -1.3348
893.512                          ,     11, -39.7195, 1.8612, -1.3337
893.525                          ,     11, -39.7182, 1.8617, -1.3323
893.538                          ,     11, -39.7157, 1.8626, -1.3299
893.550                          ,     11, -39.7142, 1.8632, -1.3285
893.565                          ,     11, -39.7127, 1.8636, -1.3268
893.580                          ,     11, -39.7115, 1.8639, -1.3250
893.593                          ,     11, -39.7090, 1.8646, -1.3216
893.605                          ,     11, -39.7079, 1.8648, -1.3195
893.620                          ,     11, -39.7069, 1.8650, -1.3173
893.633                          ,     11, -39.7060, 1.8651, -1.3151
893.647                          ,     11, -39.7052, 1.8652, -1.3129
893.660                          ,     11, -39.7034, 1.8655, -1.3090
893.672                          ,     11, -39.7028, 1.8657, -1.3070
893.687                          ,     11, -39.7024, 1.8656, -1.3049
893.700                          ,     11, -39.7020, 1.8657, -1.3029
893.713                          ,     11, -39.7017, 1.8657, -1.3009
893.726                          ,     11, -39.7016, 1.8658, -1.2992
893.738                          ,     11, -39.7007, 1.8659, -1.2956
