timestamp              , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
717.347                ,     11, -39.6987, 1.4431, -1.1218
717.500                ,     11, -39.6965, 1.4429, -1.1210
717.551                ,     11, -39.6951, 1.4433, -1.1211
717.572                ,     11, -39.6944, 1.4436, -1.1214
717.593                ,     11, -39.6940, 1.4438, -1.1216
717.615                ,     11, -39.6930, 1.4443, -1.1220
717.639                ,     11, -39.6923, 1.4444, -1.1224
717.660                ,     11, -39.6918, 1.4444, -1.1227
717.685                ,     11, -39.6905, 1.4449, -1.1235
717.709                ,     11, -39.6895, 1.4450, -1.1243
717.731                ,     11, -39.6882, 1.4452, -1.1252
717.753                ,     11, -39.6869, 1.4452, -1.1263
717.774                ,     11, -39.6855, 1.4451, -1.1274
717.796                ,     11, -39.6839, 1.4449, -1.1287
717.816                ,     11, -39.6830, 1.4446, -1.1295
717.842                ,     11, -39.6809, 1.4438, -1.1317
717.865                ,     11, -39.6791, 1.4434, -1.1332
717.888                ,     11, -39.6773, 1.4429, -1.1349
717.909                ,     11, -39.6754, 1.4420, -1.1366
717.931                ,     11, -39.6735, 1.4404, -1.1383
717.952                ,     11, -39.6714, 1.4379, -1.1402
717.974                ,     11, -39.6692, 1.4345, -1.1422
717.995                ,     11, -39.6671, 1.4304, -1.1442
718.015                ,     11, -39.6661, 1.4271, -1.1454
718.038                ,     11, -39.6633, 1.4201, -1.1485
718.059                ,     11, -39.6626, 1.4181, -1.1493
718.082                ,     11, -39.6606, 1.4119, -1.1517
718.103                ,     11, -39.6601, 1.4092, -1.1521
718.124                ,     11, -39.6588, 1.4051, -1.1531
718.147                ,     11, -39.6579, 1.4026, -1.1537
718.171                ,     11, -39.6567, 1.4003, -1.1545
718.194                ,     11, -39.6561, 1.4025, -1.1541
718.216                ,     11, -39.6555, 1.4084, -1.1537
718.238                ,     11, -39.6553, 1.4146, -1.1530
718.258                ,     11, -39.6550, 1.4255, -1.1521
718.282                ,     11, -39.6546, 1.4395, -1.1509
718.302                ,     11, -39.6539, 1.4552, -1.1494
718.325                ,     11, -39.6526, 1.4728, -1.1477
718.352                ,     11, -39.6501, 1.4976, -1.1453
718.374                ,     11, -39.6474, 1.5117, -1.1437
718.397                ,     11, -39.6437, 1.5213, -1.1424
718.419                ,     11, -39.6396, 1.5255, -1.1415
718.442                ,     11, -39.6374, 1.5213, -1.1417
