timestamp, trial, HMD_x, HMD_y,HMD_z

# --- Trial 1 start ---
287.226,1,-39.7091,1.4396,-1.0326
287.264,1,-39.7092,1.4396,-1.0327
287.278,1,-39.7093,1.4396,-1.0327
287.288,1,-39.7094,1.4396,-1.0328
287.302,1,-39.7094,1.4395,-1.0331
287.318,1,-39.7095,1.4394,-1.0331
287.329,1,-39.7095,1.4394,-1.0332
287.349,1,-39.7094,1.4393,-1.0332
287.366,1,-39.7095,1.4393,-1.0333
287.383,1,-39.7096,1.4393,-1.0336
287.396,1,-39.7096,1.4392,-1.0336
287.407,1,-39.7097,1.4392,-1.0337
287.418,1,-39.7097,1.4392,-1.0337
287.428,1,-39.7098,1.4392,-1.0337
287.439,1,-39.7099,1.4392,-1.0337
287.453,1,-39.7100,1.4393,-1.0337
287.465,1,-39.7101,1.4393,-1.0337
287.476,1,-39.7101,1.4394,-1.0337
287.491,1,-39.7102,1.4394,-1.0336
287.503,1,-39.7103,1.4394,-1.0336
287.514,1,-39.7104,1.4394,-1.0336
287.525,1,-39.7104,1.4393,-1.0336
287.537,1,-39.7105,1.4393,-1.0336
287.547,1,-39.7106,1.4392,-1.0335
287.558,1,-39.7108,1.4392,-1.0333
287.569,1,-39.7110,1.4390,-1.0333
287.580,1,-39.7111,1.4388,-1.0331
287.591,1,-39.7112,1.4387,-1.0332
287.602,1,-39.7113,1.4385,-1.0332
287.613,1,-39.7113,1.4384,-1.0332
287.624,1,-39.7113,1.4381,-1.0334
287.635,1,-39.7114,1.4380,-1.0335
287.646,1,-39.7114,1.4380,-1.0333
287.658,1,-39.7113,1.4381,-1.0333
287.669,1,-39.7111,1.4382,-1.0334
287.680,1,-39.7109,1.4382,-1.0336
287.691,1,-39.7106,1.4383,-1.0337
287.703,1,-39.7102,1.4380,-1.0342
287.717,1,-39.7096,1.4377,-1.0346
287.729,1,-39.7090,1.4374,-1.0351
287.741,1,-39.7083,1.4371,-1.0355
287.752,1,-39.7076,1.4369,-1.0359
287.763,1,-39.7068,1.4367,-1.0364
287.774,1,-39.7054,1.4363,-1.0376
287.785,1,-39.7046,1.4360,-1.0382
287.802,1,-39.7038,1.4356,-1.0389
287.817,1,-39.7029,1.4353,-1.0396
287.828,1,-39.7021,1.4350,-1.0402
287.841,1,-39.7013,1.4348,-1.0410
287.851,1,-39.7005,1.4346,-1.0415
