timestamp               , trial, HMD_x   , HMD_y , HMD_z

# --- Trial 1 start ---
924.743                 ,     11, -39.4333, 1.6682, -1.4422
924.783                 ,     11, -39.4336, 1.6686, -1.4422
924.798                 ,     11, -39.4339, 1.6688, -1.4422
924.810                 ,     11, -39.4342, 1.6689, -1.4421
924.839                 ,     11, -39.4344, 1.6689, -1.4422
924.853                 ,     11, -39.4348, 1.6690, -1.4421
924.864                 ,     11, -39.4349, 1.6690, -1.4421
924.876                 ,     11, -39.4350, 1.6690, -1.4421
924.888                 ,     11, -39.4351, 1.6689, -1.4420
924.899                 ,     11, -39.4353, 1.6688, -1.4420
924.911                 ,     11, -39.4357, 1.6687, -1.4419
924.922                 ,     11, -39.4358, 1.6686, -1.4419
924.943                 ,     11, -39.4359, 1.6685, -1.4418
924.958                 ,     11, -39.4361, 1.6685, -1.4416
924.970                 ,     11, -39.4362, 1.6686, -1.4415
924.982                 ,     11, -39.4363, 1.6687, -1.4414
924.995                 ,     11, -39.4363, 1.6688, -1.4412
925.007                 ,     11, -39.4364, 1.6688, -1.4411
925.020                 ,     11, -39.4365, 1.6689, -1.4409
925.032                 ,     11, -39.4366, 1.6690, -1.4407
925.044                 ,     11, -39.4366, 1.6690, -1.4406
925.056                 ,     11, -39.4369, 1.6690, -1.4403
925.068                 ,     11, -39.4370, 1.6690, -1.4401
925.083                 ,     11, -39.4372, 1.6689, -1.4400
925.095                 ,     11, -39.4373, 1.6688, -1.4397
925.108                 ,     11, -39.4374, 1.6687, -1.4394
925.121                 ,     11, -39.4375, 1.6687, -1.4392
925.133                 ,     11, -39.4376, 1.6686, -1.4389
925.146                 ,     11, -39.4379, 1.6684, -1.4385
925.157                 ,     11, -39.4382, 1.6684, -1.4383
925.172                 ,     11, -39.4384, 1.6684, -1.4381
925.185                 ,     11, -39.4386, 1.6683, -1.4378
925.197                 ,     11, -39.4387, 1.6683, -1.4375
925.210                 ,     11, -39.4389, 1.6683, -1.4373
925.223                 ,     11, -39.4391, 1.6684, -1.4370
925.235                 ,     11, -39.4394, 1.6684, -1.4364
925.247                 ,     11, -39.4396, 1.6684, -1.4362
925.262                 ,     11, -39.4399, 1.6684, -1.4359
925.274                 ,     11, -39.4402, 1.6684, -1.4356
925.286                 ,     11, -39.4405, 1.6684, -1.4354
925.299                 ,     11, -39.4407, 1.6684, -1.4351
