timestamp, trial, HMD_x, HMD_y,HMD_z

# --- Trial 1 start ---
872.860,1,-39.5102,1.6354,-1.2894
872.944,1,-39.5118,1.6356,-1.2891
872.980,1,-39.5121,1.6357,-1.2889
872.995,1,-39.5123,1.6359,-1.2888
873.009,1,-39.5123,1.6359,-1.2889
873.022,1,-39.5126,1.6359,-1.2887
873.035,1,-39.5127,1.6359,-1.2888
873.049,1,-39.5129,1.6359,-1.2888
873.064,1,-39.5131,1.6359,-1.2886
873.078,1,-39.5133,1.6359,-1.2885
873.093,1,-39.5135,1.6358,-1.2883
873.108,1,-39.5136,1.6358,-1.2882
873.135,1,-39.5137,1.6358,-1.2882
873.157,1,-39.5139,1.6357,-1.2882
873.172,1,-39.5141,1.6357,-1.2881
873.196,1,-39.5142,1.6358,-1.2881
873.218,1,-39.5142,1.6357,-1.2882
873.239,1,-39.5143,1.6356,-1.2882
873.263,1,-39.5142,1.6357,-1.2883
873.290,1,-39.5142,1.6356,-1.2882
873.312,1,-39.5142,1.6354,-1.2883
873.329,1,-39.5143,1.6352,-1.2883
873.351,1,-39.5145,1.6351,-1.2883
873.373,1,-39.5147,1.6351,-1.2883
873.396,1,-39.5148,1.6351,-1.2883
873.419,1,-39.5149,1.6350,-1.2883
873.443,1,-39.5149,1.6349,-1.2885
873.464,1,-39.5151,1.6348,-1.2886
873.487,1,-39.5151,1.6349,-1.2887
873.510,1,-39.5154,1.6348,-1.2888
873.532,1,-39.5156,1.6347,-1.2888
873.555,1,-39.5156,1.6346,-1.2888
873.571,1,-39.5157,1.6345,-1.2888
873.585,1,-39.5158,1.6345,-1.2888
873.599,1,-39.5158,1.6345,-1.2889
873.613,1,-39.5157,1.6345,-1.2889
873.627,1,-39.5157,1.6345,-1.2889
873.641,1,-39.5157,1.6345,-1.2889
873.656,1,-39.5157,1.6345,-1.2889
873.670,1,-39.5157,1.6345,-1.2889
873.684,1,-39.5158,1.6345,-1.2889
873.699,1,-39.5157,1.6345,-1.2889
873.712,1,-39.5157,1.6345,-1.2888
873.726,1,-39.5158,1.6345,-1.2888
873.740,1,-39.5158,1.6345,-1.2888
873.754,1,-39.5159,1.6345,-1.2887
873.768,1,-39.5160,1.6345,-1.2886
873.782,1,-39.5162,1.6344,-1.2885
873.796,1,-39.5164,1.6344,-1.2883
873.810,1,-39.5165,1.6343,-1.2882
