timestamp, trial, HMD_x, HMD_y,HMD_z

# --- Trial 1 start ---
238.594,1,-39.2210,1.7306,-1.5856
238.608,1,-39.2210,1.7307,-1.5855
238.619,1,-39.2209,1.7307,-1.5854
238.632,1,-39.2206,1.7307,-1.5853
238.641,1,-39.2205,1.7308,-1.5852
238.654,1,-39.2204,1.7308,-1.5852
238.672,1,-39.2201,1.7307,-1.5851
238.687,1,-39.2199,1.7308,-1.5850
238.696,1,-39.2198,1.7307,-1.5849
238.710,1,-39.2197,1.7306,-1.5849
238.721,1,-39.2196,1.7306,-1.5848
238.732,1,-39.2195,1.7306,-1.5847
238.743,1,-39.2194,1.7306,-1.5847
238.754,1,-39.2193,1.7306,-1.5846
238.765,1,-39.2192,1.7306,-1.5846
238.777,1,-39.2190,1.7306,-1.5845
238.788,1,-39.2189,1.7306,-1.5845
238.799,1,-39.2188,1.7306,-1.5845
238.810,1,-39.2186,1.7305,-1.5845
238.821,1,-39.2185,1.7306,-1.5845
238.832,1,-39.2184,1.7307,-1.5845
238.843,1,-39.2182,1.7307,-1.5845
238.854,1,-39.2180,1.7308,-1.5845
238.865,1,-39.2179,1.7309,-1.5846
238.877,1,-39.2177,1.7310,-1.5846
238.887,1,-39.2176,1.7309,-1.5846
238.899,1,-39.2175,1.7309,-1.5846
238.910,1,-39.2173,1.7309,-1.5846
238.921,1,-39.2172,1.7308,-1.5846
238.932,1,-39.2171,1.7307,-1.5846
238.943,1,-39.2169,1.7306,-1.5847
238.954,1,-39.2168,1.7305,-1.5847
238.965,1,-39.2167,1.7304,-1.5847
238.976,1,-39.2166,1.7304,-1.5847
238.987,1,-39.2164,1.7303,-1.5847
238.999,1,-39.2163,1.7303,-1.5847
239.009,1,-39.2162,1.7303,-1.5847
239.020,1,-39.2161,1.7303,-1.5847
239.032,1,-39.2160,1.7304,-1.5847
239.043,1,-39.2159,1.7304,-1.5848
239.054,1,-39.2157,1.7303,-1.5848
239.066,1,-39.2156,1.7303,-1.5848
239.077,1,-39.2156,1.7303,-1.5848
239.088,1,-39.2156,1.7304,-1.5849
239.100,1,-39.2155,1.7304,-1.5849
239.111,1,-39.2154,1.7303,-1.5849
239.123,1,-39.2154,1.7303,-1.5849
239.134,1,-39.2153,1.7303,-1.5849
239.144,1,-39.2152,1.7303,-1.5850
239.155,1,-39.2151,1.7303,-1.5850
