timestamp, HMD_x, HMD_y,HMD_z
756.070,10,-39.6137,1.8447,-1.0542
756.107,10,-39.6130,1.8432,-1.0547
756.121,10,-39.6129,1.8417,-1.0551
756.132,10,-39.6128,1.8408,-1.0553
756.144,10,-39.6129,1.8397,-1.0556
756.164,10,-39.6126,1.8385,-1.0559
756.176,10,-39.6122,1.8364,-1.0565
756.186,10,-39.6121,1.8353,-1.0568
756.200,10,-39.6116,1.8341,-1.0570
756.212,10,-39.6113,1.8330,-1.0572
756.231,10,-39.6108,1.8312,-1.0575
756.242,10,-39.6105,1.8304,-1.0576
756.256,10,-39.6102,1.8298,-1.0577
756.267,10,-39.6101,1.8291,-1.0579
756.278,10,-39.6099,1.8285,-1.0579
756.294,10,-39.6097,1.8280,-1.0580
756.311,10,-39.6091,1.8272,-1.0581
756.322,10,-39.6088,1.8268,-1.0582
756.334,10,-39.6086,1.8264,-1.0582
756.345,10,-39.6083,1.8262,-1.0581
756.356,10,-39.6081,1.8260,-1.0581
756.367,10,-39.6080,1.8258,-1.0581
756.378,10,-39.6078,1.8257,-1.0581
756.389,10,-39.6077,1.8256,-1.0580
756.400,10,-39.6075,1.8254,-1.0580
756.411,10,-39.6073,1.8253,-1.0579
756.423,10,-39.6070,1.8251,-1.0581
756.434,10,-39.6068,1.8250,-1.0580
756.445,10,-39.6065,1.8249,-1.0579
756.456,10,-39.6063,1.8249,-1.0578
756.467,10,-39.6060,1.8248,-1.0578
756.478,10,-39.6058,1.8247,-1.0577
756.489,10,-39.6054,1.8247,-1.0577
756.500,10,-39.6050,1.8247,-1.0578
756.511,10,-39.6046,1.8247,-1.0578
756.522,10,-39.6040,1.8248,-1.0578
756.532,10,-39.6036,1.8248,-1.0578
756.544,10,-39.6031,1.8249,-1.0579
756.555,10,-39.6025,1.8249,-1.0580
756.567,10,-39.6020,1.8251,-1.0581
756.577,10,-39.6012,1.8250,-1.0582
756.589,10,-39.6004,1.8251,-1.0584
756.600,10,-39.5997,1.8250,-1.0586
756.611,10,-39.5987,1.8251,-1.0589
756.622,10,-39.5976,1.8251,-1.0591
756.633,10,-39.5964,1.8250,-1.0594
756.644,10,-39.5954,1.8250,-1.0597
756.655,10,-39.5940,1.8248,-1.0602
756.666,10,-39.5925,1.8244,-1.0607
756.678,10,-39.5909,1.8239,-1.0613
756.689,10,-39.5893,1.8233,-1.0619
756.700,10,-39.5876,1.8224,-1.0626
756.711,10,-39.5858,1.8214,-1.0634
756.722,10,-39.5840,1.8203,-1.0641
756.733,10,-39.5819,1.8187,-1.0649
756.745,10,-39.5797,1.8167,-1.0658
756.755,10,-39.5776,1.8145,-1.0667
756.767,10,-39.5755,1.8117,-1.0678
756.778,10,-39.5737,1.8083,-1.0687
756.789,10,-39.5721,1.8040,-1.0695
756.800,10,-39.5706,1.7999,-1.0703
756.811,10,-39.5692,1.7954,-1.0711
756.822,10,-39.5679,1.7908,-1.0718
756.834,10,-39.5668,1.7859,-1.0726
756.844,10,-39.5655,1.7816,-1.0734
756.855,10,-39.5641,1.7786,-1.0741
756.867,10,-39.5628,1.7769,-1.0748
756.878,10,-39.5615,1.7767,-1.0754
756.888,10,-39.5604,1.7770,-1.0758
756.900,10,-39.5592,1.7776,-1.0762
756.911,10,-39.5579,1.7792,-1.0765
756.922,10,-39.5566,1.7817,-1.0768
756.933,10,-39.5553,1.7848,-1.0771
756.945,10,-39.5539,1.7886,-1.0772
756.956,10,-39.5527,1.7926,-1.0771
756.967,10,-39.5514,1.7966,-1.0771
756.978,10,-39.5501,1.8002,-1.0771
756.990,10,-39.5487,1.8037,-1.0770
757.000,10,-39.5473,1.8065,-1.0770
757.012,10,-39.5460,1.8087,-1.0769
757.023,10,-39.5446,1.8104,-1.0769
757.034,10,-39.5433,1.8115,-1.0768
757.045,10,-39.5419,1.8119,-1.0768
757.057,10,-39.5405,1.8120,-1.0768
757.068,10,-39.5391,1.8112,-1.0769
757.079,10,-39.5377,1.8104,-1.0771
757.090,10,-39.5362,1.8091,-1.0772
757.101,10,-39.5346,1.8081,-1.0774
757.113,10,-39.5329,1.8069,-1.0775
757.124,10,-39.5309,1.8058,-1.0778
757.135,10,-39.5289,1.8047,-1.0779
757.147,10,-39.5266,1.8036,-1.0782
757.160,10,-39.5245,1.8025,-1.0783
757.171,10,-39.5222,1.8014,-1.0785
757.183,10,-39.5199,1.8003,-1.0787
757.195,10,-39.5176,1.7992,-1.0788
757.206,10,-39.5154,1.7984,-1.0791
757.218,10,-39.5130,1.7976,-1.0794
757.229,10,-39.5107,1.7970,-1.0796
757.241,10,-39.5082,1.7964,-1.0798
757.252,10,-39.5059,1.7959,-1.0801
757.263,10,-39.5037,1.7953,-1.0803
757.273,10,-39.5012,1.7947,-1.0805
757.284,10,-39.4987,1.7940,-1.0807
757.295,10,-39.4961,1.7933,-1.0809
757.306,10,-39.4932,1.7928,-1.0810
757.318,10,-39.4901,1.7921,-1.0811
757.329,10,-39.4868,1.7916,-1.0811
757.340,10,-39.4832,1.7911,-1.0811
757.351,10,-39.4795,1.7905,-1.0811
757.365,10,-39.4754,1.7899,-1.0811
757.379,10,-39.4674,1.7887,-1.0811
757.390,10,-39.4632,1.7881,-1.0810
757.402,10,-39.4587,1.7873,-1.0809
757.413,10,-39.4540,1.7866,-1.0807
757.424,10,-39.4493,1.7857,-1.0806
757.437,10,-39.4442,1.7846,-1.0803
757.448,10,-39.4389,1.7836,-1.0801
757.460,10,-39.4334,1.7825,-1.0798
757.472,10,-39.4279,1.7814,-1.0794
757.484,10,-39.4221,1.7802,-1.0790
757.495,10,-39.4163,1.7789,-1.0785
757.507,10,-39.4103,1.7774,-1.0780
757.518,10,-39.4044,1.7760,-1.0774
757.529,10,-39.3982,1.7745,-1.0769
757.541,10,-39.3857,1.7715,-1.0757
757.552,10,-39.3792,1.7700,-1.0751
757.566,10,-39.3721,1.7681,-1.0743
757.578,10,-39.3652,1.7663,-1.0736
757.590,10,-39.3577,1.7643,-1.0727
757.600,10,-39.3503,1.7624,-1.0719
757.612,10,-39.3427,1.7604,-1.0711
757.623,10,-39.3352,1.7585,-1.0701
757.635,10,-39.3275,1.7566,-1.0692
757.646,10,-39.3194,1.7550,-1.0681
757.658,10,-39.3113,1.7536,-1.0670
757.671,10,-39.3032,1.7522,-1.0658
757.683,10,-39.2948,1.7507,-1.0647
757.695,10,-39.2863,1.7494,-1.0636
757.707,10,-39.2692,1.7468,-1.0613
757.730,10,-39.2506,1.7457,-1.0586
757.752,10,-39.2315,1.7456,-1.0559
757.763,10,-39.2215,1.7460,-1.0544
757.778,10,-39.2115,1.7467,-1.0530
757.789,10,-39.2015,1.7474,-1.0516
757.800,10,-39.1914,1.7483,-1.0502
757.811,10,-39.1814,1.7499,-1.0487
757.823,10,-39.1712,1.7518,-1.0472
757.834,10,-39.1616,1.7534,-1.0459
757.844,10,-39.1520,1.7549,-1.0446
757.856,10,-39.1423,1.7569,-1.0434
757.867,10,-39.1326,1.7591,-1.0421
757.878,10,-39.1228,1.7617,-1.0410
757.889,10,-39.1134,1.7642,-1.0399
757.900,10,-39.1040,1.7668,-1.0387
757.911,10,-39.0951,1.7693,-1.0379
757.922,10,-39.0858,1.7719,-1.0371
757.933,10,-39.0768,1.7745,-1.0364
757.944,10,-39.0682,1.7773,-1.0360
757.955,10,-39.0595,1.7799,-1.0356
757.966,10,-39.0517,1.7824,-1.0356
757.977,10,-39.0435,1.7849,-1.0357
757.988,10,-39.0352,1.7874,-1.0359
757.999,10,-39.0269,1.7898,-1.0362
758.010,10,-39.0189,1.7921,-1.0367
758.022,10,-39.0107,1.7944,-1.0373
758.033,10,-39.0026,1.7967,-1.0379
758.044,10,-38.9947,1.7989,-1.0387
758.055,10,-38.9866,1.8010,-1.0394
758.066,10,-38.9786,1.8029,-1.0404
758.077,10,-38.9704,1.8045,-1.0413
758.089,10,-38.9622,1.8059,-1.0425
758.100,10,-38.9540,1.8070,-1.0437
758.111,10,-38.9459,1.8079,-1.0450
758.122,10,-38.9375,1.8087,-1.0463
758.133,10,-38.9290,1.8092,-1.0477
758.144,10,-38.9206,1.8095,-1.0492
758.155,10,-38.9119,1.8093,-1.0507
758.167,10,-38.9031,1.8091,-1.0522
758.178,10,-38.8945,1.8086,-1.0537
758.189,10,-38.8860,1.8077,-1.0551
758.200,10,-38.8772,1.8068,-1.0567
758.212,10,-38.8684,1.8056,-1.0581
758.223,10,-38.8592,1.8042,-1.0596
758.234,10,-38.8500,1.8028,-1.0611
758.246,10,-38.8407,1.8011,-1.0627
758.257,10,-38.8313,1.7991,-1.0643
758.268,10,-38.8220,1.7971,-1.0658
758.279,10,-38.8125,1.7950,-1.0674
758.291,10,-38.8030,1.7926,-1.0689
758.303,10,-38.7933,1.7903,-1.0706
758.315,10,-38.7836,1.7879,-1.0722
758.327,10,-38.7735,1.7854,-1.0740
758.338,10,-38.7635,1.7830,-1.0757
758.350,10,-38.7534,1.7808,-1.0775
758.362,10,-38.7432,1.7787,-1.0795
758.373,10,-38.7329,1.7769,-1.0814
758.385,10,-38.7224,1.7752,-1.0834
758.396,10,-38.7118,1.7735,-1.0852
758.407,10,-38.7012,1.7722,-1.0872
758.420,10,-38.6800,1.7698,-1.0911
758.442,10,-38.6588,1.7690,-1.0952
758.463,10,-38.6373,1.7686,-1.0994
758.475,10,-38.6265,1.7691,-1.1015
758.490,10,-38.6159,1.7702,-1.1033
758.508,10,-38.5945,1.7713,-1.1071
758.530,10,-38.5732,1.7735,-1.1107
758.541,10,-38.5624,1.7753,-1.1124
758.555,10,-38.5514,1.7776,-1.1141
758.567,10,-38.5407,1.7796,-1.1158
758.578,10,-38.5300,1.7816,-1.1174
758.589,10,-38.5193,1.7835,-1.1189
758.601,10,-38.5087,1.7853,-1.1204
758.612,10,-38.4980,1.7871,-1.1219
758.623,10,-38.4871,1.7893,-1.1235
758.634,10,-38.4764,1.7914,-1.1248
758.646,10,-38.4654,1.7936,-1.1259
758.657,10,-38.4543,1.7958,-1.1271
758.667,10,-38.4432,1.7979,-1.1280
758.680,10,-38.4321,1.8000,-1.1289
758.692,10,-38.4213,1.8015,-1.1296
758.704,10,-38.4107,1.8029,-1.1304
758.716,10,-38.3999,1.8040,-1.1310
758.727,10,-38.3890,1.8050,-1.1317
758.738,10,-38.3783,1.8056,-1.1323
758.749,10,-38.3675,1.8063,-1.1329
758.760,10,-38.3567,1.8063,-1.1334
758.772,10,-38.3458,1.8064,-1.1340
758.784,10,-38.3349,1.8063,-1.1345
758.795,10,-38.3241,1.8059,-1.1350
758.806,10,-38.3132,1.8053,-1.1356
758.817,10,-38.3022,1.8048,-1.1362
758.828,10,-38.2910,1.8038,-1.1367
758.839,10,-38.2798,1.8029,-1.1372
758.852,10,-38.2574,1.8008,-1.1382
758.863,10,-38.2460,1.7993,-1.1388
758.877,10,-38.2346,1.7976,-1.1393
758.888,10,-38.2233,1.7959,-1.1399
758.900,10,-38.2118,1.7940,-1.1403
758.911,10,-38.2003,1.7923,-1.1407
758.922,10,-38.1887,1.7907,-1.1411
758.933,10,-38.1772,1.7890,-1.1414
758.944,10,-38.1656,1.7874,-1.1418
758.955,10,-38.1542,1.7856,-1.1421
758.967,10,-38.1426,1.7839,-1.1424
758.977,10,-38.1309,1.7824,-1.1426
758.988,10,-38.1192,1.7810,-1.1427
759.000,10,-38.1075,1.7799,-1.1429
759.011,10,-38.0958,1.7790,-1.1430
759.022,10,-38.0841,1.7783,-1.1431
759.033,10,-38.0724,1.7778,-1.1432
759.044,10,-38.0607,1.7774,-1.1432
759.054,10,-38.0488,1.7772,-1.1433
759.066,10,-38.0371,1.7774,-1.1432
759.077,10,-38.0252,1.7780,-1.1432
759.088,10,-38.0135,1.7789,-1.1433
759.098,10,-38.0018,1.7801,-1.1432
759.111,10,-37.9902,1.7812,-1.1433
759.122,10,-37.9787,1.7825,-1.1434
759.132,10,-37.9674,1.7841,-1.1435
759.143,10,-37.9563,1.7855,-1.1437
759.154,10,-37.9451,1.7869,-1.1441
759.165,10,-37.9341,1.7883,-1.1445
759.176,10,-37.9230,1.7901,-1.1450
759.188,10,-37.9122,1.7921,-1.1457
759.199,10,-37.9015,1.7941,-1.1464
759.210,10,-37.8908,1.7960,-1.1473
759.221,10,-37.8803,1.7980,-1.1481
759.232,10,-37.8700,1.8002,-1.1491
759.244,10,-37.8599,1.8024,-1.1503
759.254,10,-37.8496,1.8047,-1.1515
759.266,10,-37.8396,1.8071,-1.1529
759.277,10,-37.8297,1.8094,-1.1543
759.288,10,-37.8197,1.8116,-1.1557
759.299,10,-37.8098,1.8135,-1.1572
759.310,10,-37.7998,1.8152,-1.1588
759.322,10,-37.7899,1.8165,-1.1604
759.332,10,-37.7800,1.8179,-1.1621
759.344,10,-37.7702,1.8187,-1.1638
759.356,10,-37.7605,1.8192,-1.1656
759.368,10,-37.7508,1.8195,-1.1674
759.380,10,-37.7410,1.8192,-1.1694
759.394,10,-37.7310,1.8187,-1.1714
759.407,10,-37.7208,1.8182,-1.1735
759.418,10,-37.7105,1.8174,-1.1756
759.429,10,-37.7004,1.8164,-1.1778
759.441,10,-37.6903,1.8153,-1.1800
759.452,10,-37.6701,1.8133,-1.1843
759.463,10,-37.6599,1.8115,-1.1866
759.478,10,-37.6498,1.8094,-1.1889
759.489,10,-37.6395,1.8075,-1.1913
759.500,10,-37.6292,1.8055,-1.1937
759.511,10,-37.6189,1.8034,-1.1961
759.523,10,-37.6085,1.8010,-1.1986
759.534,10,-37.5982,1.7987,-1.2011
759.546,10,-37.5877,1.7963,-1.2037
759.557,10,-37.5772,1.7942,-1.2064
759.568,10,-37.5667,1.7921,-1.2090
759.580,10,-37.5562,1.7900,-1.2117
759.591,10,-37.5457,1.7882,-1.2143
759.602,10,-37.5353,1.7864,-1.2169
759.613,10,-37.5246,1.7848,-1.2196
759.624,10,-37.5142,1.7831,-1.2223
759.635,10,-37.5036,1.7817,-1.2249
759.646,10,-37.4931,1.7805,-1.2276
759.657,10,-37.4823,1.7796,-1.2303
759.669,10,-37.4716,1.7791,-1.2329
