timestamp, trial, HMD_x, HMD_y,HMD_z
# --- Trial 1 start ---
428.549,1,-39.3179,1.7829,-1.3119
428.682,1,-39.3188,1.7843,-1.3119
428.732,1,-39.3184,1.7847,-1.3118
428.751,1,-39.3183,1.7848,-1.3118
428.770,1,-39.3182,1.7850,-1.3116
428.789,1,-39.3180,1.7850,-1.3115
428.810,1,-39.3178,1.7849,-1.3114
428.834,1,-39.3174,1.7848,-1.3112
428.855,1,-39.3171,1.7846,-1.3111
428.878,1,-39.3169,1.7843,-1.3110
428.896,1,-39.3168,1.7842,-1.3110
428.917,1,-39.3165,1.7840,-1.3109
428.936,1,-39.3163,1.7839,-1.3108
428.953,1,-39.3161,1.7838,-1.3108
428.971,1,-39.3158,1.7835,-1.3108
428.989,1,-39.3156,1.7832,-1.3107
429.010,1,-39.3152,1.7829,-1.3107
429.032,1,-39.3148,1.7827,-1.3106
429.049,1,-39.3146,1.7824,-1.3106
429.073,1,-39.3143,1.7820,-1.3104
429.089,1,-39.3140,1.7819,-1.3102
429.108,1,-39.3137,1.7819,-1.3097
429.130,1,-39.3131,1.7823,-1.3089
429.153,1,-39.3122,1.7830,-1.3078
429.176,1,-39.3111,1.7835,-1.3065
429.210,1,-39.3092,1.7834,-1.3046
429.232,1,-39.3077,1.7830,-1.3027
429.249,1,-39.3059,1.7822,-1.3007
429.276,1,-39.3037,1.7808,-1.2983
429.299,1,-39.3014,1.7792,-1.2957
429.318,1,-39.2992,1.7772,-1.2930
429.344,1,-39.2967,1.7745,-1.2899
429.366,1,-39.2945,1.7721,-1.2868
429.383,1,-39.2924,1.7702,-1.2834
429.404,1,-39.2907,1.7692,-1.2795
429.422,1,-39.2886,1.7680,-1.2759
429.442,1,-39.2869,1.7672,-1.2718
429.465,1,-39.2848,1.7667,-1.2675
429.488,1,-39.2828,1.7654,-1.2635
429.509,1,-39.2808,1.7635,-1.2598
429.532,1,-39.2785,1.7621,-1.2569
429.554,1,-39.2758,1.7618,-1.2547
429.576,1,-39.2738,1.7605,-1.2531
429.598,1,-39.2722,1.7585,-1.2521
429.632,1,-39.2710,1.7577,-1.2523
429.655,1,-39.2696,1.7577,-1.2519
429.677,1,-39.2684,1.7576,-1.2519
429.700,1,-39.2673,1.7575,-1.2519
429.721,1,-39.2661,1.7579,-1.2523
429.738,1,-39.2648,1.7583,-1.2528
429.756,1,-39.2635,1.7586,-1.2534
429.776,1,-39.2623,1.7591,-1.2544
429.798,1,-39.2611,1.7595,-1.2557
429.821,1,-39.2599,1.7596,-1.2574
429.856,1,-39.2592,1.7595,-1.2598
429.878,1,-39.2586,1.7598,-1.2621
429.895,1,-39.2583,1.7603,-1.2644
429.912,1,-39.2584,1.7604,-1.2669
429.931,1,-39.2588,1.7609,-1.2701
429.953,1,-39.2536,1.7727,-1.2731
429.976,1,-39.2515,1.7810,-1.2764
429.998,1,-39.2503,1.7811,-1.2802
430.020,1,-39.2497,1.7783,-1.2840
430.042,1,-39.2485,1.7760,-1.2887
430.064,1,-39.2452,1.7772,-1.2927
430.099,1,-39.2403,1.7809,-1.2959
430.121,1,-39.2370,1.7808,-1.3000
430.139,1,-39.2342,1.7804,-1.3045
430.167,1,-39.2311,1.7810,-1.3085
430.188,1,-39.2277,1.7813,-1.3124
430.207,1,-39.2242,1.7811,-1.3165
430.225,1,-39.2203,1.7812,-1.3205
430.243,1,-39.2161,1.7807,-1.3244
430.264,1,-39.2117,1.7787,-1.3276
430.286,1,-39.2063,1.7807,-1.3303
430.309,1,-39.2003,1.7808,-1.3327
430.331,1,-39.1943,1.7786,-1.3349
430.353,1,-39.1880,1.7763,-1.3379
430.376,1,-39.1801,1.7760,-1.3406
430.398,1,-39.1724,1.7771,-1.3427
430.433,1,-39.1651,1.7748,-1.3442
430.455,1,-39.1577,1.7730,-1.3462
430.472,1,-39.1498,1.7724,-1.3477
430.500,1,-39.1405,1.7737,-1.3486
430.521,1,-39.1304,1.7745,-1.3496
430.538,1,-39.1201,1.7746,-1.3505
430.554,1,-39.1098,1.7740,-1.3513
430.576,1,-39.0985,1.7727,-1.3514
430.597,1,-39.0869,1.7709,-1.3509
430.620,1,-39.0739,1.7688,-1.3502
430.642,1,-39.0609,1.7661,-1.3490
430.664,1,-39.0473,1.7635,-1.3472
430.686,1,-39.0326,1.7616,-1.3451
430.709,1,-39.0173,1.7601,-1.3426
430.731,1,-39.0014,1.7583,-1.3388
430.753,1,-38.9857,1.7562,-1.3344
430.789,1,-38.9691,1.7546,-1.3283
430.810,1,-38.9534,1.7523,-1.3230
430.833,1,-38.9371,1.7515,-1.3176
430.854,1,-38.9201,1.7542,-1.3118
430.872,1,-38.9029,1.7574,-1.3060
430.890,1,-38.8857,1.7615,-1.2999
430.909,1,-38.8688,1.7670,-1.2939
430.931,1,-38.8525,1.7729,-1.2886
430.953,1,-38.8368,1.7761,-1.2841
430.976,1,-38.8211,1.7782,-1.2800
430.998,1,-38.8059,1.7804,-1.2767
431.020,1,-38.7902,1.7832,-1.2740
431.042,1,-38.7744,1.7865,-1.2718
431.065,1,-38.7583,1.7885,-1.2702
431.087,1,-38.7422,1.7904,-1.2697
