timestamp, HMD_x, HMD_y,HMD_z
153.119,10,-39.4860,1.8041,-1.3428
153.135,10,-39.4857,1.8040,-1.3426
153.145,10,-39.4853,1.8040,-1.3421
153.156,10,-39.4851,1.8041,-1.3418
153.170,10,-39.4849,1.8041,-1.3416
153.181,10,-39.4847,1.8042,-1.3414
153.193,10,-39.4844,1.8042,-1.3412
153.205,10,-39.4842,1.8043,-1.3409
153.224,10,-39.4835,1.8044,-1.3405
153.252,10,-39.4827,1.8046,-1.3401
153.270,10,-39.4820,1.8049,-1.3397
153.280,10,-39.4816,1.8050,-1.3394
153.292,10,-39.4813,1.8051,-1.3392
153.303,10,-39.4809,1.8052,-1.3389
153.314,10,-39.4805,1.8052,-1.3386
153.328,10,-39.4802,1.8052,-1.3383
153.347,10,-39.4795,1.8054,-1.3377
153.356,10,-39.4791,1.8055,-1.3373
153.370,10,-39.4787,1.8055,-1.3369
153.380,10,-39.4784,1.8056,-1.3365
153.392,10,-39.4780,1.8058,-1.3360
153.403,10,-39.4776,1.8060,-1.3355
153.414,10,-39.4771,1.8061,-1.3349
153.434,10,-39.4763,1.8065,-1.3335
153.456,10,-39.4755,1.8068,-1.3317
153.467,10,-39.4750,1.8069,-1.3308
153.480,10,-39.4744,1.8070,-1.3296
153.491,10,-39.4737,1.8072,-1.3286
153.502,10,-39.4730,1.8073,-1.3274
153.513,10,-39.4723,1.8074,-1.3261
153.525,10,-39.4716,1.8073,-1.3247
153.536,10,-39.4708,1.8071,-1.3234
153.557,10,-39.4692,1.8065,-1.3205
153.578,10,-39.4673,1.8057,-1.3176
153.589,10,-39.4663,1.8052,-1.3161
153.602,10,-39.4653,1.8046,-1.3146
153.613,10,-39.4643,1.8038,-1.3131
153.624,10,-39.4632,1.8029,-1.3117
153.635,10,-39.4622,1.8018,-1.3103
153.646,10,-39.4610,1.8008,-1.3090
153.658,10,-39.4599,1.8000,-1.3078
153.669,10,-39.4589,1.7992,-1.3067
153.679,10,-39.4577,1.7987,-1.3058
153.691,10,-39.4567,1.7983,-1.3050
153.702,10,-39.4555,1.7983,-1.3044
153.714,10,-39.4544,1.7983,-1.3039
153.725,10,-39.4532,1.7987,-1.3036
153.736,10,-39.4521,1.7994,-1.3034
153.747,10,-39.4509,1.8001,-1.3033
