timestamp, HMD_x, HMD_y,HMD_z
490.483,10,-39.3531,1.7530,-1.2451
490.498,10,-39.3537,1.7530,-1.2453
490.505,10,-39.3543,1.7532,-1.2457
490.513,10,-39.3548,1.7534,-1.2460
490.524,10,-39.3554,1.7536,-1.2464
490.535,10,-39.3561,1.7539,-1.2467
490.546,10,-39.3566,1.7541,-1.2471
490.565,10,-39.3573,1.7543,-1.2474
490.577,10,-39.3584,1.7547,-1.2482
490.588,10,-39.3589,1.7549,-1.2486
490.601,10,-39.3593,1.7550,-1.2490
490.612,10,-39.3596,1.7552,-1.2494
490.623,10,-39.3600,1.7553,-1.2499
490.634,10,-39.3604,1.7555,-1.2502
490.645,10,-39.3607,1.7556,-1.2507
490.656,10,-39.3610,1.7557,-1.2512
490.667,10,-39.3614,1.7557,-1.2516
490.678,10,-39.3616,1.7558,-1.2521
490.689,10,-39.3619,1.7559,-1.2526
490.700,10,-39.3621,1.7559,-1.2530
490.711,10,-39.3624,1.7560,-1.2535
490.723,10,-39.3627,1.7560,-1.2540
490.734,10,-39.3629,1.7560,-1.2544
490.745,10,-39.3631,1.7562,-1.2549
490.756,10,-39.3634,1.7563,-1.2554
490.767,10,-39.3635,1.7564,-1.2559
490.778,10,-39.3636,1.7565,-1.2564
490.789,10,-39.3637,1.7566,-1.2570
490.801,10,-39.3637,1.7567,-1.2574
490.811,10,-39.3638,1.7568,-1.2579
490.823,10,-39.3638,1.7568,-1.2584
490.834,10,-39.3638,1.7569,-1.2590
490.845,10,-39.3639,1.7569,-1.2595
490.856,10,-39.3638,1.7568,-1.2600
490.867,10,-39.3639,1.7568,-1.2606
490.878,10,-39.3640,1.7568,-1.2611
490.889,10,-39.3641,1.7568,-1.2617
490.900,10,-39.3641,1.7568,-1.2623
490.911,10,-39.3641,1.7569,-1.2630
490.923,10,-39.3641,1.7569,-1.2636
490.933,10,-39.3642,1.7569,-1.2642
490.945,10,-39.3642,1.7570,-1.2648
490.956,10,-39.3642,1.7572,-1.2655
490.967,10,-39.3642,1.7572,-1.2661
490.979,10,-39.3642,1.7572,-1.2666
490.990,10,-39.3642,1.7573,-1.2673
491.001,10,-39.3642,1.7573,-1.2679
491.012,10,-39.3641,1.7573,-1.2685
491.024,10,-39.3641,1.7573,-1.2692
491.035,10,-39.3641,1.7572,-1.2697
491.047,10,-39.3641,1.7571,-1.2702
491.058,10,-39.3639,1.7572,-1.2708
491.070,10,-39.3638,1.7572,-1.2714
491.081,10,-39.3638,1.7572,-1.2719
491.092,10,-39.3638,1.7571,-1.2725
491.103,10,-39.3637,1.7570,-1.2731
491.114,10,-39.3636,1.7570,-1.2736
491.125,10,-39.3636,1.7570,-1.2742
491.136,10,-39.3634,1.7570,-1.2748
491.148,10,-39.3633,1.7570,-1.2753
491.159,10,-39.3632,1.7571,-1.2759
