timestamp               , trial, HMD_x   , HMD_y , HMD_z
# --- Trial 1 start ---
778.766                 ,     1, -39.3305, 1.7433, -1.2024
778.783                 ,     1, -39.3300, 1.7427, -1.2037
778.795                 ,     1, -39.3299, 1.7422, -1.2048
778.807                 ,     1, -39.3293, 1.7414, -1.2070
778.817                 ,     1, -39.3292, 1.7410, -1.2082
778.831                 ,     1, -39.3291, 1.7407, -1.2095
778.849                 ,     1, -39.3288, 1.7403, -1.2109
778.857                 ,     1, -39.3290, 1.7398, -1.2120
778.866                 ,     1, -39.3290, 1.7394, -1.2131
778.876                 ,     1, -39.3291, 1.7391, -1.2142
778.888                 ,     1, -39.3293, 1.7388, -1.2153
778.911                 ,     1, -39.3297, 1.7385, -1.2163
778.921                 ,     1, -39.3299, 1.7378, -1.2185
778.929                 ,     1, -39.3300, 1.7376, -1.2195
778.940                 ,     1, -39.3303, 1.7372, -1.2205
778.952                 ,     1, -39.3307, 1.7370, -1.2214
778.962                 ,     1, -39.3311, 1.7368, -1.2224
778.974                 ,     1, -39.3316, 1.7367, -1.2234
778.985                 ,     1, -39.3322, 1.7366, -1.2244
778.996                 ,     1, -39.3326, 1.7365, -1.2257
779.007                 ,     1, -39.3333, 1.7367, -1.2267
779.018                 ,     1, -39.3338, 1.7366, -1.2277
779.029                 ,     1, -39.3344, 1.7367, -1.2286
779.041                 ,     1, -39.3352, 1.7366, -1.2296
779.051                 ,     1, -39.3358, 1.7367, -1.2304
779.062                 ,     1, -39.3367, 1.7369, -1.2312
779.074                 ,     1, -39.3372, 1.7371, -1.2319
779.085                 ,     1, -39.3378, 1.7373, -1.2326
779.096                 ,     1, -39.3384, 1.7373, -1.2331
779.107                 ,     1, -39.3388, 1.7375, -1.2336
779.118                 ,     1, -39.3393, 1.7376, -1.2340
779.129                 ,     1, -39.3396, 1.7378, -1.2343
779.140                 ,     1, -39.3398, 1.7382, -1.2345
779.151                 ,     1, -39.3401, 1.7383, -1.2345
779.162                 ,     1, -39.3401, 1.7385, -1.2345
779.173                 ,     1, -39.3402, 1.7387, -1.2345
779.184                 ,     1, -39.3400, 1.7387, -1.2342
779.195                 ,     1, -39.3398, 1.7390, -1.2340
779.206                 ,     1, -39.3397, 1.7392, -1.2337
779.217                 ,     1, -39.3390, 1.7395, -1.2334
779.228                 ,     1, -39.3386, 1.7396, -1.2329
779.240                 ,     1, -39.3380, 1.7397, -1.2324
779.250                 ,     1, -39.3375, 1.7398, -1.2318
779.261                 ,     1, -39.3367, 1.7397, -1.2311
779.273                 ,     1, -39.3358, 1.7396, -1.2303
779.284                 ,     1, -39.3351, 1.7394, -1.2294
779.295                 ,     1, -39.3343, 1.7393, -1.2284
779.306                 ,     1, -39.3334, 1.7392, -1.2273
779.317                 ,     1, -39.3321, 1.7392, -1.2262
779.328                 ,     1, -39.3309, 1.7392, -1.2252
779.340                 ,     1, -39.3297, 1.7393, -1.2239
779.351                 ,     1, -39.3285, 1.7395, -1.2226
779.362                 ,     1, -39.3272, 1.7396, -1.2213
779.374                 ,     1, -39.3259, 1.7398, -1.2198
779.385                 ,     1, -39.3245, 1.7399, -1.2182
779.396                 ,     1, -39.3231, 1.7400, -1.2166
779.407                 ,     1, -39.3219, 1.7400, -1.2148
779.419                 ,     1, -39.3207, 1.7400, -1.2130
779.430                 ,     1, -39.3194, 1.7400, -1.2111
779.442                 ,     1, -39.3182, 1.7401, -1.2091
779.454                 ,     1, -39.3170, 1.7403, -1.2071
779.465                 ,     1, -39.3159, 1.7404, -1.2052
779.476                 ,     1, -39.3147, 1.7406, -1.2033
779.488                 ,     1, -39.3137, 1.7408, -1.2013
779.499                 ,     1, -39.3127, 1.7410, -1.1995
779.510                 ,     1, -39.3117, 1.7412, -1.1975
779.521                 ,     1, -39.3109, 1.7414, -1.1955
779.533                 ,     1, -39.3103, 1.7416, -1.1934
779.543                 ,     1, -39.3096, 1.7418, -1.1915
779.555                 ,     1, -39.3090, 1.7420, -1.1897
779.567                 ,     1, -39.3083, 1.7421, -1.1878
779.579                 ,     1, -39.3077, 1.7422, -1.1860
779.589                 ,     1, -39.3071, 1.7423, -1.1841
779.598                 ,     1, -39.3064, 1.7423, -1.1823
779.609                 ,     1, -39.3058, 1.7423, -1.1806
779.621                 ,     1, -39.3054, 1.7423, -1.1788
779.632                 ,     1, -39.3051, 1.7424, -1.1770
779.644                 ,     1, -39.3045, 1.7425, -1.1754
