timestamp, trial, HMD_x, HMD_y,HMD_z
980.472,10,-39.8334,1.7518,-1.0223
980.493,10,-39.8337,1.7518,-1.0223
980.506,10,-39.8341,1.7517,-1.0224
980.515,10,-39.8341,1.7516,-1.0224
980.528,10,-39.8341,1.7517,-1.0224
980.540,10,-39.8342,1.7517,-1.0225
980.555,10,-39.8342,1.7516,-1.0225
980.570,10,-39.8344,1.7516,-1.0226
980.580,10,-39.8345,1.7516,-1.0227
980.594,10,-39.8346,1.7517,-1.0227
980.606,10,-39.8346,1.7517,-1.0227
980.618,10,-39.8347,1.7518,-1.0227
980.629,10,-39.8348,1.7518,-1.0228
980.649,10,-39.8349,1.7519,-1.0229
980.662,10,-39.8350,1.7520,-1.0230
980.673,10,-39.8350,1.7521,-1.0231
980.684,10,-39.8350,1.7522,-1.0232
980.695,10,-39.8348,1.7524,-1.0233
980.706,10,-39.8347,1.7525,-1.0233
980.717,10,-39.8346,1.7526,-1.0234
980.729,10,-39.8346,1.7525,-1.0235
980.740,10,-39.8345,1.7527,-1.0236
980.751,10,-39.8344,1.7527,-1.0236
980.762,10,-39.8342,1.7527,-1.0237
980.773,10,-39.8340,1.7527,-1.0238
980.785,10,-39.8337,1.7528,-1.0239
980.796,10,-39.8335,1.7528,-1.0241
980.807,10,-39.8333,1.7526,-1.0242
980.818,10,-39.8331,1.7526,-1.0243
980.829,10,-39.8330,1.7527,-1.0244
980.840,10,-39.8327,1.7526,-1.0245
980.852,10,-39.8325,1.7525,-1.0247
980.862,10,-39.8322,1.7525,-1.0248
980.874,10,-39.8320,1.7524,-1.0249
980.885,10,-39.8317,1.7524,-1.0250
980.896,10,-39.8314,1.7524,-1.0251
980.907,10,-39.8313,1.7523,-1.0252
980.918,10,-39.8310,1.7523,-1.0253
980.930,10,-39.8308,1.7524,-1.0254
980.941,10,-39.8305,1.7523,-1.0254
980.958,10,-39.8303,1.7523,-1.0255
980.970,10,-39.8297,1.7522,-1.0257
980.981,10,-39.8294,1.7522,-1.0258
980.996,10,-39.8291,1.7521,-1.0258
981.007,10,-39.8288,1.7520,-1.0259
981.018,10,-39.8285,1.7520,-1.0260
981.029,10,-39.8282,1.7520,-1.0260
981.040,10,-39.8280,1.7520,-1.0260
981.051,10,-39.8277,1.7518,-1.0260
981.062,10,-39.8274,1.7518,-1.0259
981.074,10,-39.8271,1.7518,-1.0259
981.086,10,-39.8268,1.7518,-1.0258
981.097,10,-39.8266,1.7518,-1.0257
981.108,10,-39.8262,1.7518,-1.0255
981.119,10,-39.8259,1.7518,-1.0253
981.131,10,-39.8255,1.7518,-1.0251
981.142,10,-39.8252,1.7518,-1.0248
981.153,10,-39.8249,1.7519,-1.0246
981.164,10,-39.8246,1.7519,-1.0242
981.175,10,-39.8244,1.7520,-1.0237
981.186,10,-39.8240,1.7521,-1.0232
981.198,10,-39.8237,1.7523,-1.0228
981.209,10,-39.8233,1.7523,-1.0223
981.220,10,-39.8229,1.7524,-1.0217
981.232,10,-39.8226,1.7526,-1.0210
981.243,10,-39.8221,1.7528,-1.0204
981.255,10,-39.8216,1.7530,-1.0196
981.265,10,-39.8214,1.7531,-1.0189
981.276,10,-39.8210,1.7532,-1.0181
981.287,10,-39.8206,1.7533,-1.0171
981.299,10,-39.8202,1.7536,-1.0161
981.310,10,-39.8198,1.7538,-1.0151
981.320,10,-39.8193,1.7540,-1.0139
981.331,10,-39.8189,1.7543,-1.0129
981.343,10,-39.8186,1.7545,-1.0119
981.354,10,-39.8182,1.7548,-1.0108
981.365,10,-39.8178,1.7551,-1.0097
981.376,10,-39.8175,1.7551,-1.0084
981.388,10,-39.8169,1.7550,-1.0074
981.399,10,-39.8164,1.7547,-1.0063
981.410,10,-39.8159,1.7544,-1.0054
981.422,10,-39.8153,1.7541,-1.0046
981.433,10,-39.8146,1.7540,-1.0038
981.444,10,-39.8141,1.7540,-1.0031
981.456,10,-39.8134,1.7541,-1.0024
981.467,10,-39.8130,1.7542,-1.0016
981.480,10,-39.8123,1.7543,-1.0010
981.493,10,-39.8118,1.7544,-1.0005
981.504,10,-39.8113,1.7547,-1.0000
981.515,10,-39.8108,1.7550,-0.9995
981.526,10,-39.8105,1.7555,-0.9990
981.537,10,-39.8101,1.7558,-0.9986
981.547,10,-39.8099,1.7560,-0.9982
981.557,10,-39.8097,1.7561,-0.9979
981.569,10,-39.8095,1.7561,-0.9976
981.587,10,-39.8095,1.7561,-0.9974
981.602,10,-39.8093,1.7562,-0.9971
981.613,10,-39.8092,1.7562,-0.9970
981.624,10,-39.8090,1.7561,-0.9971
981.636,10,-39.8089,1.7561,-0.9970
981.647,10,-39.8089,1.7563,-0.9969
981.659,10,-39.8088,1.7562,-0.9969
981.670,10,-39.8088,1.7561,-0.9969
981.682,10,-39.8087,1.7559,-0.9969
981.694,10,-39.8088,1.7556,-0.9970
981.706,10,-39.8087,1.7552,-0.9971
981.717,10,-39.8087,1.7548,-0.9973
981.729,10,-39.8087,1.7545,-0.9973
981.746,10,-39.8086,1.7541,-0.9975
981.759,10,-39.8086,1.7534,-0.9979
981.770,10,-39.8086,1.7530,-0.9981
981.785,10,-39.8086,1.7525,-0.9985
981.796,10,-39.8085,1.7522,-0.9987
981.808,10,-39.8085,1.7518,-0.9990
981.819,10,-39.8085,1.7514,-0.9994
981.830,10,-39.8086,1.7509,-0.9998
981.841,10,-39.8087,1.7504,-1.0003
981.852,10,-39.8089,1.7498,-1.0007
981.864,10,-39.8089,1.7493,-1.0012
981.875,10,-39.8090,1.7488,-1.0019
981.886,10,-39.8091,1.7480,-1.0025
981.897,10,-39.8093,1.7474,-1.0031
981.909,10,-39.8096,1.7464,-1.0038
981.920,10,-39.8099,1.7454,-1.0044
981.931,10,-39.8103,1.7440,-1.0051
981.942,10,-39.8109,1.7423,-1.0059
981.953,10,-39.8112,1.7413,-1.0068
981.964,10,-39.8107,1.7442,-1.0080
981.976,10,-39.8103,1.7503,-1.0092
981.987,10,-39.8098,1.7543,-1.0101
981.998,10,-39.8096,1.7560,-1.0109
982.010,10,-39.8094,1.7557,-1.0120
982.021,10,-39.8097,1.7552,-1.0131
982.033,10,-39.8100,1.7541,-1.0140
982.044,10,-39.8104,1.7531,-1.0148
982.055,10,-39.8110,1.7527,-1.0159
982.067,10,-39.8116,1.7533,-1.0169
982.079,10,-39.8118,1.7538,-1.0177
982.091,10,-39.8120,1.7545,-1.0185
982.102,10,-39.8119,1.7547,-1.0194
982.113,10,-39.8117,1.7543,-1.0201
982.125,10,-39.8113,1.7539,-1.0209
982.137,10,-39.8114,1.7537,-1.0215
982.148,10,-39.8111,1.7539,-1.0220
982.159,10,-39.8108,1.7540,-1.0226
982.169,10,-39.8106,1.7542,-1.0233
982.181,10,-39.8104,1.7541,-1.0239
982.191,10,-39.8104,1.7539,-1.0240
982.202,10,-39.8103,1.7535,-1.0244
982.216,10,-39.8103,1.7533,-1.0249
982.228,10,-39.8100,1.7530,-1.0261
982.239,10,-39.8098,1.7529,-1.0266
982.255,10,-39.8094,1.7529,-1.0270
982.266,10,-39.8092,1.7528,-1.0273
982.277,10,-39.8088,1.7527,-1.0276
982.288,10,-39.8085,1.7523,-1.0279
982.298,10,-39.8081,1.7521,-1.0283
982.310,10,-39.8078,1.7520,-1.0286
982.321,10,-39.8076,1.7520,-1.0288
982.332,10,-39.8072,1.7520,-1.0291
982.344,10,-39.8068,1.7518,-1.0294
982.355,10,-39.8064,1.7517,-1.0294
982.366,10,-39.8059,1.7514,-1.0296
982.377,10,-39.8054,1.7513,-1.0298
982.388,10,-39.8049,1.7511,-1.0301
982.400,10,-39.8044,1.7510,-1.0304
982.411,10,-39.8038,1.7508,-1.0307
982.422,10,-39.8031,1.7507,-1.0312
982.433,10,-39.8025,1.7504,-1.0316
982.444,10,-39.8018,1.7500,-1.0320
982.455,10,-39.8011,1.7498,-1.0325
982.466,10,-39.8004,1.7496,-1.0331
982.477,10,-39.7996,1.7495,-1.0337
982.489,10,-39.7988,1.7493,-1.0343
982.500,10,-39.7978,1.7490,-1.0349
982.511,10,-39.7968,1.7485,-1.0354
982.527,10,-39.7956,1.7483,-1.0361
982.539,10,-39.7933,1.7476,-1.0376
982.550,10,-39.7918,1.7474,-1.0386
982.565,10,-39.7905,1.7470,-1.0395
982.576,10,-39.7891,1.7466,-1.0403
982.587,10,-39.7874,1.7461,-1.0411
982.599,10,-39.7857,1.7456,-1.0420
982.609,10,-39.7839,1.7450,-1.0428
982.621,10,-39.7817,1.7443,-1.0435
982.632,10,-39.7796,1.7437,-1.0442
982.644,10,-39.7773,1.7429,-1.0450
982.654,10,-39.7751,1.7422,-1.0457
982.665,10,-39.7727,1.7416,-1.0463
982.677,10,-39.7703,1.7411,-1.0468
982.689,10,-39.7677,1.7406,-1.0473
982.701,10,-39.7649,1.7403,-1.0478
982.712,10,-39.7622,1.7398,-1.0481
982.723,10,-39.7592,1.7394,-1.0483
982.735,10,-39.7562,1.7390,-1.0483
982.746,10,-39.7533,1.7387,-1.0481
982.757,10,-39.7505,1.7388,-1.0480
982.767,10,-39.7475,1.7387,-1.0477
982.778,10,-39.7445,1.7388,-1.0475
982.789,10,-39.7414,1.7389,-1.0473
982.799,10,-39.7381,1.7387,-1.0468
982.811,10,-39.7347,1.7383,-1.0464
982.823,10,-39.7314,1.7377,-1.0457
982.834,10,-39.7280,1.7374,-1.0452
982.846,10,-39.7243,1.7368,-1.0446
982.856,10,-39.7206,1.7363,-1.0441
982.867,10,-39.7167,1.7358,-1.0435
982.877,10,-39.7126,1.7352,-1.0429
982.889,10,-39.7083,1.7346,-1.0421
982.901,10,-39.7038,1.7338,-1.0412
982.913,10,-39.6993,1.7332,-1.0404
982.924,10,-39.6946,1.7326,-1.0395
982.934,10,-39.6898,1.7321,-1.0384
982.945,10,-39.6849,1.7315,-1.0374
982.955,10,-39.6799,1.7309,-1.0364
982.967,10,-39.6748,1.7302,-1.0352
982.980,10,-39.6695,1.7294,-1.0333
982.991,10,-39.6643,1.7287,-1.0320
983.001,10,-39.6590,1.7279,-1.0306
983.013,10,-39.6535,1.7271,-1.0292
983.023,10,-39.6479,1.7265,-1.0278
983.034,10,-39.6423,1.7257,-1.0263
983.045,10,-39.6366,1.7249,-1.0248
983.055,10,-39.6306,1.7241,-1.0231
983.066,10,-39.6249,1.7232,-1.0211
983.077,10,-39.6188,1.7225,-1.0194
983.089,10,-39.6127,1.7220,-1.0176
983.100,10,-39.6064,1.7218,-1.0159
983.111,10,-39.6002,1.7217,-1.0142
983.122,10,-39.5939,1.7218,-1.0122
983.133,10,-39.5874,1.7217,-1.0103
983.145,10,-39.5809,1.7215,-1.0083
983.155,10,-39.5743,1.7212,-1.0064
983.167,10,-39.5677,1.7208,-1.0044
983.178,10,-39.5611,1.7207,-1.0026
983.190,10,-39.5542,1.7211,-1.0010
983.202,10,-39.5475,1.7220,-0.9993
983.213,10,-39.5406,1.7230,-0.9977
983.225,10,-39.5338,1.7241,-0.9961
983.237,10,-39.5268,1.7253,-0.9945
983.248,10,-39.5198,1.7262,-0.9930
983.259,10,-39.5131,1.7271,-0.9917
983.271,10,-39.5065,1.7278,-0.9904
983.283,10,-39.4999,1.7283,-0.9890
983.295,10,-39.4933,1.7288,-0.9879
983.306,10,-39.4868,1.7295,-0.9865
983.318,10,-39.4800,1.7302,-0.9856
983.329,10,-39.4732,1.7312,-0.9846
983.341,10,-39.4665,1.7322,-0.9836
983.352,10,-39.4596,1.7332,-0.9829
983.364,10,-39.4529,1.7341,-0.9823
983.375,10,-39.4461,1.7349,-0.9818
983.386,10,-39.4394,1.7354,-0.9813
983.398,10,-39.4325,1.7359,-0.9809
983.409,10,-39.4256,1.7363,-0.9805
983.420,10,-39.4186,1.7367,-0.9801
