timestamp, trial, HMD_x, HMD_y,HMD_z
# --- Trial 1 start ---
572.628,1,-39.8102,1.7396,-0.9789
572.668,1,-39.8102,1.7397,-0.9790
572.690,1,-39.8102,1.7397,-0.9790
572.698,1,-39.8102,1.7397,-0.9789
572.705,1,-39.8101,1.7396,-0.9790
572.720,1,-39.8100,1.7396,-0.9789
572.727,1,-39.8099,1.7396,-0.9789
572.735,1,-39.8099,1.7396,-0.9789
572.746,1,-39.8099,1.7396,-0.9789
572.757,1,-39.8099,1.7396,-0.9790
572.769,1,-39.8098,1.7395,-0.9789
572.780,1,-39.8097,1.7395,-0.9789
572.790,1,-39.8096,1.7395,-0.9789
572.801,1,-39.8096,1.7396,-0.9788
572.812,1,-39.8096,1.7396,-0.9788
572.824,1,-39.8094,1.7396,-0.9789
572.835,1,-39.8093,1.7397,-0.9789
572.849,1,-39.8092,1.7397,-0.9790
572.865,1,-39.8090,1.7396,-0.9790
572.875,1,-39.8089,1.7396,-0.9790
572.890,1,-39.8088,1.7395,-0.9790
572.901,1,-39.8087,1.7394,-0.9790
572.912,1,-39.8086,1.7394,-0.9790
572.924,1,-39.8086,1.7393,-0.9791
572.935,1,-39.8086,1.7393,-0.9791
572.945,1,-39.8085,1.7393,-0.9791
572.956,1,-39.8085,1.7392,-0.9790
572.968,1,-39.8083,1.7392,-0.9790
572.979,1,-39.8082,1.7391,-0.9790
572.990,1,-39.8081,1.7391,-0.9789
573.001,1,-39.8081,1.7390,-0.9789
573.013,1,-39.8081,1.7390,-0.9790
573.024,1,-39.8080,1.7390,-0.9789
573.035,1,-39.8079,1.7390,-0.9789
573.046,1,-39.8079,1.7390,-0.9789
573.057,1,-39.8079,1.7390,-0.9788
573.068,1,-39.8079,1.7390,-0.9788
573.079,1,-39.8078,1.7389,-0.9789
573.091,1,-39.8079,1.7390,-0.9789
573.102,1,-39.8078,1.7390,-0.9789
573.113,1,-39.8078,1.7389,-0.9789
573.124,1,-39.8077,1.7389,-0.9789
573.135,1,-39.8077,1.7388,-0.9789
573.146,1,-39.8077,1.7388,-0.9789
573.157,1,-39.8077,1.7388,-0.9788
573.168,1,-39.8077,1.7388,-0.9788
573.179,1,-39.8077,1.7387,-0.9788
573.191,1,-39.8077,1.7388,-0.9788
573.202,1,-39.8076,1.7387,-0.9788
573.213,1,-39.8075,1.7387,-0.9787
573.224,1,-39.8075,1.7387,-0.9788
573.235,1,-39.8074,1.7387,-0.9788
573.246,1,-39.8074,1.7387,-0.9787
573.257,1,-39.8074,1.7387,-0.9787
573.268,1,-39.8073,1.7387,-0.9786
573.279,1,-39.8073,1.7388,-0.9785
573.290,1,-39.8073,1.7388,-0.9785
573.301,1,-39.8073,1.7388,-0.9784
573.312,1,-39.8072,1.7388,-0.9784
573.324,1,-39.8071,1.7388,-0.9783
573.335,1,-39.8070,1.7389,-0.9783
573.346,1,-39.8070,1.7388,-0.9783
573.358,1,-39.8070,1.7388,-0.9783
573.370,1,-39.8069,1.7388,-0.9782
573.382,1,-39.8069,1.7389,-0.9781
573.393,1,-39.8069,1.7388,-0.9780
573.404,1,-39.8068,1.7388,-0.9780
573.415,1,-39.8068,1.7388,-0.9779
573.427,1,-39.8068,1.7388,-0.9780
573.437,1,-39.8068,1.7388,-0.9780
573.449,1,-39.8068,1.7387,-0.9779
573.460,1,-39.8068,1.7387,-0.9779
573.471,1,-39.8067,1.7386,-0.9778
573.482,1,-39.8066,1.7386,-0.9777
573.493,1,-39.8066,1.7386,-0.9777
573.504,1,-39.8065,1.7386,-0.9776
573.516,1,-39.8065,1.7386,-0.9775
573.527,1,-39.8064,1.7385,-0.9774
573.538,1,-39.8064,1.7385,-0.9773
573.549,1,-39.8064,1.7384,-0.9773
573.560,1,-39.8063,1.7385,-0.9772
573.571,1,-39.8063,1.7385,-0.9771
573.582,1,-39.8063,1.7385,-0.9771
573.593,1,-39.8063,1.7384,-0.9770
573.604,1,-39.8062,1.7384,-0.9770
573.615,1,-39.8061,1.7384,-0.9769
573.627,1,-39.8061,1.7383,-0.9768
573.638,1,-39.8060,1.7382,-0.9768
573.649,1,-39.8060,1.7382,-0.9768
573.660,1,-39.8060,1.7382,-0.9768
573.671,1,-39.8059,1.7382,-0.9768
573.682,1,-39.8058,1.7382,-0.9767
573.693,1,-39.8058,1.7381,-0.9766
573.704,1,-39.8056,1.7381,-0.9765
573.715,1,-39.8055,1.7381,-0.9764
573.726,1,-39.8053,1.7381,-0.9763
573.737,1,-39.8051,1.7380,-0.9763
573.749,1,-39.8052,1.7381,-0.9764
573.760,1,-39.8050,1.7379,-0.9763
573.771,1,-39.8049,1.7378,-0.9763
573.782,1,-39.8048,1.7376,-0.9762
573.793,1,-39.8046,1.7374,-0.9762
573.804,1,-39.8043,1.7371,-0.9760
573.816,1,-39.8041,1.7367,-0.9759
573.826,1,-39.8039,1.7362,-0.9757
573.837,1,-39.8036,1.7355,-0.9758
573.848,1,-39.8034,1.7350,-0.9758
573.860,1,-39.8030,1.7344,-0.9758
573.871,1,-39.8025,1.7338,-0.9757
573.882,1,-39.8021,1.7332,-0.9756
573.893,1,-39.8017,1.7325,-0.9754
573.904,1,-39.8013,1.7317,-0.9753
573.915,1,-39.8008,1.7309,-0.9752
573.926,1,-39.8004,1.7301,-0.9750
573.937,1,-39.8000,1.7293,-0.9748
573.949,1,-39.7996,1.7285,-0.9747
573.959,1,-39.7992,1.7278,-0.9745
573.970,1,-39.7987,1.7270,-0.9742
573.982,1,-39.7982,1.7264,-0.9740
573.992,1,-39.7978,1.7257,-0.9737
574.003,1,-39.7973,1.7251,-0.9735
574.014,1,-39.7968,1.7246,-0.9732
574.026,1,-39.7963,1.7240,-0.9729
574.036,1,-39.7957,1.7235,-0.9727
574.047,1,-39.7950,1.7231,-0.9726
574.058,1,-39.7944,1.7227,-0.9723
574.070,1,-39.7937,1.7223,-0.9719
574.081,1,-39.7931,1.7219,-0.9716
574.092,1,-39.7924,1.7216,-0.9711
574.103,1,-39.7917,1.7212,-0.9706
574.114,1,-39.7910,1.7209,-0.9702
574.125,1,-39.7903,1.7208,-0.9697
574.137,1,-39.7896,1.7206,-0.9693
574.148,1,-39.7888,1.7206,-0.9687
574.159,1,-39.7881,1.7205,-0.9682
574.170,1,-39.7874,1.7204,-0.9677
574.181,1,-39.7868,1.7202,-0.9671
574.193,1,-39.7862,1.7200,-0.9664
574.203,1,-39.7855,1.7199,-0.9657
574.215,1,-39.7849,1.7197,-0.9650
574.226,1,-39.7843,1.7197,-0.9642
574.236,1,-39.7837,1.7196,-0.9634
574.247,1,-39.7830,1.7195,-0.9627
574.258,1,-39.7824,1.7195,-0.9619
574.269,1,-39.7820,1.7194,-0.9612
574.280,1,-39.7814,1.7193,-0.9604
574.291,1,-39.7809,1.7192,-0.9595
574.302,1,-39.7804,1.7192,-0.9587
574.313,1,-39.7799,1.7192,-0.9578
574.325,1,-39.7794,1.7192,-0.9570
574.335,1,-39.7790,1.7191,-0.9561
574.347,1,-39.7785,1.7190,-0.9554
574.358,1,-39.7780,1.7190,-0.9545
574.369,1,-39.7775,1.7189,-0.9537
574.380,1,-39.7770,1.7189,-0.9528
574.391,1,-39.7767,1.7188,-0.9520
574.402,1,-39.7764,1.7187,-0.9513
574.413,1,-39.7761,1.7187,-0.9505
574.424,1,-39.7756,1.7186,-0.9498
574.435,1,-39.7752,1.7184,-0.9490
574.447,1,-39.7748,1.7183,-0.9483
574.458,1,-39.7744,1.7183,-0.9476
574.469,1,-39.7740,1.7182,-0.9470
574.480,1,-39.7736,1.7180,-0.9464
574.491,1,-39.7732,1.7178,-0.9458
574.502,1,-39.7729,1.7178,-0.9453
574.513,1,-39.7726,1.7177,-0.9448
574.524,1,-39.7722,1.7176,-0.9443
574.535,1,-39.7719,1.7176,-0.9438
574.546,1,-39.7715,1.7178,-0.9434
574.558,1,-39.7711,1.7179,-0.9430
574.569,1,-39.7708,1.7182,-0.9426
574.580,1,-39.7704,1.7184,-0.9422
574.591,1,-39.7700,1.7188,-0.9418
574.602,1,-39.7697,1.7191,-0.9414
574.613,1,-39.7692,1.7192,-0.9411
574.625,1,-39.7687,1.7195,-0.9409
574.636,1,-39.7680,1.7197,-0.9407
574.647,1,-39.7674,1.7199,-0.9405
574.658,1,-39.7667,1.7201,-0.9404
574.669,1,-39.7660,1.7204,-0.9402
574.681,1,-39.7651,1.7208,-0.9401
574.692,1,-39.7644,1.7213,-0.9401
574.703,1,-39.7637,1.7217,-0.9401
574.715,1,-39.7630,1.7220,-0.9402
574.726,1,-39.7623,1.7223,-0.9403
574.737,1,-39.7614,1.7228,-0.9405
574.748,1,-39.7606,1.7232,-0.9406
574.759,1,-39.7599,1.7236,-0.9406
574.770,1,-39.7592,1.7241,-0.9408
574.781,1,-39.7584,1.7246,-0.9408
574.793,1,-39.7575,1.7253,-0.9410
574.804,1,-39.7567,1.7259,-0.9411
574.813,1,-39.7558,1.7264,-0.9412
574.824,1,-39.7548,1.7267,-0.9414
574.836,1,-39.7538,1.7272,-0.9415
574.847,1,-39.7528,1.7274,-0.9416
574.858,1,-39.7518,1.7277,-0.9418
574.869,1,-39.7509,1.7279,-0.9418
574.880,1,-39.7499,1.7281,-0.9419
574.891,1,-39.7490,1.7282,-0.9419
574.902,1,-39.7482,1.7281,-0.9420
574.913,1,-39.7474,1.7280,-0.9419
574.925,1,-39.7466,1.7279,-0.9418
574.935,1,-39.7459,1.7276,-0.9418
574.947,1,-39.7453,1.7271,-0.9417
574.958,1,-39.7448,1.7266,-0.9416
574.968,1,-39.7443,1.7261,-0.9416
574.980,1,-39.7439,1.7255,-0.9416
574.991,1,-39.7436,1.7249,-0.9415
575.002,1,-39.7434,1.7243,-0.9415
575.013,1,-39.7432,1.7236,-0.9414
575.024,1,-39.7432,1.7228,-0.9414
575.035,1,-39.7431,1.7219,-0.9415
575.046,1,-39.7430,1.7211,-0.9417
575.057,1,-39.7429,1.7204,-0.9419
575.069,1,-39.7428,1.7196,-0.9421
575.079,1,-39.7427,1.7189,-0.9423
575.090,1,-39.7426,1.7181,-0.9425
575.102,1,-39.7427,1.7173,-0.9427
575.112,1,-39.7429,1.7162,-0.9430
575.124,1,-39.7433,1.7148,-0.9433
575.135,1,-39.7439,1.7134,-0.9436
575.146,1,-39.7440,1.7132,-0.9440
