timestamp                                        , trial, HMD_x   , HMD_y , HMD_z
# --- Trial 1 start ---
932.855                                          ,     11, -39.8307, 1.8051, -1.3994
932.998                                          ,     11, -39.8316, 1.8039, -1.3983
933.034                                          ,     11, -39.8323, 1.8038, -1.3979
933.050                                          ,     11, -39.8331, 1.8038, -1.3975
933.064                                          ,     11, -39.8333, 1.8037, -1.3975
933.078                                          ,     11, -39.8336, 1.8037, -1.3974
933.095                                          ,     11, -39.8341, 1.8036, -1.3972
933.110                                          ,     11, -39.8343, 1.8035, -1.3971
933.124                                          ,     11, -39.8347, 1.8035, -1.3969
933.139                                          ,     11, -39.8353, 1.8033, -1.3966
933.155                                          ,     11, -39.8357, 1.8033, -1.3965
933.173                                          ,     11, -39.8364, 1.8032, -1.3962
933.190                                          ,     11, -39.8370, 1.8032, -1.3960
933.205                                          ,     11, -39.8374, 1.8032, -1.3959
933.219                                          ,     11, -39.8378, 1.8032, -1.3957
933.234                                          ,     11, -39.8385, 1.8032, -1.3954
933.249                                          ,     11, -39.8388, 1.8033, -1.3953
933.264                                          ,     11, -39.8392, 1.8034, -1.3951
933.280                                          ,     11, -39.8399, 1.8034, -1.3945
933.293                                          ,     11, -39.8403, 1.8035, -1.3944
933.309                                          ,     11, -39.8407, 1.8036, -1.3943
933.324                                          ,     11, -39.8414, 1.8037, -1.3940
933.338                                          ,     11, -39.8418, 1.8037, -1.3939
933.355                                          ,     11, -39.8420, 1.8037, -1.3937
933.370                                          ,     11, -39.8426, 1.8038, -1.3934
933.384                                          ,     11, -39.8427, 1.8038, -1.3933
933.398                                          ,     11, -39.8429, 1.8037, -1.3932
933.412                                          ,     11, -39.8432, 1.8037, -1.3929
933.427                                          ,     11, -39.8434, 1.8036, -1.3928
933.442                                          ,     11, -39.8434, 1.8035, -1.3926
933.457                                          ,     11, -39.8433, 1.8036, -1.3925
933.473                                          ,     11, -39.8434, 1.8034, -1.3925
933.487                                          ,     11, -39.8435, 1.8033, -1.3923
933.501                                          ,     11, -39.8435, 1.8032, -1.3923
