timestamp, trial, HMD_x, HMD_y,HMD_z

# --- Trial 1 start ---
25.954,1,-37.2300,0.8941,-0.6900
26.114,1,-37.2300,0.8941,-0.6900
26.155,1,-37.2300,0.8941,-0.6900
26.179,1,-37.2300,0.8941,-0.6900
26.201,1,-37.2300,0.8941,-0.6900
26.221,1,-37.2300,0.8941,-0.6900
26.242,1,-37.2300,0.8941,-0.6900
26.263,1,-37.2300,0.8941,-0.6900
26.284,1,-37.2300,0.8941,-0.6900
26.306,1,-37.2300,0.8941,-0.6900
26.328,1,-37.2300,0.8941,-0.6900
26.349,1,-37.2300,0.8941,-0.6900
26.370,1,-37.2300,0.8941,-0.6900
26.391,1,-37.2300,0.8941,-0.6900
26.413,1,-37.2300,0.8941,-0.6900
26.435,1,-37.2300,0.8941,-0.6900
26.458,1,-37.2300,0.8941,-0.6900
26.480,1,-37.2300,0.8941,-0.6900
26.500,1,-37.2300,0.8941,-0.6900
26.521,1,-37.2300,0.8941,-0.6900
26.542,1,-37.2300,0.8941,-0.6900
26.562,1,-37.2300,0.8941,-0.6900
26.583,1,-37.2300,0.8941,-0.6900
26.603,1,-37.2300,0.8941,-0.6900
26.623,1,-37.2300,0.8941,-0.6900
26.643,1,-37.2300,0.8941,-0.6900
26.663,1,-37.2300,0.8941,-0.6900
26.682,1,-37.2300,0.8941,-0.6900
26.701,1,-37.2300,0.8941,-0.6900
26.721,1,-37.2300,0.8941,-0.6900
26.740,1,-37.2300,0.8941,-0.6900
26.760,1,-37.2300,0.8941,-0.6900
26.779,1,-37.2300,0.8941,-0.6900
26.799,1,-37.2300,0.8941,-0.6900
26.820,1,-37.2300,0.8941,-0.6900
26.839,1,-37.2300,0.8941,-0.6900
26.860,1,-37.2300,0.8941,-0.6900
26.881,1,-37.2300,0.8941,-0.6900
26.901,1,-37.2300,0.8941,-0.6900
26.920,1,-37.2300,0.8941,-0.6900
26.942,1,-37.2300,0.8941,-0.6900
26.963,1,-37.2300,0.8941,-0.6900
26.982,1,-37.2300,0.8941,-0.6900
27.003,1,-37.2300,0.8941,-0.6900
27.024,1,-37.2300,0.8941,-0.6900
27.046,1,-37.2300,0.8941,-0.6900
27.066,1,-37.2300,0.8941,-0.6900
27.086,1,-37.2300,0.8941,-0.6900
27.109,1,-37.2300,0.8941,-0.6900
27.131,1,-37.2300,0.8941,-0.6900
